advehent [01/æd'vehənt/]	như [03homocentric]
advised [01/əd'vaizd/]	[01* ttừ]\n- am hiểu, hiểu biết\n- đúng, đúng đắn, chí lý\n[02= a well advised plan] một kế hoạch đúng đắn\n- có suy nghĩ thận trọng\n[02= an advised act] một hành động thận trọng
advisedly [01/əd'vaizidli/]	[01* phtừ]\n- có suy nghĩ chín chắn, thận trọng
adviser [01/əd'vaizə/]	[01* dtừ]\n- người khuyên bảo, người chỉ bảo, cố vấn\n[02= legal adviser] cố vấn pháp lý
advisor [01/əd'vaizə/]	như [03adviser]
advisory [01/əd'vaizəri/]	[01* ttừ]\n- để hỏi, để xin ý kiến; cho ý kiến, cố vấn\n[02= advisory council] hội đồng tư vấn
advocacy [01/'ædvəkəsi/]	[01* dtừ]\n- nhiệm vụ luật sư\n- lời biện hộ của luật sư; sự bào chữa (cho ai)\n- sự ủng hộ tích cực (một sự nghiệp) 
advocate [01/'ædvəkit/]	[01* dtừ]\n- người biện hộ, người bào chữa, người bênh vực; luật sư, thầy cãi\n- người chủ trương; người tán thành, người ủng hộ\n[02= an advocate of peace] người chủ trương hoà bình\n[02= the advocates of socialism] những người tán thành chủ nghĩa xã hội\n[01* ngđtừ]\n- biện hộ, bào chữa\n- chủ trương; tán thành, ủng hộ
advocator	- xem [03advocate] 
advocatory	như [03advocator]
advowson [01/əd'vouzən/]	[01* dtừ]\n- quyền tiến cử người làm mục sư
advt	[01* dtừ]\n- (viết tắt của [03advertisment] ) quảng cáo
adynamia [01/,ædi'neimiə/]	[01* dtừ]\n- (y) chứng mệt lử; sự kiệt sức
adynamic [01/,ædai'næmik/]	[01* ttừ]\n- (y) mệt lử, kiệt sức
adyta [01/'æditəm/]	như [03adytum]
adytum [01/'æditəm/]	[01* dtừ] s/n [03adyta] /'æditə/\n- chính điện (ở giáo đường)\n- thâm cung; buồng riêng
adz [01/ædz/]	[01* dtừ]\n- rìu lưỡi vòm\n[01* ngđtừ]\n- đẽo bằng rìu lưỡi vòm
adze [01/ædz/]	như [03adz]
aecial [01/'i:siəl/]	- Cách viết khác : [03aecidial]
aeciospore [01/'i:siə,spɔ:/]	[01* dtừ]\n- bào tử gỉ
aecium [01/'i:∫iəm/]	[01* dtừ] s/n [02aecia]\n- túi bào tử gỉ
aedeagus [01/i:di:əgəs, i:di'eigəs/]	[01* dtừ]\n- thể giao cấu, dương cụ
aedile [01/'eidi:l/]	[01* dtừ]\n- quan thị chính (La Mã) 
aeger [01/'i:dʒə/]	[01* dtừ]\n- giấy chứng nhận ốm (cho học sinh các trường đại học Anh) 
aegis [01/'i:dʒis/]	[01* dtừ]\n- sự che chở, sự bảo hộ, sự bảo vệ\n[02= under the aegis of] dưới sự che chở của
aegrotat [01/i:'groutæt/]	[01* dtừ]\n- giấy chứng nhận ốm nặng không dự thi được (của học sinh các trường đại học Anh) 
aelotropic [01/,iou:lə'trɔpik/]	[01* ttừ]\n- (lý) dị hướng
aelotropy [01/,i:ou'lɔtrəpi/]	[01* dtừ]\n- (lý) tính dị hướng
aeneolithic [01/ei i:niə'liθik/]	[01* ttừ]\n- cũng [03eneolithic]\n- thuộc thời đồng đá (giai đoạn (khảo cổ học) giữa thời đại đồ đá đến thời đại đồ đồng thau ở châu Âu và châu á) 
aeolation [01/i:ou'lei∫n/]	[01* dtừ]\n- sự phong hoá
aeolian [01/i:'əʊliən/]	[01* ttừ]\n- thông gió
aeolian harp [01/'i:ouljən,ha:p/]	[01* dtừ]\n- đàn phát ầm do gió
aeolight	- (kỹ) đèn phát sáng âm cực lạnh
aeon [01/'i:ən/]	[01* dtừ]\n- thời đại, niên kỷ\n- sự vĩnh viễn; khoảng thời gian vô tận
aerate [01/'eəreit/]	[01* ngđtừ]\n- làm thông khí, quạt gió\n- cho hơi vào, cho khí cacbonic vào (nước uống, đồ giải khát...)\n[02= aerated water] nước uống có hơi\n- (y) làm cho (máu) lấy oxy (qua hô hấp)\n- làm cho hả mùi (sữa)(bằng cách rót thành lớp mỏng) 
aeration [01/eə'rei∫n/]	[01* dtừ]\n- sự làm thông, sự quạt gió\n- cho hơi vào, cho khí cacbonic vào\n- (y) sự làm cho (máu) lấy oxy\n- làm cho hả mùi (sữa) 
aerenchyma [01/eə'reηkimə/]	[01* dtừ]\n- (sinh học) mô khí
aerial [01/'eəriəl/]	[01* ttừ]\n- ở trên trời, trên không\n[02= aerial fight] cuộc chiến đấu trên không\n- (thuộc) không khí; nhẹ như không khí\n- không thực, tưởng tượng\n[01* dtừ]\n- rađiô dây trời, dây anten
aerial cable	- (kỹ) cáp treo, cáp trên không
aerial gain = antenna gain	- (kỹ) gia lượng dây trời
aerie [01/'eəri/]	như [03eyry]
aerifecation [01/,eərifi'kei∫n/]	[01* dtừ]\n- việc dẫn không khí
aeriferous [01/eə'rifərəs/]	[01* ttừ]\n- dẫn không khí, chứa không khí
aeriform [01/'eərifɔ:m/]	[01* ttừ]\n- dạng hơi\n- không thực
aerify [01/'eərifai/]	[01* ngđtừ]\n- làm hoá ra thể hơi, khí hoá
aero-	- tiền tố có nghĩa "không khí, không gian"
aero [01/'eərou/]	[01* dtừ]\n- phi thuyền, phi cơ\n[01* ttừ]\n- thuộc phi thuyền, phi cơ\n- aero club\n- câu lạc bộ hàng không
aeroballistics [01/eəroubə'listiks/]	[01* dtừsg]\n- khoa đạn đạo học
aerobat	[01* dtừ]\n- phi công nhào lộn trên không
aerobatic [01/,eərou'bætik/]	[01* ttừ]\n- (nói về máy bay) nhào lộn trên không
aerobatics [01/,eərou'bætiks/]	[01* dtừ, s/n (dùng như số ít)]\n- sự nhào lộn trên không (của máy bay) 
aerobe [01/'eəroub/]	[01* dtừ]\n- vi sinh vật ưa khí
aerobic	[01* ttừ]\n- đói không khí, thiếu không khí\n- (thuộc) thể dục nhịp điệu
aerobics [01/eə'roubiks/]	[01* dtừ]\n- thể dục nhịp điệu
aerobiological	- xem [03aerobiology] 
aerobiologically	như [03aerobiological]
aerobiology [01/'eəroubai'ɔlədʒi/]	[01* dtừ]\n- khoa sinh vật không khí (nghiên cứu các vi sinh vật và bào tử trong không khí) 
aerocamera [01/,eərou'kæmərə/]	[01* dtừ]\n- máy ảnh chụp trên không (chụp từ máy bay) 
aerocarrier [01/'eərou'kæriə/]	[01* dtừ]\n- tàu sân bay
aeroculture	[01* dtừ]\n- phương pháp nuôi trồng thực vật không cần đất
aerocyste [01/'eərəsist/]	[01* dtừ]\n- túi khí (tảo) 
aerocyte [01/'eərəsait/]	[01* dtừ]\n- tế bào khí
aerodrome [01/'eərədroum/]	[01* dtừ]\n- sân bay
aerodynamic [01/,eəroudai'næmik/]	như [03aerodynamical]
aerodynamical [01/,eəroudai'næmikəl/]	[01* ttừ]\n- khí động lực
aerodynamically	- xem [03aerodynamic] 
aerodynamicist	- xem [03aerodynamics] 
aerodynamics [01/'eəroudai'næmiks/]	[01* dtừ, s/n (dùng như số ít)]\n- khí động lực học\n[02= cosmical aerodynamics] khí động lực học vũ trụ
aerodyne [01/'eərou,dain/]	[01* dtừ]\n- máy bay nặng hơn không khí
aeroembolism [01/,eərou'embəlizm/]	[01* dtừ]\n- (y) bệnh khí ép
aero-engine [01/'eərou'endʒin/]	[01* dtừ]\n- động cơ máy bay
aerofoil [01/'eəroufɔil/]	[01* dtừ]\n- cánh máy bay
aerogram [01/'eərougræm/]	[01* dtừ]\n- bức điện rađiô
aerograph [01/'eərəgra:f/]	[01* dtừ]\n- máy ghi khí tượng
aerography [01/eə'rɔgrəfi/]	[01* dtừ]\n- môn nghiên cứu không khí và khí quyển
aerogun [01/'eərougʌn/]	[01* dtừ]\n- súng gắn trên máy bay
aerohydroplane [01/'eərou'haidrouplein/]	[01* dtừ]\n- thủy phi cơ
aerolite [01/'eərəlait/]	như [03meteorite]
aerolith [01/'eərəliθ/]	[01* dtừ]\n- (thiên) thiên thạch
aerolithology [01/'eərɔli'θɔlədʒi/]	[01* dtừ]\n- thiên thạch học
aerolitic	- xem [03aerolite] 
aerologic	- xem [03aerology] 
aerologist	như [03aerologic]
aerology [01/eə'rɔlədʒi/]	[01* dtừ]\n- (lý) môn quyển khí\n- (khí tượng) môn khí tượng cao không
aeromagnetic [01/,eəroumæg'netik/]	[01* ttừ]\n- (thuộc) từ tính, (có) từ tính
aeromechanical	như [03aeromechanically]
aeromechanically	- xem [03aeromechanics] 
aeromechanics [01/,eəroumi'kæniks/]	[01* dtừ, s/n (dùng như số ít)]\n- cơ học chất khí
aerometer [01/eə'rɔmitə/]	[01* dtừ]\n- cái đo tỷ trọng khí
aerometry [01/eə'rɔmitri/]	[01* dtừ]\n- cách đo tỉ trọng không khí, cách đo các khí
aeromodelling [01/'eərou,mɔdling/]	[01* dtừ]\n- cách làm máy bay con để chơi
aeromorphosis [01/eərou'mɔ:fəzis/]	[01* dtừ]\n- sự biến dạng do gió
aeronaut [01/'eərənɔ:t/]	[01* dtừ]\n- nhà hàng không; người lái khí cầu
aeronautic [01/,eərə'nɔ:tik/]	[01* ttừ]\n- (thuộc) hàng không
aeronautical [01/,eərə'nɔ:tikəl/]	như [03aeronautic]
aeronautically	- xem [03aeronautic] 
aeronautics [01/,eərə'nɔ:tiks/]	[01* dtừ, s/n (dùng như số ít)]\n- hàng không học
aeronavigation [01/'eərou,nævi'gei∫n/]	[01* dtừ]\n- thuật hàng không
aeronef [01/'eərɔnef/]	[01* dtừ]\n- thiết bị bay
aerophobia [01/eərə'foubiə/]	- Cách viết khác : [03aerophoby]
aerophora [01/'eərə'fɔ:rə/]	[01* dtừ]\n- phao khí
aerophotograph [01/'eərou'foutəgrɑ:f/]	[01* dtừ]\n- ảnh chụp từ máy bay
aerophotography [01/'eəroufə'tɔgrəfi/]	[01* dtừ]\n- sự chụp ảnh từ máy bay; phép chụp ảnh từ máy bay
aerophyte [01/'eərou,fait/]	[01* dtừ s/n]\n- thực vật biểu sinh
aeroplane [01/'eərəplein/]	[01* dtừ]\n- máy bay, tàu bay
aeroplankton [01/eərou'plæηktən/]	[01* dtừ]\n- sinh vật trong không khí
aeroport [01/'eərəpɔ:t/]	[01* dtừ]\n- sân bay lớn
aerosol [01/'eərəsɔl/]	[01* dtừ]\n- bình phun (nước hoa, thuốc trừ sâu) 
aerospace [01/'eərouspeis/]	[01* dtừ]\n- không gian vũ trụ
aerostat [01/'eəroustæt/]	như [03air balloon]
aerostatic	- xem [03aerostat] 
aerostatical	như [03aerostatic]
aerostatics [01/,eərou'stætiks/]	[01* dtừ]\n- (số nhiều dùng như số ít) khí cầu học\n- khí tĩnh học
aerostation [01/,eərou'stei∫n/]	[01* dtừ]\n- cách vận chuyển bằng hàng không; cách vận chuyển bằng khí cầu
aerotaxis [01/eərə'tæksis/]	- tính theo khí
aerotechnics [01/,eərou'tekniks/]	[01* dtừ, s/n (dùng như số ít)]\n- kỹ thuật hàng không
aerotropic [01/eərə'trɔpik/]	[01* ttừ]\n- hướng khí
aerotropism [01/'eərə'trɔpik/]	[01* dtừ]\n- tính hướng khí
aeruginous [01/iə'ru:dʒinəs/]	[01* ttừ]\n- có tính chất gỉ đồng; giống màu gỉ đồng
aery [01/'eəri/]	như [03eyry]
aesculapian [01/eskju:'leipiən/]	[01* ttừ]\n- (thuộc) thần y
aesthesia [01/i:s'θi:ziə/]	[01* dtừ]\n- cảm giác
aesthete [01/'i:sθi:t/]	[01* dtừ]\n- nhà thẩm mỹ
aesthetes [01/'i:sθi:ts/]	[01* dtừ]\n- giác quan
aesthetic [01/i:s'θetik/]	[01* ttừ]\n- (thuộc) mỹ học, thẩm mỹ\n- có óc thẩm mỹ, có khiếu thẩm mỹ; hợp với nguyên tắc thẩm mỹ
aesthetically [01/i:s'θetikəli/]	[01* phtừ]\n- có thẩm mỹ\n- về mặt thẩm mỹ
aesthetician [01/,i:sθi'ti∫n/]	[01* dtừ]\n- người nghiên cứu những nguyên tắc của cái đẹp và thị hiếu thẩm mỹ; nhà mỹ học\n- như [03beautician] 
aestheticism [01/i:s'θetisizm/]	[01* dtừ]\n- tính thẩm Mỹ
aesthetics [01/i:s'θetiks/]	[01* dtừ, s/n (dùng như số ít)]\n- mỹ học
aestho-physiology [01/'i:sθou,fizi'ɔlədʒi/]	[01* dtừ]\n- sinh lý học giác quan
aestilignosa [01/i:stilig'nouzə/]	[01* dtừ]\n- rừng lá rụng
aestival [01/i:s'taivəl/]	[01* ttừ]\n- (thuộc) mùa hạ; sinh vào mùa hạ
aestivarium [01/i:sti'veəriəm/]	[01* dtừ]\n- lô cây trồng mùa hè (ở vườn thực vật) 
aestivate [01/'i:stiveit/]	[01* nđtừ]\n- (động vật) ngủ hè
aestivation [01/,i:sti'vei∫n/]	[01* dtừ]\n- (động vật) sự ngủ hè
aetherial [01/i:'θiəriəl/]	[01* ttừ] như ethereal
aetiology [01/,i:ti'ɔlədʒi/]	như [03etiology]
afar [01/ə'fɑ:/]	[01* phtừ]\n- xa, ở xa, cách xa\n[02= from afar] từ xa\n[02= to stand afar off] đứng cách xa
afaul [01/ə'faul/]	[01* phtừ]\n- chạm vào; xung đột với\n[02= to run afaul of] húc vào
afe	- (Apple File Exchange) Một tiện ích cung cấp kèm theo từng máy tính Macintosh để làm cho các máy Mac, loại có trang bị ổ đựa thích hợp, có thể trao đổi dữ liệu với các máy tính tương thích IBM PC
afebrile [01/ə'fi:brail/]	[01* ttừ]\n- hết cơn sốt
affability [01/,æfə'biliti/]	như [03affableness]
affable [01/'æfəbl/]	[01* ttừ]\n- lịch sự, nhã nhặn, hoà nhã; niềm nở, ân cần
affableness [01/'æfəblnis/]	[01* dtừ]\n- sự lịch sự, sự nhã nhặn, sự hoà nhã; sự niềm nở, sự ân cần
affably [01/'æfəbli/]	[01* phtừ]\n- lịch sự, niềm nở, ân cần
affair [01/ə'feə/]	[01* dtừ]\n- việc\n[02= it's my affair] đây là việc (riêng) của tôi\n[02= mind your own affair] hãy lo lấy việc của anh\n- (số nhiều) công việc, việc làm, sự vụ\n[02= internal affair of a country] công việc nội bộ của một nước\n[02= Department of Home affair] bộ nội vụ\n[02= Department of Foreign affairs] bộ ngoại giao\n- chuyện tình, chuyện yêu đương\n- chuyện vấn đề\n[02= affair of honour] vấn đề danh dự; cuộc đọ kiếm\n- việc buôn bán; việc giao thiệp\n[02= a profitable affair] việc buôn bán có lời\n[02= to have an affair with somebody] có việc giao thiệp với ai\n- (tục) cái, thứ, vật, đồ, món, chuyện\n[02= this motor-cycle is a very complicated affair] cái mô tô này thật là một món phức tạp quá\n- (qsự) trận đánh nhỏ
affect [01/ə'fekt/]	[01* ngđtừ]\n- làm ảnh hưởng đến, làm tác động đến; chạm đến\n[02= the frequent changes of weather affect his health] thời tiết thay đổi luôn làm ảnh hưởng đến sức khoẻ của anh ấy\n[02= to affect someone's interests] chạm đến quyền lợi của ai\n- làm xúc động, làm cảm động, làm mủi lòng\n[02= the news affected him deeply] tin đó làm anh ta rất xúc động\n- làm nhiễm phải, làm mắc (bệnh)\n[02= to be affected by influenza] bị bệnh cúm\n[02= to be affected by cold] bị cảm lạnh\n- (cổ)(thường) dạng bị động\n- bổ nhiệm\n[02= to be affected to a services] được bổ nhiệm làm một công việc gì\n[01* ngđtừ]\n- giả vờ, giả bộ, làm ra vẻ\n[02= to affect ignorance] giả bộ dốt\n[02= to affect the connoisseur] làm ra vẻ sành sỏi\n- có hình dạng, thành hình\n[02= crystals affect geometrical shapes] tinh thể kết tinh lại thành những hình tinh học\n- dùng, ưa dùng, thích\n[04! to flashy clothes]\n- thích ăn mặc quần áo hào nhoáng\n- (cổ) yêu dấu, âu yếm\n[01* dtừ]\n- (tâm lý học) sự xúc động
affectation [01/,æfek'tei∫n/]	[01* dtừ]\n- sự điệu bộ, sự màu mè, sự không tự nhiên\n- sự giả vờ, sự giả bô, sự làm ra vẻ\n- (hiếm) sự bổ nhiệm, sự sử dụng (vào một việc gì)\n[02= all ship whatever their affectation] tất cả các tàu, bất cứ sử dụng vào việc gì
affected [01/ə'fektid/]	[01* ttừ]\n- (+ [04to, towards]) có ý (tốt, xấu... đối với ai)\n[02= to be well affected towards someone] có ý tốt đối với ai\n- xúc động\n- bị mắc, bị nhiễm (bệnh...)\n[02= to be affected with (by) a disease] bị mắc bệnh\n[01* ttừ]\n- giả tạo, điệu bộ, màu mè, không tự nhiên\n[02= to be very affected in one's manners] điệu bô quá\n[02= affected laugh] tiếng cười giả tạo
affectedly [01/ə'fektidli/]	[01* phtừ]\n- giả tạo, điệu bộ, màu mè, không tự nhiên
affectedness	- xem [03affected] 
affecter	- xem [03affect] 
affecting [01/ə'fektiη/]	[01* ttừ]\n- làm xúc động, làm cảm động, làm mủi lòng\n[02= an affecting scence] cảnh làm mủi lòng\n[02= the story is very affecting] câu chuyện rất xúc động
affectingly [01/ə'fektiηli/]	[01* phtừ]\n- khiến xúc động, khiến mủi lòng
affection [01/ə'fek∫n/]	[01* dtừ]\n- sự làm ảnh hưởng đến, sự làm tác động đến\n- tình cảm, cảm xúc\n[02= hope is one of the most pewerful affections of man] hy vọng là một trong những tình cảm mạnh mẽ nhất của con người\n- ((thường) + [04towards, for]) lòng yêu thương, sự yêu mến, tình cảm, thiện ý\n[02= to have an affection for children] yêu trẻ\n[02= to win someone's affection] được ai thương yêu\n- bệnh tật, bệnh hoạn\n- affection towards khuynh hướng, thiện ý về\n- tính chất, thuộc tính\n[02= figure and weight are affections of bodies] hình dạng và trọng lượng là thuộc tính của vật thể\n- trạng thái cơ thể (do bị một cái gì tác động vào...)\n- lối sống
affectional	như [03affectionally]
