capilliform [01/kə'pilifɔ:m/]	[01* ttừ]\n- dạng lông
card [01/kɑ:d/]	[01* dtừ]\n- các, thiếp, thẻ\n[02= calling card] danh thiếp\n[02= card of admission] thẻ ra vào, thẻ vào cửa\n[02= invitation card] thiếp mời\n- quân bài, bài ((cũng) [03playing card] )\n- (số nhiều) sự chơi bài\n[02= a pack of cards] một cỗ bài\n[02= trump card] quân bài chủ\n- chương trình (cuộc đua...)\n- bản yết thị\n- (Mỹ) quảng cáo (trên báo)\n- (cổ), hải la bàn ((cũng) [03mariner's card] )\n- (tục) người kỳ quặc; thằng cha, gã\n[02= a knowing card] một thằng cha láu\n[02= a queer card] một thằng cha kỳ quặc\n[04! to have a card up one's sleeve]\n- còn nắm bài chủ trong tay; có kế dự phòng\n[04! to have (hold) the cards in one's hands]\n- có tất cả bài chủ trong tay; (bóng) có tất cả yếu tố thắng lợi trong tay\n[04! house of cards]\n- xem [03house]\n[04! on (in) the cards]\n- có thể, có lẽ\n[04! one's best (trump) cards]\n- lý lẽ vững nhất; lá bài chủ (bóng)\n[04! to play one's card well]\n- chơi nước bài hay (đen & bóng)\n[04! to play a sure card]\n- chơi nước chắc (đen & bóng)\n[04! to play a wrong card]\n- chơi nước bài bớ, chơi nước bài sai lầm (đen & bóng)\n[04! to play (lay, place) one's card on the table]\n- nói rõ hết ý định, nói rõ hết kế hoạch không cần úp mở giấu giếm\n[04! to show one's card]\n- để lộ kế hoạch\n[04! to speak by the card]\n- nói rành rọt, nói chính xác\n[04! that's the card]\n- (tục) đúng thế, thế là đúng, thế là phải\n[04! to throw (fling) up one's card]\n- bỏ cuộc, chịu thua không chơi nữa\n[01* dtừ]\n- bàn chải len, bàn cúi\n[01* ngđtừ]\n- chải (len...) 
card deck	- (kỹ) chồng phiếu
card holder [01/'kɑ:d'houldə/]	[01* dtừ]\n- (Mỹ),(tục) đoàn viên công đoàn
card index [01/'ka:d 'indeks/]	- (kỹ) chỉ mục phiếu
card input	- (kỹ) đầu vào bằng phiếu, nhập bằng phiếu
card man [01/'kɑ:dmæn/]	[01* dtừ]\n- (Mỹ),(tục)(như) [03carholder] 
card puncher	- (kỹ) máy xuyên phiếu
card reader	- (kỹ) máy đọc phiếu
card reader unit	- (kỹ) bộ đọc phiếu
card sorter	- (kỹ) máy lựa phiếu
card to tape converter	- (kỹ) máy đổi phiếu ra băng
cardamom [01/'kɑ:dəməm/]	[01* dtừ]\n- (thực vật) cây bạch đậu khấu\n- bột gia vị bạch đậu khấu
cardan-joint [01/'kɑ:dən'dʒɔint/]	[01* dtừ]\n- (kỹ) khớp cacđăng
cardboard [01/'kɑ:dbɔ:d/]	[01* dtừ]\n- bìa cưng, giấy bồi, các tông
card-carrying	[01* ttừ]\n- (đảng viên) đã nộp đảng phí
card-carrying member	[01* dtừ]\n- thành viên có đăng ký của một đảng chính trị, công đoàn, vv...\n[02= a card-carrying member of the Communist party] một đảng viên chính thức của Đảng cộng sản
cardcarrying member [01/'kɑ:d,kæriiɳ 'membə/]	- xem [03card-carrying member] 
card-catalogue [01/'ka:d,kætəlɔg/]	[01* dtừ]\n- danh mục xếp theo phiếu
