quatrocentist [01/,kwɑ:trou't∫entist/]	như [03quattrocentist]
queen [01/kwi:n/]	[01* dtừ]\n- nữ hoàng, bà hoàng, bà chúa (đen & bóng)\n[02= the Queen of England] nữ hoàng Anh\n[02= the rose is the queen of flowers] hoa hồng là chúa các loài hoa\n[02= Venice the queen of the Adriatic] Vơ-ni-dơ thành phố đứng đầu vùng biển A-đri-a-tich\n- vợ vua, hoàng hậu\n- (đánh bài) quân Q\n- (đánh cờ) quân đam\n- con ong chúa; con kiến chúa\n[02= the queen bee] con ong chúa\n[04! Queen Anne is dead!]\n- người ta đã biết tỏng đi rồi, bây giờ mới nói!\n[04! queen of hearts]\n- cô gái đẹp, người đàn bà đẹp\n[01* ngđtừ]\n- chọn làm hoàng hậu; chọn làm nữ hoàng\n- (đánh cờ) nâng (quân thường) thành quân đam\n[04! to queen it]\n- làm như bà chúa
queen anne [01/,kwi:n'æn/]	[01* dtừ]\n- kiến trúc, trang trí theo lối cổ của Anh (đầu (thế kỷ) 18) 
queen bee [01/'kwi:nbi:/]	[01* dtừ]\n- người nữ\n- con ong chúa; con kiến chúa\n- người hay tỏ ra là người quan trọng nhất (nhất là phụ nữ, ở một nơi, trong một nhóm người) 
queen consort [01/'kwi:n'kɔnsɔ:t/]	[01* dtừ]\n- đương kim hoàng hậu (người đang là vợ vua) 
queen dowager [01/'kwi:n'dauədʒə/]	[01* dtừ]\n- vợ goá của một ông vua
queen mother [01/'kwi:n'mʌđə/]	[01* dtừ]\n- hoàng thái hậu (mẹ của nữ hoàng, vua đang trị vì) 
queen of grace [01/kwi:nəv'greis/]	[01* dtừ]\n- Đức mẹ (Maria) 
queen regnant [01/'kwi:n,regnənt/]	[01* dtừ]\n- nữ hoàng nhiếp chính
queen-cell [01/'kwi:nsel/]	[01* dtừ]\n- phòng chúa (mối) 
queendom [01/'kwi:ndəm/]	[01* dtừ]\n- địa vị nữ hoàng, quyền lực nữ hoàng\n- nước của nữ hoàng
queen-fish [01/'kwi:nfi∫/]	[01* dtừ]\n- (động vật) cá mạng
queenhood [01/'kwi:nhud/]	[01* dtừ]\n- địa vị nữ hoàng\n- địa vị hoàng hậu\n- thời gian trị vì của nữ hoàng
queenlike [01/'kwi:nlaik/]	như [03queenly]
queenliness [01/'kwi:nlinis/]	[01* dtừ]\n- tính chất bà hoàng; vẻ bà hoàng
queenly [01/'kwi:nli/]	[01* ttừ]\n- như bà hoàng; đường bệ\n[02= a queenly gesture] một cử chỉ đường bệ\n- (thuộc) bà hoàng, xứng đáng với một bà hoàng\n[02= queenly robes] những cái áo dài xứng đáng với một bà hoàng
queen's weather [01/'kwi:nz'weđə/]	[01* dtừ]\n- thời tiết đẹp
queer [01/kwiə/]	[01* ttừ]\n- lạ lùng, kỳ quặc\n- khả nghi, đáng ngờ\n[02= there's something queer about him] hắn ta có vẻ khả nghi\n- khó ở, khó chịu, chóng mặt\n[02= to feel queer] cảm thấy khó chịu\n[02= to be queer] (Mỹ) bị ốm\n- (lóng) say rượu\n- giả (tiền)\n[02= queer money] tiền giả\n- tình dục đồng giới\n[04! to be in Queen street]\n- (lóng) mắc nợ; gặp lúc khó khăn; gặp việc rầy rà\n[01* dtừ]\n- người tình dục đồng giới\n- (Mỹ),(lóng) tiền giả\n[01* ngđtừ]\n- (lóng) làm hại, làm hỏng\n[02= to queer someone's plan] làm hỏng kế hoạch của ai\n[02= to queer the pitch for somebody] chơi xỏ ai; phỗng tay trên ai\n- làm cho cảm thấy khó chịu\n- (Mỹ) đẩy vào một tình thế lúng túng bất lợi
queer street [01/kwiəstri:t/]	[01* dtừ]\n- tình trạng khó khăn về tài chính
queerish [01/'kwiəri∫/]	[01* ttừ]\n- hơi lạ lùng, hơi kỳ quặc\n- hơi khó ở, hơi khó chịu\n- (tục) yếu ớt, ốm yếu
queerly [01/'kwiəli/]	[01* phtừ]\n- kỳ cục, kỳ quặc\n- khả nghi, đáng ngờ\n- đồng tình luyến ái\n- khó ở, chóng mặt, không khoẻ, khó chịu
queerness [01/'kwiənis/]	[01* dtừ]\n- tính lạ lùng, tính kỳ quặc
quell [01/kwel/]	[01* ngđtừ]\n- (thơ ca) đàn áp, dập tắt, dẹp yên (cuộc nổi loạn...)\n- nén, chế ngự (mối cảm động, tình dục...) 
quench [01/kwent∫/]	[01* ngđtừ]\n- (thơ ca),(văn học) tắt, dập tắt (lửa, ánh sáng...)\n- làm hết (khát)\n[02= to quench one's thirst] làm hết khát\n- nhúng (kim loại nóng đỏ) vào nước lạnh\n- làm nguội lạnh; nén\n[02= to quench someone's enthusiasm] làm nguội lạnh nhiệt tình của ai, làm nhụt nhiệt tình của ai\n[02= to quench one's desire] nén dục vọng\n- (lóng) bắt im, làm câm miệng\n[04! to quench smoking flax]\n- (bóng) chặn đứng một sự phát triển đang có hứa hẹn
quenchable [01/'kwent∫əbl/]	[01* ttừ]\n- có thể dập tắt (lửa...)\n- có thể làm cho hết (khát)\n- có thể nén (dục vọng...) 
quencher [01/'kwent∫ə/]	[01* dtừ]\n- cái để dập tắt; người dập tắt\n- (lóng) cái để uống, cái để giải khát ((thường) a modest quencher) 
quenching [01/kwent∫iη/]	[01* dtừ]\n- sự tôi; sự dập tắt
quenchless [01/'kwent∫lis/]	[01* ttừ]\n- không dập tắt được
quenelle [01/kə'nel/]	[01* dtừ]\n- cá băm viên, thịt băm viên
querent [01/'kwi:rənt/]	[01* dtừ]\n- người chất vấn\n- người xem sao, người xem bói để dự đoán
querist [01/'kwiərist/]	[01* dtừ]\n- người hỏi, người chất vấn
quern [01/kwə:n/]	[01* dtừ]\n- cối xay, quay tay\n[02= pepper quern] cối xay hạt tiêu
querulous [01/'kweruləs/]	[01* ttừ]\n- hay than phiền\n- hay càu nhàu, cáu kỉnh
querulously [01/'kweruləsli/]	[01* phtừ]\n- hay càu nhàu, hay than phiền, dễ cáu kỉnh
querulousness [01/'kweruləsnis/]	[01* dtừ]\n- tính hay than phiền\n- tính hay càu nhàu, tính cáu kỉnh
query [01/'kwiəri/]	[01* dtừ]\n- câu hỏi, câu chất vấn; thắc mắc\n- ((vt), qu.) thử hỏi, chẳng biết\n[02= query (qu.), has the letter been answered?] chẳng biết bức thư đó đã được trả lời hay chưa?\n- dấu chấm hỏi\n[01* nđtừ]\n- (+[04 whether, if]) hỏi, hỏi xem, chất vấn\n- đặt câu hỏi; đánh dấu hỏi\n[01* ngđtừ]\n- nghi ngờ, đặt vấn đề nghi ngờ, thắc mắc
quest [01/kwest/]	[01* dtừ]\n- sự truy tìm, sự truy lùng\n[02= in quest of] tìm kiếm, truy lùng\n- (cổ) cái đang tìm kiếm, cái đang truy lùng\n- (cổ) sự điều tra; cuộc điều tra; ban điều tra\n[02= crowner's quest] sự điều tra về một vụ chết bất thường\n[01* nđtừ]\n- đi tìm, lùng (chó săn)\n- (thơ ca) tìm kiếm\n[04! to quest about]\n- đi lùng quanh
question	[01* dtừ]\n- câu hỏi\n[02= to put a question] đặt một câu hỏi\n[02= to answers a question] trả lời một câu hỏi\n- vấn đề; điều bàn đến, điều nói đến\n[02= a nice question] một vấn đề tế nhị\n[02= the question is...] vấn đề là...\n[02= that is not the question] vấn đề không phải là thế, vấn đề không phải ở đó\n[02= this is out of the question] không thành vấn đề, không phải là chuyện bàn đến nữa\n[02= the person in question] người đang được nói đến\n[02= the matter in question] việc đang được bàn đến\n[02= to come into question] được thảo luận bàn bạc; thành vấn đề thảo luận bàn bạc\n[04! question!]\n- xin đi vào đề! (trong hội nghị, nhắc người phát biểu nói lan man ngoài đề) ; có vấn đề đấy! (tỏ ý nghi ngờ sự việc do ai đang nói)\n[02= to put the question] lấy biểu quyết\n- sự nghi ngờ\n[02= beyond all (out of, past without) question] không còn nghi ngờ gì nữa\n[02= to call in question] đặt thành vấn đề nghi ngờ\n[02= to make no question of...] không may may nghi ngờ gì về...\n- (cổ) sự tra tấn để bắt cung khai\n[02= to be put to the question] bị tra tấn đề bắt cung khai\n[04! to beg the question]\n- coi như vấn đề đưa ra là đã quyết định rồi (đã đúng rồi) chẳng cần phải thảo luận làm gì\n[01* ngđtừ]\n- hỏi, hỏi cung\n- nghi ngờ; đặt thành vấn đề\n[02= to question the honesty of somebody] nghi ngờ tính lương thiện (chân thật) của ai\n[02= it cannot be questioned but (that)] không thể còn nghi ngờ gì nữa là, chắc chắn là\n- điều tra, nghiên cứu, xem xét (sự việc, hiện tượng) 
question time [01/'kwest∫ən'taim/]	[01* dtừ]\n- thời gian quốc hội có quyền chất vấn chính phủ, thời gian để cho các bộ trưởng chất vấn các nghị sự (tại hạ nghị viện Anh) 
question!	- thành ngữ question\n- question!\n- xin đi vào đề! (trong hội nghị, nhắc người phát biểu nói lan man ngoài đề) ; có vấn đề đấy! (tỏ ý nghi ngờ sự việc do ai đang nói) 
questionable [01/'kwest∫ənəbl/]	[01* ttừ]\n- đáng ngờ, đáng nghi ngờ
questionably [01/'kwest∫ənəbli/]	[01* phtừ]\n- đáng ngờ, có vấn đề
questionary [01/'kwestʃənəri/]	[01* dtừ]\n- (hiếm)(như) [03questionnaire] 
questioner [01/'kwest∫ənə/]	như [03querist]
questioningly [01/'kwest∫əniηli/]	[01* phtừ]\n- dùng cử chỉ có tính chất dò hỏi, có giọng nói có tính chất dò hỏi
questionless [01/'kwest∫ənlis/]	[01* ttừ]\n- không còn nghi ngờ gì nữa, chắc chắn rõ ràng
question-mark [01/'kwestʃnmɑ:k/]	[01* dtừ]\n- dấu hỏi
question-master [01/'kwest∫ən'mɑ:stə/]	[01* dtừ]\n- người hỏi chính trong cuộc thi đố vui (trên truyền hình, truyền thanh) 
questionnaire [01/,kwestiə'neə/]	[01* dtừ]\n- bản câu hỏi (để điều tra, để thăm dò ý kiến) 
question-stop [01/'kwest∫ən'stɔp/]	như [03question-mark]
questor [01/,kwestə/]	[01* dtừ]\n- (cổ La mã) quan coi quốc khố; tài chính quan
questorship [01/'kwestə∫ip/]	[01* dtừ]\n- chức quan coi quốc khố, chức tài chính quan
quetzal [01/ket'sɑ:l/]	[01* dtừ]\n- (động vật) chim đuôi seo (ở Trung mỹ)\n- đồng ketxan (tiền Goa-ta-ma-la) 
queue [01/kju:/]	[01* dtừ]\n- đuôi sam\n- hàng (người, xe ô tô ở ngã tư khi có đèn đỏ...) xếp nối đuôi\n[02= to stand in a queue] xếp hàng nối đuôi nhau\n[01* nđtừ]\n- ((thường) +[02up]) xếp hàng nối đuôi nhau\n[02= to queue up for a tram] xếp hàng nối đuôi nhau để lên xe điện\n[01* ngđtừ]\n- tết (tóc thành đuôi sam) 
queue-jump [01/'kjuə,dʒʌmp/]	[01* nđtừ]\n- đứng vào hàng người đã nối đuôi nhau
queue-jumper [01/'kjuə,dʒʌmpə/]	[01* dtừ]\n- người queue-jump
queuer [01/'kju:ə/]	[01* dtừ]\n- người queue
qui vive [01/ki:'vi:v/]	[01* dtừ]\n- on the qui_vive giữ thế, giữ miếng; cảnh giác
quibble [01/'kwibl/]	[01* dtừ]\n- lối chơi chữ\n- cách nói nước đôi; cách nói lảng; lý sự cùn, cách nói nguỵ biện\n[01* nđtừ]\n- chơi chữ\n- nói nước đôi; nói lảng; lý sự cùn, nguỵ biện
quibbler [01/'kwiblə/]	[01* dtừ]\n- người hay chơi chữ\n- người hay nói nước đôi; người hay nói lảng; người hay lý sự cùn, người hay nguỵ biện
quibbling [01/'kwibliη/]	[01* dtừ]\n- sự chơi chữ\n- sự nói nước đôi; sự nói lảng; sự hay lý sự cùn, sự nguỵ biện
quiche [01/ki:∫/]	[01* dtừ]\n- khoái khẩu
quick [01/kwik/]	[01* dtừ]\n- thịt mềm (dưới móng tay, móng chân, trong vết thương)\n- tâm can, ruột gan; chỗ nhạy cảm nhất\n[02= the insult stung him to the quick] lời lăng mạ làm anh đau nhói tâm can\n[02= to cut (touch) to the quick] chạm vào chỗ nhạy cảm nhất, chạm nọc\n- (the quick)(cổ) những người còn sống\n[02= the quick and the dead] những người còn sống và những người đã chết\n[04! to the quick]\n- đến tận xương tuỷ\n[02= to be a radical to the quick] là người cấp tiến đến tận xương tuỷ, là người cấp tiến trăm phần trăm\n[01* ttừ]\n- nhanh, mau\n[02= a quick train] chuyến xe lửa (tốc hành) nhanh\n[02= be quick] nhanh lên\n- tinh, sắc, thính\n[02= a quick eye] mắt tinh\n[02= a quick ear] tai thính\n- tính linh lợi, hoạt bát, nhanh trí, sáng trí\n[02= a quick mind] trí óc linh lợi\n[02= a quick child] một em bé sáng trí\n[02= quick to understand] tiếp thu nhanh\n- nhạy cảm, dễ\n[02= to be quick to take offence] dễ phật lòng, dễ giận\n[02= to be quick of temper] dễ nổi nóng, nóng tánh\n- (cổ) sống\n[02= to be with quick child; to be quick with child] có mang sắp đến ngày sinh (thai đã đạp ở trong bụng)\n[02= quick hedge] hàng rào cây xanh\n[04! let's have a quick one]\n- chúng ta uống nhanh một cốc đi\n[01* phtừ]\n- nhanh\n[02= don't speak so quick] đừng nói nhanh thế
quick break [01/'kwik'bred/]	[01* dtừ]\n- bánh nướng ngay được
quick march [01/'kwik'mɑ:t∫/]	[01* dtừ]\n- bước đều (hiệu lệnh (qsự)) 
quick one	[01* dtừ]\n-(tục) một hớp, ngụm
quick step [01/'kwik'bred/]	[01* dtừ]\n- (qsự) bước nhanh (dùng trong hành quân xem [03quick-time] )\n[01* dtừ]\n- điệu nhảy fôctrôt nhanh
quickbasic	- Một trình biên dịch hiệu suất cao dùng cho các chương trình được viết theo ngôn ngữ Microsoft BASIC
quick-change [01/'kwik't∫eindʒ/]	[01* ttừ]\n- (sân khấu) thay đổi quần áo nhanh, hoá trang nhanh (để đóng một vai khác trong cùng một vở) 
quickdraw	- Công nghệ đồ họa hướng đối tượng và hiển thị văn bản được lưu trữ trong mọi bộ nhớ chỉ đọc ra (ROM) của máy Macintosh Khi xây dựng các chương trình Macintosh, các lập trình viên vẽ bằng cách tài nguyên của Quick Draw để tạo nên các cửa sổ, các hộp hội thoại, các lệnh đơn và các hình dáng, cho nên các chương trình của họ trông có vẻ giống nhau
quick-eared [01/'kwik'iəd/]	[01* ttừ]\n- thính tai
quicken [01/'kwikən/]	[01* ngđtừ]\n- làm tăng nhanh, đẩy mạnh\n- làm sống lại, làm tươi lại\n- làm hoạt động, làm nhộn lên, làm sôi nổi lên\n- kích thích, gợi lên, nhen lên; khêu (ngọn lửa)\n[02= to quicken one's appetite] kích thích sự thèm ăn\n[01* nđtừ]\n- tăng tốc độ nhanh hơn\n[02= the pulse quickened] mạch đập nhanh hơn\n- sống lại, tươi lại\n- hoạt động, nhộn lên, sôi nổi lên\n- bắt đầu cảm thấy thai đạp trong bụng (người đàn bà có mang) 
quick-eyed [01/'kwik'aid/]	như [03quick-sighted]
quick-feeze [01/'kwikfri:z/]	[01* ngđtừ]\n- ướp lạnh nhanh (đồ ăn để giữ phẩm chất)\n[01* nđtừ]\n- đông nhanh (đồ ăn) 
quick-fire [01/'kwik,faiə/]	[01* ttừ]\n- sinh động; làm nhanh
quick-firer [01/'kwik'faiərə/]	[01* dtừ]\n- (qsự) súng bắn nhanh
quick-firing [01/'kwik'faiəriη/]	[01* ttừ]\n- (qsự) bắn nhanh (sáng) 
quick-freeze [01/'kwik'fri:z/]	[01* ngđtừ]\n- ướp lạnh nhanh (đồ ăn để giữ phẩm chất)\n[01* nđtừ(quick-froze, quick-frozen)]\n- đông nhanh (đồ ăn) 
quickie [01/'kwiki/]	[01* dtừ]\n- (tục) phim làm ẩu (cốt chỉ để đảm bảo chi tiết sản xuất phim hàng năm)\n- (Mỹ) công việc làm ăn (cốt chỉ để đảm bảo chỉ tiêu)\n- (Mỹ) cốc rượu pha vội
quicklime [01/'kwiklaim/]	[01* dtừ]\n- vôi sống
quickly [01/'kwikli/]	[01* phtừ]\n- nhanh, nhanh chóng
quickness [01/'kwiknis/]	[01* dtừ]\n- sự nhanh, sự mau chóng\n- sự tinh, sự thính (mắt, tai...)\n- sự linh lợi, sự nhanh trí\n- sự đập nhanh (mạch)\n- sự dễ nổi nóng\n[02= quickness of temper] tính dễ nổi nóng
quick-operating [01/'kwik,ɔpəreitiη/]	[01* ttừ]\n- thao tác nhanh, vận hành nhanh
quicksand [01/'kwiksænd/]	[01* dtừ]\n- cát lún, cát lầy, cát chảy
quick-sand [01/'kwiksænd/]	[01* dtừ]\n- cát lún; cát lầy; cát chảy
quicksanded [01/'kwiksændid/]	[01* ttừ]\n- ở vào nơi cát lún
quick-scented [01/'kwik,sentid/]	[01* ttừ]\n- thính mũi (chó) 
quickset [01/'kwikset/]	[01* dtừ]\n- cây trồng làm bằng hàng rào (thường là cây táo gai)\n- hàng rào cây xanh, hàng rào táo gai\n[01* ttừ]\n- quickset hedge hàng rào cây xanh
quick-sighted [01/'kwik'saitid/]	[01* ttừ]\n- tinh mắt, nhanh mắt
quicksilver [01/'kwiksilvə/]	[01* dtừ]\n- thuỷ ngân\n- (bóng) tính hiếu động; tính hoạt bát nhanh nhẹn\n[02= to have quicksilver in one's veins] rất hiếu động; hoạt bát nhanh nhẹn\n[01* ngđtừ]\n- tráng thuỷ (gương) 
quickstep [01/'kwik'step/]	[01* dtừ]\n- điệu nhảy phốc-tơ-rốt nhanh
quick-tempered [01/'kwik'tempəd/]	[01* ttừ]\n- nóng tính, dễ cáu
quick-test [01/'kwiktest/]	[01* dtừ]\n- sự thử nhanh
quickthorn [01/'kwikθɔ:n/]	[01* dtừ]\n- cây táo gai
quicktime [01/'kwik'taim/]	- Một phát triển đối với phần mềm hệ thống của Macintosh, cho phép các trình ứng dụng phù hợp với Quick Time có thể hiện thị các cảnh video hoặc cảnh động một cách chính xác đồng bộ với âm thanh dạng số chất lượng cao Trong một tài liệu huấn luyện chẳng hạn, bạn có thể click chuột vào một biểu tượng để xem một cảnh video QuickTime (một "cuộn phim") trình bày một kỹ thuật hoặc một qui trình nào đó
quick-time [01/'kwik'taim/]	[01* dtừ]\n- (qsự) tốc độ hành quân nhanh (6km một giờ) 
quick-witted [01/'kwik'witid/]	[01* ttừ]\n- nhanh trí, ứng đối nhanh
quictlaim [01/'kwitkleim/]	[01* dtừ]\n- sự từ bỏ quyền
quid [01/kwid/]	[01* dtừ]\n- viên thuốc lá, miếng thuốc lá (để nhai)\n- (lóng)(số nhiều không đổi) đồng bảng Anh
quid pro quo [01/,kwid prou 'kwou/]	[01* dtừ]\n- bật bồi thường; miếng trả lại\n- (hiếm) điều lầm lẫn, điều lẫn lộn
quidam [01/'kwidæm/]	[01* dtừ]\n- một người nào đó (không ai biết) 
quidative [01/'kwidətiv/]	[01* ttừ]\n- thuộc bản chất, thuộc tinh túy
quiddity [01/'kwiditi/]	[01* dtừ]\n- bản chất, thực chất\n- lý sự cùn; lời bắt bẻ sợi tóc chẻ tư
quiddle [01/'kwidl/]	[01* nđtừ]\n- hao phí thời gian\n- phê bình; giám định
quidnunc [01/'kwidnʌηk/]	[01* dtừ]\n- người hay phao tin bịa chuyện; người hay ngồi lê đôi mách\n- (Mỹ) người tọc mạch
quiesce [01/kwi'es/]	[01* nđtừ]\n- in lặng\n- (ngôn) trở thành câm
quiescence [01/kwai'esns/]	[01* dtừ]\n- sự im lìm, sự yên lặng
quiescency [01/kwai'esnsi/]	như [03quiescence]
quiescent [01/kwai'esnt, kwi'esnt/]	[01* ttừ]\n- im lìm, yên lặng\n[02= quiescent sea] biển lặng\n[02= be quiescent!] im đi!
quiet [01/'kwaiət/]	[01* ttừ]\n- lặng, yên lặng, yên tĩnh\n- trầm lặng\n- nhã (màu sắc)\n[02= quiet colours] màu nhã\n- thái bình, yên ổn, thanh bình; thanh thản\n[02= quiet times] thời đại thái bình\n[02= quiet conscience] lương tâm thanh thản\n- thầm kín, kín đáo\n[02= to harbour quiet resentment] nuôi một mối oán hận thầm kín\n[02= to keep something quiet] giữ kín một điều gì\n- đơn giản, không hình thức\n[02= a quiet dinner-party] bữa cơm thết đơn giản thân mật\n[02= a quiet weeding] lễ cưới đơn giản không hình thức\n[01* dtừ]\n- sự yên lặng, sự yên tĩnh, sự êm ả\n[02= in the quiet of night] trong đêm khuya thanh vắng\n[02= a few hours of quiet] một vài giờ phút êm ả\n- sự yên ổn, sự thanh bình, sự thanh thản\n[02= to live in quiet] sống trong cảnh thanh bình\n[01* ngđtừ]\n- làm êm, làm dịu, làm nín, vỗ về\n[02= to quiet a fretful child] dỗ một em bé đang quấy\n[01* nđtừ]\n- (+[04 down]) trở lại yên tĩnh, lắng xuống\n[02= the city quieted down] thành phố trở lại yên tĩnh
quieten [01/'kwaiətn/]	[01* ngđtừ & nđtừ]\n- (như) [03quiet] 
quietism [01/'kwaitizəm/]	[01* dtừ]\n- chủ nghĩa ẩn dật; dòng tu kín
quietist [01/'kwaitist/]	[01* dtừ]\n- người ẩn dật; người tu kín
quietive [01/'kwaitiv/]	[01* ttừ]\n- có tác dụng giảm đau; trấn tỉnh\n[01* dtừ]\n- thuốc giảm đau, thuốc trấn tỉnh
quietly [01/'kwiətli/]	[01* phtừ]\n- yên lặng, yên tĩnh, êm ả\n- yên ổn, thanh bình, thanh thản
quietness [01/'kwaiətnis/]	[01* dtừ]\n- sự yên lặng, sự yên tĩnh, sự êm ả\n- sự trầm lặng\n- sự nhã (màu sắc)\n- cảnh yên ổn, cảnh thanh bình, sự thanh thản
quietude [01/'kwaiitju:d/]	[01* dtừ]\n- sự yên tĩnh\n- sự thanh thản
quietus [01/kwai'i:təs/]	[01* dtừ]\n- sự từ trần, sự chết\n[02= to get one's quietus] chết\n- (lóng) đòn đánh cho chết hẳn, phát đạn bắn cho chết hẳn\n[02= to give someone his quietus] giết chết ai, đánh cho ai một đòn chết hẳn\n- (hiếm) giấy biên nhận (để thu hết tiền...)\n- (Mỹ) trạng thái bất động
quiff [01/kwif/]	[01* dtừ]\n- mớ tóc chảy ngược lên trên trán (nhất là của nam giới) 
quill [01/kwil/]	[01* dtừ]\n- ống lông (lông chim)\n- lông cánh; lông đuôi ((cũng) [03quill feather] )\n- lông nhím\n- bút lông ngỗng ((cũng) [03quill pen] ) ; phao bằng ống lông (để đi câu) ; tăm bằng ống lông; cái gảy đàn bằng ống lông\n- ông chỉ, thoi chỉ\n- (âm nhạc) cái sáo\n- thanh quế\n- vỏ canh ki na cuộn vỏ đỏ\n[04! to drive a quill]\n-(đùa) làm nghề viết văn\n- làm nghề cạo giấy\n[01* ngđtừ]\n- cuộn thành ống\n- cuộn chỉ vào ống
quill feather [01/'kwil'feđə/]	[01* dtừ]\n- lông cánh, lông đuôi (chim) 
quill pen [01/'kwil'pen/]	[01* dtừ]\n- bút lông ngỗng
quill-driver [01/'kwil,draivə/]	[01* dtừ]\n-(đùa) nhà căn; nhà báo\n- thư ký, người cạo giấy ((bóng)) 
quiller [01/'kwilə/]	[01* dtừ]\n- (ngành dệt) máy đánh ống sợi ngang
quillet [01/'kwilit/]	[01* dtừ]\n- (cổ) lý sự cùn; lời bắt bẻ sợi tóc chẻ làm tư
quilling [01/'kwiliη/]	[01* dtừ]\n- nếp xếp hình tổ ong (ren, đăng ten...) ; vải xếp nếp hình tổ ong
quill-wort [01/'kwil,wə:t/]	[01* dtừ]\n- (thực vật) cây thủy phỉ
quilt [01/kwilt/]	[01* dtừ]\n- mền bông; mền đắp, chăn\n[01* ngđtừ]\n- chần, may chần (mền, chăn...)\n- khâu (thư, tiền...) vào giữa hai lần áo\n- thu nhập tài liệu để biên soạn (sách)\n- (lóng) đánh, nện cho một trận
quim [01/kwim/]	[01* dtừ]\n- (tục) bộ phận sinh dục nữ
quin [01/'kwin/]	[01* dtừ]\n- (tục) đứa trẻ sinh năm
quina [01/'kwainə/]	[01* dtừ]\n- vỏ cây canh-ki-na
quinary [01/'kwainəri/]	[01* ttừ]\n- gồm năm cái; xếp năm cái một
quinate [01/'kwaineit/]	[01* ttừ]\n- (thực vật) có năm lá chét (lá) 
quince [01/kwins/]	[01* dtừ]\n- quả mộc qua\n- (thực vật) cây mộc qua
quincentenary [01/'kwindʒen'ti:nəri/]	[01* ttừ]\n- (thuộc) kỷ niệm năm trăm năm\n[01* dtừ]\n- lễ kỷ niệm năm trăm năm
quincenterany [01/,kwinsen'ti:nəri/]	như [03quincentenary]
quincuncial [01/kwin'kʌn∫əl/]	[01* ttừ]\n- sắp xếp theo hình nanh sấu (bốn ở góc, một ở giữa) 
quincunx [01/'kwinkʌηks/]	[01* dtừ]\n- cách sắp xếp nanh sấu
quindecillion [01/kwində'siliən/]	[01* dtừ]\n- con số 10 ự 90 hay 1 000 000 ự 15
quingagesima [01/,kiηkwə'dʒesimə/]	[01* dtừ]\n- chủ nhật trước mùa chay (đạo thiên chúa) 
quingentenary [01/'kwindʤen'ti:nəri/]	như [03quincentenary]
quinia [01/'kwiniə/]	[01* dtừ]\n- (dược học) Quinin
quinic [01/'kwinik/]	[01* ttừ]\n- (hoá) Quinic\n[02= quinic acid] axit quinic
quinine [01/kwi'ni:n/]	như [03quinia]
quinism [01/'kwinizəm/]	[01* dtừ]\n- bệnh ù tai vì uống quá nhiều quinin\n- chứng ngộ độc quinin
quinize [01/'kwinaiz/]	[01* ngđtừ]\n- cho uống quinin
quinquagenarian [01/,kwiηkwədʒi'neəriən/]	[01* dtừ]\n- người năm mươi tuổi
quinquagenary [01/,kwiηkwə'dʒi:nəri/]	[01* ttừ]\n- (thuộc) kỷ niệm năm mươi năm
quinquagesima [01/,kwiηkwə'dʒesimə/]	[01* dtừ]\n- (tôn giáo) ngày chủ nhật trước tuần chay (50 ngày trước lễ Phục sinh)((cũng) [03quinquagesima Sunday] ) 
