entomostracous [01/entə'mɔstrəkəs/]	[01* ttừ]\n- xem [03entomostracan] 
envenomed [01/in'venəmd/]	[01* ttừ]\n- hiểm độc; độc ác\n[02= envenomed tongue] ngôn ngữ hiểm độc
envenomization [01/in,venəmai'zei∫n/]	[01* dtừ]\n- tình trạng bị nhiễm độc vì vỏ khí hay rắn hay rắn độc
enviable [01/'enviəbl/]	[01* ttừ]\n- gây thèm muốn, gây ghen tị, gây đố kỵ; đáng thèm muốn, đáng ghen tị
enviably [01/'enviəbli/]	[01* phtừ]\n- đáng thèm muốn, đáng ganh tị
envier	như [03envyingly]
envious [01/'enviəs/]	[01* ttừ]\n- thèm muốn, ghen tị, đố kỵ\n[02= to make someone envious] làm cho ai thèm muốn\n[02= with envious eyes] với con mắt đố kỵ
enviously [01/'enviəsli/]	[01* phtừ]\n- thèm muốn, ganh tị, lăm le
enviousness	- xem [03envious] 
environ [01/in'vaiərən/]	[01* ngđtừ]\n- bao vây, vây quanh, bao vây
environment [01/in'vaiərənmənt/]	[01* dtừ]\n- môi trường, hoàn cảnh, những vật xung quanh\n- sự bao quanh, sự vây quanh, sự bao vây
environment variable	- (kỹ) biến số môi trường
environmental [01/in,vairən'mentl/]	[01* ttừ]\n- thuộc về môi trường
environmental requirement	- (kỹ) yêu cầu về môi trường
environmentalism [01/in,vaiərən'məntəlizm/]	[01* dtừ]\n- môi trường luận (thuyết cho môi trường quan trọng hơn di truyền trong sự phát triển văn hoá) 
environmentalist [01/in,vaiərən'mentəlist/]	[01* dtừ]\n- người quan tâm bảo vệ môi trường, nhà môi trường học
environmentally [01/in,vaiərən'mentəli/]	[01* phtừ]\n- về phương diện môi trường
environs [01/in'vaiərənz/]	[01* dtừ s/n]\n- vùng xung quanh, vùng ven (thành phố) 
envisage [01/in'vizidʒ/]	[01* ngđtừ]\n- nhìn thẳng vào mặt (ai)\n- đương đầu với (sự nguy hiểm, sự việc...)\n- dự tính, vạch ra (kế hoạch...) ; nhìn trước
envisagement [01/in'vizidʒmənt/]	[01* dtừ]\n- sự nhìn thẳng vào mặt\n- sự đương đầu với\n- sự dự tính, sự nhìn trước
envision [01/in'viʒn/]	[01* ngđtừ]\n- nhìn thấy như trong ảo ảnh\n- (Mỹ) mường tượng, hình dung
envolop	- bao hình, bao\n- e. of characteristics bao hình các đặc tuyến\n- e. of urves bao hình của các đường\n- e. of a family of curves bao hình của một họ đường cong\n- e. of holomorphy (giải tích) bao chỉnh hình\n- e. of a one-parameter family of curves bao hình của một họ tham số\n- của đường cong\n- e. of a one-parameter family of straight lines bao hình của một họ\n- tham số của đường thẳng\n- e. of a one-parameter family of surfaces bao hình của một họ tham số\n- của mặt\n- e. of surfaces bao hình của các mặt\n- modulation e. bao hình biến điệu\n- pulse e. bao hình xung\n- sinusoidal e. bao hình sin
envoy [01/'envɔi/]	[01* dtừ]\n- phái viên, đại diện; đại diện ngoại giao\n- công sứ\n[04! Envoy Extraordinary and Minister Plenipotentiary]\n- (ngoại giao) công sứ đặc mệnh toàn quyền
envoyship [01/'envɔi∫ip/]	[01* dtừ]\n- chức phái viện, chức đại diện; chức đại diện ngoại giao
envy [01/'envi/]	[01* dtừ]\n- sự thèm muốn, sự ghen tị, sự đố kỵ\n- vật làm người ta thèm muốn; người làm người ta ghen tị; lý do làm người ta thèm muốn, lý do làm người ta ghen tị\n[02= his strength is the envy of the school] sức khoẻ của anh ta là cái mà trong trường ai cũng thèm muốn\n[01* ngđtừ]\n- thèm muốn, ghen tị, đố kỵ
envyingly	- xem [03envy] 
enwind [01/in'waind/]	như [03enwound]
enwomb [01/in'wu:m/]	[01* ngđtừ]\n- cất trong bụng, cất trong lòng, cất kín
enwound [01/in'waind/]	[01* ngđtừ enwound]\n- cuộn tròn, xung quanh
enwrap [01/in'ræp/]	[01* ngđtừ]\n- bọc, quấn\n[04! to be enwrapped]\n- đang trầm ngâm\n[04! to be enwrapped in slumber]\n- đang mơ màng giấc điệp
enwreathe [01/in'ri:đ/]	[01* ngđtừ]\n- kết vòng hoa quanh (cái gì) ; đặt vòng hoa lên đầu (ai)\n- bện tết
enyo [01/i'naiou/]	[01* dtừ]\n- nữ thần hiến đấu (thần thoại Hy-lạp) 
enzedder [01/en'zedə/]	[01* dtừ]\n- người Niu Dilân
enzootic [01/enzou'ɔtik/]	[01* ttừ]\n- gây bệnh động vật (bệnh có tính chất cục bộ) ; thuộc dịch động vật địa phương
enzygotic [01/enzai'gɔtik/]	[01* ttừ]\n- hệt nhau (con sinh đôi) 
enzymatic	như [03enzymically]
enzymatically	như [03enzymically]
enzyme [01/'enzaim/]	[01* dtừ]\n- (hoá),(sinh vật) Enzim
enzymically	- xem [03enzyme] 
enzymmologist [01/,enzai'mɔlədʒist/]	[01* dtừ]\n- nhà enzim học
enzymmology [01/,enzai'mɔlədʒi/]	[01* dtừ]\n- enzim học
eo nomine [01/'eiou'nɔminei/]	[01* phtừ] dưới cái tên ấy
eocene [01/'i:ousi:n/]	[01* dtừ]\n- (địa) thế eoxen
eoclimax [01/i:ou'klaimæks/]	[01* dtừ]\n- cao đỉnh của gió
eof	- Viết tắt của [03End Of File] : Kết thúc tệp
eol	- Viết tắt của [03End Of Line] : Hết dòng
eolation [01/i:ou'lei∫n/]	[01* dtừ]\n- sự phong hoá; sự hủy hoại do gió
eolian [01/i:'ouliən/]	[01* ttừ]\n- do gió; do gió đưa tới
eolith [01/'i:ouliθ/]	[01* dtừ]\n- (khảo cổ học) đồ đá sớm
eolithic [01/,i:ou'liθik/]	[01* ttừ]\n- (khảo cổ học)(thuộc) thời kỳ đồ đá sớm
eon [01/'i:ən/]	như [03aeon]
eonian [01/i:'ouniən/]	[01* ttừ]\n- vĩnh cữu; vô cùng
eosin [01/'i:ousin/]	[01* dtừ]\n- (hoá) Eozin
eosinophil [01/i:ə'sinəfil/]	[01* ttừ]\n- ưa eozin\n[01* dtừ]\n- tế bào ưa eozin
EOT (End of Transmission)	- (kỹ) chấm dứt truyền phát
eozoic [01/,i:ə'zouik/]	[01* dtừ]\n- (địa chất) thời kỳ địa chất cổ xưa nhất; thế trước Cambri
eozotic	[01* ttừ]\n- xem [03eozoic] tính từ
ep [01/,i: 'pi:/]	[01* (vt)]\n- dựa hát chơi lâu ([03extended-play record]) 
epacmatic [01/,ipækmeitik/]	[01* ttừ]\n- xem [03epacme] 
epacme [01/i'pækmə/]	[01* dtừ]\n- (sinh học) kỳ trước điểm cao phát triển
epact [01/'i:pækt/]	[01* dtừ]\n- (thiên văn) số ngày lịch so le (số ngày hơn của năm dương lịch so với năm âm lịch) 
epactal [01/'i:pæktəl/]	[01* ttừ]\n- thừa quá nhiều
epanthous [01/i'pænθəs/]	[01* ttừ]\n- (sinh học) sống ở hoa
eparch [01/'epa:k/]	[01* dtừ]\n- (tôn giáo) đại giáo chủ (nhà thờ chính giáo)\n- quận (từ cổ La-mã) 
eparchy [01/'epa:ki/]	[01* dtừ]\n- giáo khu (chính giáo)\n- quận (từ cổ La-mã) 
epaulement [01/e'pɔ:lmənt/]	[01* dtừ]\n- (qsự) công sự bên (ở cạnh công sự chính) 
epaulet [01/'epəlet/]	[01* dtừ]\n- (qsự) cầu vai\n[02= to win one's epaulet] được thăng cấp, được đề bạc làm sỹ quan
epaulette [01/'epoulet/]	như [03epaulet]
epaxial [01/i'pæksiəl/]	[01* ttừ]\n- trên trục
épée [01/ei'pei/]	[01* dtừ]\n- kiếm lưỡi mảnh, đầu nhọn (mũi tù) được dùng trong môn đấu kiếm
epeirogenesis [01/,epairə'dʒenisis/]	[01* dtừ]\n- (địa) sự phát sinh lục địa
epeirogeny [01/epai'rɔdʒeni/]	[01* dtừ]\n- xem [03epeirogenesis] 
epencephalic [01/epensə'fælik/]	[01* ttừ]\n- thuộc tiểu não
epencephalon [01/epen'sefəlɔn/]	[01* dtừ]\n- (phẫu) tiểu não
ependyma [01/e'pendimə/]	[01* dtừ]\n- lớp lót khoang não-tủy sống
ependymal [01/e'pendiməl/]	[01* ttừ]\n- thuộc lớp khoang não-tủy sống
epenthesis [01/e'penθisis/]	[01* dtừ]\n- (ngôn) hiện tượng chêm âm
epenthetic [01/,epen'θetik/]	[01* ttừ]\n- (ngôn) chêm; (thuộc) âm chêm
epergne [01/i'pə:n/]	[01* dtừ]\n- vật trang trí bàn ăn
eperlan	[01* dtừ]\n- (động vật) cá hương
epexegetic [01/e,peksi'dʒetik/]	[01* ttừ]\n- (ngôn) thêm cho rõ nghĩa từ
epexegetical [01/e,peksi'dʒetikl/]	như [03epexegetic]
epexegexis [01/e,peksi'dʒi:sis/]	[01* dtừ]\n- (ngôn) từ thêm cho rõ nghĩa
ephah [01/i:fə/]	[01* dtừ]\n- đơn vị đong đồ khô của cổ Do Thái, bằng 36; 37 lít
ephebe [01/e'fi:b/]	[01* dtừ]\n- công dân từ 18 đến 20 tuổi, êfep ((cổ) Hy-lạp) 
ephebic	- xem [03ephebe] 
ephedra [01/e'fi:drə/]	[01* dtừ]\n- thực giống cây ma hoàng
ephedrin [01/e'fedrin/]	[01* dtừ]\n- (dược học) Êfêđrin
ephelides [01/e'fi:lis/]	như [03ephelis]
ephelis [01/e'fi:lis/]	[01* dtừ] s/n [03ephelides]\n- (y) nốt tàn hương
ephemera [01/i'femərə/]	như [03ephemerae]
ephemerae [01/i'femərə/]	[01* dtừ] s/n [02ephemeras, ephemerae]\n- (động vật) con phù du\n- vật chóng tàn\n[01* dtừ] s/n của [03ephemeron]
ephemeral [01/i'femərəl/]	[01* ttừ]\n- phù du, sớm chết, chóng tàn, sớm nở tối tàn
ephemerality [01/i,femə'ræliti/]	[01* dtừ]\n- tính phù du; sự sớm chết, sự chóng tàn, sự sớm nở tối tàn
ephemerally	như [03ephemeralness]
ephemeralness	- xem [03ephemeral] 
ephemeridae [01/i'feməridi:/]	[01* dtừ s/n]\n- khoa phù du; họ phù du
ephemerides [01/i'feməris/]	[01* dtừ] s/n [03ephemerides]\n- lịch thiên văn\n- (động vật) con phù du
