unlikeness [01/ʌn'laiknis/]	[01* dtừ]\n- xem [03unlike] 
unmet [01/ʌn'met/]	[01* ttừ]\n- (đòi hỏi, mục đích...) không được đạt đến, không được thoả mãn
unmetalled [01/ʌn'mentld/]	[01* ttừ]\n- không rãi nhựa
unmetamorphosed [01/'ʌn,metə'mɔ:fouzd/]	[01* ttừ]\n- không gây biến thái\n- không thay đổi, biến hoá
unmethodical [01/,ʌnmi'θɔdikl/]	[01* ttừ]\n- không có phương pháp
unmetrical [01/,ʌn'metrikl/]	[01* ttừ]\n- không có vận luật, vi phạm vận luật (thơ) 
unmew [01/ʌn'mju:/]	[01* ngđtừ]\n- (thơ ca) ; (văn học) thả ra
unmilitary [01/ʌn'militəri/]	[01* ttừ]\n- không quân sự, không phải là quân đội
unmilled [01/ʌn'mild/]	[01* ttừ]\n- không xay thành bột; không nghiền, không tán
unmindful [01/ʌn'maindfl/]	[01* ttừ]\n- không chú ý, không để ý, không lưu tâm đến; quên\n[02= unmindful of one's task] không chú ý đến nhiệm vụ\n[02= to be unmindful of someone] quên người nào\n- cẩu thả, không cẩn thận; thờ ơ (người) 
unmindfully	- xem [03unmindful] 
unmindfulness [01/ʌn'maindfənis/]	[01* dtừ]\n- sự không chú ý, sự không lưu tâm\n- tính cẩu thả, tính không cẩn thận; tính thờ ơ
unmined [01/ʌn'maind/]	[01* ttừ]\n- không đặt mìn, không đặt địa lôi, không thả thuỷ lôi\n- chưa khai (mỏ) 
unmingled [01/ʌn'miηgld/]	[01* ttừ]\n- không bị trộn lẫn, không lẫn vào
unminted [01/ʌn'mintid/]	[01* ttừ]\n- không đặt ra, không tạo ra
unmirthful [01/ʌn'mə:θful/]	[01* ttừ]\n- gượng, không vui (cười) 
unmisgiving [01/'ʌnmis'giviη/]	[01* ttừ]\n- đáng tin, chung thủy\n- không gây lo ngại, không nghi ngờ
unmissable [01/ʌn'misəb(ə) l/]	[01* ttừ]\n- không nên quên, không thể quên được
unmissed [01/'ʌn'mist/]	[01* ttừ]\n- không gây phiền muộn\n- không bị bỏ qua, được lưu ý
unmistakable [01/,ʌnmi'steikəbl/]	[01* ttừ]\n- không thể lầm lẫn được, không thể hiểu lầm được; rõ ràng
unmistakableness [01/,ʌnmis'teikəblnis/]	[01* dtừ]\n- tính không thể lầm lẫn được, tính không thể hiểu lầm được; tính rõ ràng
unmistakably	- xem [03unmistakable] 
unmistrusting [01/'ʌnmis'trʌtiη/]	[01* ttừ]\n- dễ tin, cả tin\n- không hay nghi ngờ, không nghi kỵ, không hoài nghi
unmitigated [01/ʌn'mitigeitid/]	[01* ttừ]\n- không giảm nhẹ, không dịu bớt\n- (tục) hoàn toàn, đặc, đại, thậm, chí\n[02= an unmitigated scoundrel] thằng đại xỏ lá
unmitigatedly	như [03unmitigatedness]
unmitigatedness	- xem [03unmitigated] 
unmixed [01/ʌn'mikst/]	[01* ttừ]\n- không pha, nguyên chất, tinh
unmixedly	- xem [03unmixed] 
unmixing [01/'ʌn'miksiη/]	[01* dtừ]\n- phân lớp (bê tông...) 
unmodern [01/'ʌn'mɔdən/]	[01* ttừ]\n- không hiện đại
unmodernized [01/'ʌn'mɔdənaizd/]	[01* ttừ]\n- không được hiện đại hoá, không được đổi mới
unmodifiable [01/ʌn'mɔdifaiəbl/]	[01* ttừ]\n- không thể sửa đổi, không thể thay đổi\n- (ngôn) không thể bổ nghĩa
unmodified [01/ʌn'mɔdifaid/]	[01* ttừ]\n- không giảm, không bớt\n- không sửa đổi, không thay đổi\n- (ngôn) không bổ nghĩa
unmodish [01/'ʌn'moudi∫/]	[01* ttừ]\n- không hợp thời trang\n- không đúng kiểu, không đúng mốt
unmodulated [01/ʌn'mɔdjuleitid/]	[01* ttừ]\n- không được điều chỉnh\n- không được sửa cho phù hợp\n- không uốn giọng ngân nga\n- (âm nhạc) không chuyển giọng
unmoistened [01/'ʌn'mɔisnd/]	[01* ttừ]\n- khô ráo\n- không bị ẩm, không bị ướt, không bị thấm nước
unmolested [01/,ʌnmou'lestid/]	[01* ttừ]\n- không bị quấy rầy, không bị làm phiền; được yên\n- không bị cản trở, không bị trở ngại (đi đường) 
unmoneyed [01/'ʌn'mʌnid/]	[01* ttừ]\n- không xu dính túi\n- không (có) tiền\n- nghèo
unmoor [01/ʌn'muə/]	[01* ngđtừ]\n- mở dây buộc (tàu) ; kéo neo
unmoral [01/'ʌn'mɔrəl/]	[01* ttừ]\n- trái với luân lý
unmorality [01/,ʌnmə'ræləti/]	[01* dtừ]\n- sự thiếu đạo đức\n- sự thiếu đức hạnh, sự thiếu phẩm hạnh, sự thiếu nhân cách\n- sự thiếu giá trị đạo đức, sự thiếu ý nghĩa đạo đức
unmorally	- xem [03unmoral] 
unmortared [01/'ʌn'mɔ:ted/]	[01* ttừ]\n- không trát vữa
unmortgaged [01/,ʌn'mɔ:gidʒd/]	[01* ttừ]\n- không bị cầm cố, không bị thế nợ\n- không đấn thân vào, không hiến thân cho
unmortified [01/'ʌn'mɔtifaid/]	[01* ttừ]\n- không bị làm nhục, không bị làm mất thể diện, không bị sỉ nhục
unmotherly [01/,ʌn'mʌđəli/]	[01* ttừ]\n- không xứng đáng là người mẹ; không có những đức tính của người mẹ
unmotivated [01/,ʌn'moutiveitid/]	như [03unmotived]
unmotived [01/ʌn'moutivd/]	[01* ttừ]\n- không có lý do
unmould [01/,ʌn'mould/]	[01* ngđtừ]\n- lấy ở khuôn ra
unmounted [01/,ʌn'mauntid/]	[01* ttừ]\n- không cưỡi ngựa, đi bộ\n- không có khung; không lắp
unmourned [01/(') ʌn'mɔ:nd/]	[01* ttừ]\n- to die unmourned chết không ai than khóc, chết không ai thương tiếc
unmovable [01/,ʌn'mu:vəbl/]	[01* ttừ]\n- không thể di động, không thể di chuyển
unmoveable [01/,ʌn'mu:vəbl/]	như [03unmovable]
unmoved [01/,ʌn'mu:vd/]	[01* ttừ]\n- không động đậy, không nhúc nhích\n- (bóng) không mủi lòng, thản nhiên
unmown [01/,ʌn'moun/]	[01* ttừ]\n- chưa cắt, chưa gặt (bằng liềm, hái) 
unmuffle [01/,ʌn'mʌfl/]	[01* ngđtừ]\n- lấy bọc đi, mở bọc ra; cởi khăn quấn
unmurmuring [01/,ʌn'mə:məriη/]	[01* ttừ]\n- không than phiền
unmurmuringly [01/,ʌn'mə:məriηli/]	[01* trạng từ]\n- xem [03unmurmuring] 
unmusical [01/,ʌn'mju:zikl/]	như [03immusical]
unmusicality [01/'ʌn,mju:zi'kæliti/]	[01* dtừ]\n- tính không du dương\n- tính không thích nhạc; tính không biết thưởng thức nhạc
unmusically	như [03unmusicalness]
unmusicalness	- xem [03unmusical] 
unmutilated [01/,ʌn'mju:tileitid/]	[01* ttừ]\n- không bị cắt (một bộ phận trong cơ thể) ; không thành tàn tật\n- (bóng) không bị cắt xén
unmuzzle [01/,ʌn'mʌzl/]	[01* ngđtừ]\n- không bịt mõm, không khoá mõm\n- (bóng) cho phép nói
unmysterious [01/,ʌn'mis'tiəriəs/]	[01* ttừ]\n- không bí mật, hiểu được
unnail [01/,ʌn'neil/]	[01* ngđtừ]\n- nhổ đinh, nạy đinh
unnamable [01/,ʌn'neiməbl/]	[01* ttừ]\n- không thể đặt tên\n- không thể nói tên lên được, hết chỗ nói (nết xấu, tội ác...) 
unnameable [01/,ʌn'neiməbl/]	- xem [03unnamable] 
unnamed [01/,ʌn'neimd/]	[01* ttừ]\n- không tên, vô danh
unnational [01/'ʌn'næ∫ənl/]	[01* ttừ]\n- không có tính dân tộc, không dân tộc
unnatural [01/ʌn'næt∫rəl/]	[01* ttừ]\n- trái với thiên nhiên\n- không tự nhiên, giả tạo, gượng gạo\n[02= an unnatural laugh] cái cười gượng gạo\n- thiếu tình cảm thông thường (mẹ đối với con...)\n- ghê tởm, tày trời (tội ác, tính xấu...) 
unnaturalise [01/,ʌn'næt∫rəlaiz/]	[01* ngđtừ]\n- làm cho trái với thiên nhiên\n- làm cho gượng gạo\n- làm mất tình cảm thông thường
unnaturalize [01/,ʌn'næt∫rəlaiz/]	như [03unnaturalise]
unnaturalized [01/,ʌn'næt∫rəlaizd/]	[01* ttừ]\n- không được nhập quốc tịch, không được nhập vào (nước nào) 
unnaturally [01/ʌn'næt∫rəli/]	- xem [03unnatural] 
unnaturalness [01/ʌn'næt∫rəlnis/]	[01* dtừ]\n- tính chất trái với thiên nhiên\n- tính giả tạo, tính gượng gạo\n- sự thiếu tình cảm thông thường\n- tính ghê tởm, tính tày trời (tộc ác, tính xấu...) 
unnavigable [01/,ʌn'nævigəbl/]	[01* ttừ]\n- tàu bè không qua lại được (sông ngòi) 
