foveola [01/fɔ'vi:ɔlə/]	như [03foveolae]
fractionary [01/'fræk∫ənəri/]	[01* ttừ]\n- (thuộc) phân số\n- gồm những phần nh
fractionate [01/'fræk∫əneit/]	[01* ngđtừ]\n- (hoá) cắt phân đoạn
fractionator [01/'fræk∫əneitə/]	[01* dtừ]\n- bộ cắt phân đoạn
fractionise [01/'fræk∫ənaiz/]	[01* ngđtừ]\n- (toán) chia thành phân số\n- chia thành những phần nh
fractionize [01/'frækʃənaiz/]	như [03fractionise]
fractious [01/'fræk∫əs/]	[01* ttừ]\n- cứng đầu, cứng cổ, bướng\n[02= a fractious boy] thằng bé cứng đầu cứng cổ\n- cau có, quàu quạu; hay phát khùng
fractiousness [01/'fræk∫əsnis/]	[01* dtừ]\n- tính cứng đầu cứng cổ, tính bướng bỉnh\n- sự cau có; tính hay phát khùng
fracture [01/'frækt∫ə/]	[01* dtừ]\n- (y) sự gãy; chỗ gãy (xương)\n- khe nứt\n- (địa lý,địa chất) nết đứt gãy\n[01* ngđtừ]\n- bẻ gây, làm gây, làm đứt đoạn\n[01* nđtừ]\n- gãy, rạn, nứt
fraenulum [01/'frenjuləm/]	[01* dtừ]\n- cũng [03franulum] ; số nhiều fraenula, frenula\n- (phẫu) mép; quai móc; dây hãm
fraenum [01/'fri:nəm/]	[01* dtừ]\n- cũng [03frenum] ; số nhiều fraena, frena\n- xem [03fraenulum] 
frag [01/fræg/]	[01* ngđtừ]\n- cố tình giết bằng lựu đạn
frag bomb [01/'fræg'bɔm/]	[01* dtừ]\n- (qsự) bom mảnh (nổ tung ra từng mảnh) ; bom bi
fragile [01/'frædʒail/]	[01* ttừ]\n- dễ vỡ, dễ gây, dễ hỏng; mỏng mảnh, mỏng manh (đen & bóng)\n[02= fragile happiness] hạnh phúc mỏng manh\n- yếu ớt, mảnh dẻ\n[02= fragile health] sức khoẻ yếu ớt
fragileness [01/'frædzailnis/]	[01* dtừ]\n- tính dẽ vỡ, dễ gãy, giòn
fragility [01/frə'dʒiliti/]	[01* dtừ]\n- tính dễ vỡ, tính dễ gãy, tính dễ hỏng; tính mỏng mảnh, tính mỏng manh\n- sự yếu ớt, sự mảnh dẻ
fragment [01/'frægmənt/]	[01* dtừ]\n- mảnh, mảnh vỡ\n[02= to be smashed to fragments] bị đập vụn thành mảnh\n[02= the fragments of a meal] thức ăn thừa\n- khúc, đoạn, mấu (của cái gì không liên tục hay chưa hoàn thành)\n[02= fragments of conversation] những đoạn (không mạch lạc) của câu chuyện\n- tác phẩm chưa hoàn thành
fragmentary [01/'frægməntəri/]	[01* ttừ]\n- gồm những mảnh nhỏ, rời từng mảnh, rời từng đoạn\n- chắp vá, rời rạc\n[02= a fragmentary report] bản báo cáo chấp vá
fragmentation [01/,frægmen'tei∫n/]	[01* dtừ]\n- sự vỡ ra từng mảnh
fragmentation bomb [01/,frægmen'tei∫n'bɔm/]	như [03frag bomb]
fragrance [01/'freigrəns/]	như [03fragrancy]
fragrancy [01/'freigrənsi/]	[01* dtừ]\n- mùi thơm phưng phức, hương thơm ngát
fragrant [01/'freigrənt/]	[01* ttừ]\n- thơm phưng phức, thơm ngát
frail [01/freil/]	[01* ttừ]\n- dễ vỡ; mỏng mảnh\n- yếu đuối, ẻo lả\n- nhu nhược, bạc nhược, dễ bị cám dỗ\n- tạm bợ, mỏng manh\n[02= a frail life] cuộc sống tạm bợ\n[02= frail happiness] hạnh phúc mỏng manh\n- không trinh tiết\n[01* dtừ]\n- (Mỹ),(lóng) đàn bà, con gái\n[01* dtừ]\n- làn (đựng nho...) 
frailty [01/'freilti/]	[01* dtừ]\n- tình trạng dễ vỡ; tính mỏng mảnh\n- tình trạng yếu đuối, tình trạng ẻo lả\n- tính nhu nhược, tính bạc nhược, tính dễ bị cám dỗ\n- điểm yếu, nhược điểm
fraise [01/freiz/]	[01* dtừ]\n- sườn thoai thoải (ở ụ đất công sự)\n[01* dtừ]\n- (kỹ) dao phay
framboesia [01/fræm'bi:zjə/]	[01* dtừ]\n- cũng [03frambesia]\n- (y) ghẻ cóc
framboise [01/frɔm'bwa:z/]	[01* dtừ]\n- rượu cất bằng quả ngấy dâu
frame [01/freim/]	[01* dtừ]\n- cấu trúc, cơ cấu; hệ thống, thứ tự\n[02= the frame of society] cơ cấu xã hội; thứ tự xã hội\n[02= the frame of government] cơ cấu chính phủ\n- trạng thái\n[02= frame of mind] tâm trạng\n- khung (ảnh, cửa, xe...), sườn (tàu, nhà...)\n- thân hình, tầm vóc\n[02= a man of gigantic frame] người tầm vóc to lớn\n- ảnh (trong một loại ảnh truyền hình)\n- lồng kính (che cây cho ấm)\n- (ngành mỏ) khung rửa quặng\n- (raddiô) khung\n[01* ngđtừ]\n- dàn xếp, bố trí, bố cục, dựng lên\n[02= to frame a plan] dựng một kế hoạch\n- điều chỉnh, làm cho hợp\n- lắp, chắp\n- hư cấu (một truyện), tưởng tượng, nghĩ ra\n- trình bày (một lý thuyết)\n- phát âm (từng từ một)\n- đặt vào khung; lên khung, dựng khung\n[02= to frame a roof] lên khung mái nhà\n[01* nđtừ]\n- đầy triển vọng ((thường) to frame well)\n[04! to frame up]\n- (Mỹ),(lóng) mưu hại (ai)\n- bịa, làm giả, gian lận (kết quả một cuộc tuyển cử...) 
frame blanking	- (kỹ) xóa mành
frame buffer	- (kỹ) bộ nhớ đệm mành
frame check sequence	- (kỹ) trình tự kiểm mành
frame of reference [01/'freiməv'refrəns/]	[01* dtừ]\n- hệ quy chiếu
Frame Relay	- (kỹ) quy ước truyền thông tiếp mành
frame synchronize	- (kỹ) đồng bộ hoá mành
frame timebase	- (kỹ) chu kỳ quét mành
frame tracking	- (kỹ) truy mành (TV) 
frame transfer device	- (kỹ) thiết bị truyền mành (TV) 
frame-house [01/'freimhaus/]	[01* dtừ]\n- nhà toàn bằng gỗ (sườn bằng gỗ, lợp bằng ván) 
frameless [01/'freimlis/]	[01* ttừ]\n- không khung; không sườn; không giàn
frame-level [01/'freim,levəl/]	[01* dtừ]\n- dụng cụ dùng nước để tính độ ngang bằng
frame-saw [01/'freimsɔ:/]	[01* dtừ]\n- (kỹ) cưa giàn
frame-up [01/'freim'ʌp/]	[01* dtừ]\n- (Mỹ),(lóng) vụ mưu hại
framework [01/'freimwə:k/]	[01* dtừ]\n- sườn (nhà, tàu...) ; khung (máy)\n- khung ảnh, khung tranh (nói chung)\n- cốt truyện\n[02= framework of a novel] cốt truyện của một cuốn tiểu thuyết\n- lớp đá lát thành giếng, sườn đê\n- (bóng) cơ cấu tổ chức, khuôn khổ\n[02= the framework of society] cơ cấu xã hội\n[04! to return into the framework]\n- hợp nhất, thống nhất
framing [01/'freimiη/]	[01* dtừ]\n- sự làm khung; sự đựng khung\n- sự lên khung; sự chỉnh cho vừa khung (trên màn hình)\n- bộ khung; bộ sườn\n[02= deck framing] khung boong (tàu) 
framing bit	- (kỹ) bít định mành
framing control	- (kỹ) sự kiểm mành
framing error	- (kỹ) lỗi mành
franc [01/fræηk/]	[01* dtừ]\n- đồng frăng (tiền Pháp, Bỉ, Thuỵ sĩ) 
franc tireur [01/fr :ηzti:'rə:/]	[01* dtừ] s/n [03francs tireurs]\n- bộ binh không chính quy\n- du kích
France [01/fræɳs/]	[01* dtừ]\n- nước Pháp
franchise [01/'frænt∫aiz/]	[01* dtừ]\n- quyền bầu cử\n- tư cách hội viên\n- quyền công dân\n- (Mỹ) ; (sử học) đặc quyền
franciscan [01/fræn'siskən/]	[01* ttừ]\n- thuộc dòng thánh Fran-xít\n[01* dtừ]\n- thầy tu dòng Fran-xít
francium [01/'frænsiəm/]	[01* dtừ]\n- (hoá) Franxi
franco-american [01/'frænkouə'merikən/]	[01* dtừ]\n- người gốc Pháp ở Mỹ\n[01* ttừ]\n- thuộc người gốc Pháp ở Mỹ
francolin [01/'fræηkoulin/]	[01* dtừ]\n- (động vật) gà gô, đa đa
Francophone [01/'fræηkəfoun/]	[01* ttừ]\n- nói tiếng Pháp\n[01* dtừ]\n- người nói tiếng Pháp
francs tireurs [01/frỴ:ɳzti:'rə:/]	như [03franc tireur]
frangibility [01/,frændʒi'biliti/]	[01* dtừ]\n- tính dễ gãy, tính dễ vỡ
frangible [01/'frændʒibl/]	[01* ttừ]\n- dễ gãy, dễ vỡ
frangipane [01/'frændʒipein/]	như [03frangipani]
frangipani [01/'frændʤipæni/]	[01* dtừ]\n- (thực vật) cây đại\n- hương hoa đại\n- bánh kem hạnh nhân
franglais [01/frɑ:n'gli:/]	[01* dtừ]\n- từ ngữ Anh, Mỹ trong tiếng Pháp
frank [01/fræηk/]	[01* ngđtừ]\n- miễn cước; đóng dấu miễn cước\n- (sử học) ký miễn cước\n- (sử học) cấp giấy thông hành\n[01* dtừ (sử học)]\n- chữ ký miễn cước\n- bì có chữ ký miễn cước\n[01* ttừ]\n- ngay thật, thẳng thắn, bộc trực\n[02= to be quite frank with someone] ngay thật đối với ai; đối xử thẳng thắn với ai
frankfurt [01/'fræηkfət/]	[01* dtừ]\n- (Mỹ) xúc xích Đức
frankfurter [01/'fræɳkfətə/]	như [03frankfurt]
frank-hearted [01/'fræηk,ha:tid/]	[01* dtừ]\n- bụng dạ thành thực, bộc trực
frank-heartedness [01/'fræηk,ha:tidnis/]	[01* ttừ]\n- tính bộc trực, tính thẳng thắn
frankincense [01/'fræηkin,sens/]	[01* dtừ]\n- hương trầm (của Châu phi, chế bằng nhựa một cây họ trám) 
franking-machine [01/,fræηkiηmə'∫in/]	[01* dtừ]\n- thiết bị tự động đóng dấu vào các lá thư... và tính bưu phí; máy in dấu tem
frankish [01/'fræηki∫/]	[01* dtừ]\n- tiếng Frăng\n[01* ttừ]\n- thuộc tiếng Frăng
franklin [01/'fræηklin/]	[01* dtừ]\n- (sử học) địa chủ (không thuộc giai cấp quý tộc, ở thế kỷ 14 và 15) 
Franklin antenna	- (kỹ) ăngten Franklin, ăngten cộng tuyến, ăngten đẳng vị tướng
franklinite [01/'fræηklinait/]	[01* dtừ]\n- (khoáng) franclinit
frankly [01/'fræηkli/]	[01* phtừ]\n- thẳng thắn, trung thực\n[02= tell me frankly what's wrong] hãy nói thật cho tôi biết cái gì đang trục trặc\n[02= frankly, I couldn't care less] thành thật mà nói, tôi không thể quan tâm ít hơn\n[02= quite frankly, I'm not surprised] hết sức chân thành mà nói, tôi chẳng ngạc nhiên đâu
frankness [01/'fræηknis/]	[01* dtừ]\n- tính ngay thật, tính thẳng thắn, tính bộc trực
frankpledge [01/'fræηkpledʒ/]	[01* dtừ]\n- (sử học) sự trách nhiệm liên đới (giữa mười hộ một)\n- (bóng),(hiếm) trách nhiệm liên đới (giữa các thành viên trong một chính phủ) 
frantic [01/'fræηtik/]	[01* ttừ]\n- điên cuồng, điên rồ\n[02= to be frantic with pain] đau phát cuồng, đau phát điên
frantically [01/'fræηtikəli/]	như [03insanely]
frap [01/fræp/]	[01* ngđtừ]\n- (hàng hải) buộc chặt
frappé [01/fræ'pei/]	[01* ttừ]\n- ướp lạnh (rượu) 
frass [01/fræs/]	[01* dtừ]\n- cứt ấu trùng, cứt mọt
frate [01/'frɑ:tə/]	như [03frati]
frater [01/'freitə/]	[01* dtừ]\n- phòng ăn, nhà ăn (ở trường học, tu viện...) 
fraternal [01/frə'tə:nl/]	[01* ttừ]\n- (thuộc) anh em\n[02= fraternal love] tình (yêu) anh em\n[02= fraternal friendship] tình hữu nghị anh em\n[04! fraternal order (society, association)]\n- (Mỹ) hội kín
fraternalism [01/frə'tə:nəlizm/]	[01* dtừ]\n- tình anh em\n- công ích luận\n- thuyết công ích luận
fraternally [01/frə'tə:nəli/]	[01* phtừ]\n- thân thiện, thân thiết
fraternisation [01/,frætənai'zeiʃn/]	[01* dtừ]\n- như [03fraternization] 
fraternise [01/'frætənaiz/]	như [03fraternize]
fraternity [01/frə'tə:niti/]	[01* dtừ]\n- tình anh em\n- phường hội\n- (Mỹ) hội học sinh đại học
fraternization [01/,frætənai'zei∫n/]	[01* dtừ]\n- sự thân thiện\n- sự làm thân, sự kết thân như anh em
fraternize [01/'frætənaiz/]	[01* nđtừ]\n- thân thiện\n- làm thân, kết thân như anh em
frati [01/'frɑ:tə/]	[01* dtừ] s/n [03frati]\n- (như) [03friar] 
fratricidal [01/,frætri'saidl/]	[01* ttừ]\n- giết anh, giết chị, giết em
fratricide [01/'frætrisaid/]	[01* dtừ]\n- sự giết anh, sự giết chị, sự giết em\n- người giết anh, người giết chị, người giết em
fraud [01/frɔ:d/]	[01* dtừ]\n- sự gian lận, sự gian trá; sự lừa lọc, sự lừa gạt\n[02= to get money by fraud] kiếm tiền bằng cách lừa gạt\n- âm mưu lừa gạt, mưu gian\n- cái không đúng như sự mong đợi, cái không đúng như sự mưu tả\n- (hiếm) tính chất lừa lọc\n[04! in fraud; to the fraud of]\n- (pháp lý) để lừa gạt\n[04! a pious fraud]\n- xem [03pious] 
fraudulence [01/'frɔ:djuləns/]	[01* dtừ]\n- tội gian lận, tội lừa lọc\n- ý đồ gian lận, ý đồ lừa lọc; tính chất gian lận, tính chất lừa lọc
fraudulent [01/'frɔ:djulənt/]	[01* ttừ]\n- mắc tội gian lận; mắc tội lừa lọc\n- có ý gian lận, có ý lừa lọc\n- do gian lận, do lừa lọc; đi lừa được\n[02= fraudulent gains] những của đi lừa được
fraudulently [01/'frɔ:djuləntli/]	[01* phtừ]\n- gian lận, lậu
fraught [01/frɔ:t/]	[01* ttừ]\n- đầy\n[02= fraught with danger] đầy nguy hiểm\n- (thơ ca)(+ with) xếp đầy, trang bị đầy
fraulein [01/'frɔilain/]	[01* dtừ]\n- cô gái (chưa chồng, người Đức) 
frÃulein [01/'frɔilain/]	[01* dtừ]\n- cô\n- cô gái già Đức\n- cô giữ trẻ người Đức
Fraunhofer (diffraction) hologram	- (kỹ) ảnh toàn ký Fraunhofer
Fraunhofer diffraction	- (kỹ) nhiễu xạ Fraunhofer
Fraunhofer holography	- (kỹ) môn ảnh toàn ký Fraunhofer
fraxinella [01/,fræksi'nelə/]	[01* dtừ]\n- (thực vật) cây bạch tiễn
fray [01/frei/]	[01* dtừ]\n- cuộc cãi lộn; cuộc ẩu đả, cuộc đánh nhau, cuộc xung đột\n[02= eager for the fray] hăm hở xuất trận (đen & bóng)\n[01* nđtừ]\n- bị cọ sờn, bị cọ xơ
fraying [01/'freiiη/]	[01* dtừ]\n- sự tước
fraze [01/freiz/]	[01* dtừ]\n- rìa xờm\n[01* ngđtừ]\n- gọt rìa xờm
frazil [01/'freizil/]	[01* dtừ]\n- (Ca-na-dda),(Mỹ) tảng băng (ở sông, suối) 
frazzle [01/'fræzl/]	[01* dtừ (Mỹ)]\n- sự mệt rã rời, sự kiệt quệ\n- mảnh còn lại, mảnh vụn, mảnh tả tơi\n[02= beaten to a frazzle] bị đánh bại không còn mảnh giáp, bị đánh bại tả tơi\n[01* ngđtừ]\n- làm cho mệt rã rời, làm kiệt sức\n- làm rách tả tơi\n[01* nđtừ]\n- mệt rã rời, kiệt sức\n- rách tả tơi
freak [01/fri:k/]	[01* dtừ]\n- tính đồng bóng, tính hay thay đổi\n[02= out of mere freak] chỉ vì tính đồng bóng\n- quái vật; điều kỳ dị\n[02= a freak of nature] một quái vật\n[01* ngđtừ]\n- làm lốm đốm, làm có vệt
freak out [01/'fri:kaut/]	[01* nđtừ]\n- (Mỹ),(lóng) cảm thấy đê mê, đi mây về gió, phiêu diêu bay bổng (như lúc hút thuốc phiện...)\n- trở thành một híp-pi, ăn mặc hành động như một híp-pi (xem [03hippie] ) ; ăn mặc lập dị, hành động lập dị
freaked [01/fri:kt/]	[01* ttừ]\n- có đốm, lốm đốm, làm có vệt
freakish [01/'fri:ki∫/]	[01* ttừ]\n- đồng bóng, hay thay đổi\n- quái đản, kỳ cục
freakishly [01/'fri:ki∫li/]	[01* phtừ]\n- quái đản, kỳ cục
freakishness [01/'fri:ki∫nis/]	[01* dtừ]\n- tính đồng bóng, tính hay thay đổi\n- tính quái đản, tính kỳ cục
freakout [01/'fri:kaut/]	- xem [03freak-out] 
freak-out [01/'fri:kaut/]	[01* dtừ]\n- (Mỹ),(lóng) trạng thái đê mê, sự đi mây về gió, sự phiêu diêu bay bổng (như lúc hút thuốc phiện...)\n- sự trở thành một híp-pi, sự ăn mặc hành động như một híp-pi; sự ăn mặc lập dị, hành động lập dị
freaky [01/'fri:ki/]	[01* ttừ]\n- xem [03freakish] 
freckle [01/'frekl/]	[01* dtừ]\n- tàn nhang (trên da)\n- số nhiều chỗ da bị cháy nắng\n[01* ngđtừ]\n- làm cho (da) có tàn nhang\n[01* nđtừ]\n- có tàn nhang (da) 
freckled [01/'frekl/]	[01* ttừ]\n- bị tàn nhang
freckly [01/'frəkli/]	[01* ttừ]\n- có tàn nhang (da mặt...) 
free [01/fri:/]	[01* ttừ]\n- tự do\n[02= a free country] một nước tự do\n[02= free hydrogen] (hoá), hyddro tự do\n[02= a free translation] bản dịch tự do, bản dịch thoát ý\n[02= free verse] thơ tự do (không luật)\n[02= free love] tình yêu tự do (không cần cưới xin)\n- không mất tiền, không phải trả tiền; được miễn\n[02= free admission] vào cửa không mất tiền\n[02= free of duty] được miễn thuế\n[02= free imports] các loại hàng nhập được miễn thuế\n- (+[04 from]) không bị, khỏi phải, thoát được\n[02= free from care] không phải lo lắng\n[02= free from pain] không bị đau đớn\n[02= free from dampness] không bị ẩm\n- rảnh, không có người ở, không có người giữ chỗ\n[02= to have very little free time] có rất ít thì giờ rảnh\n[02= there are three rooms free at this hotel] ở khách sạn có ba phòng chưa có ai ở\n- lỏng, không bọ ràng buộc\n[02= to leave one end of the rope free] thả lỏng một dây thừng\n- suồng sã; xấc láo; tục\n[02= to be too free in one's behaviour] có thái độ suồng sã\n[02= a free story] một chuyện tục\n- thanh thoát, uyển chuyển, mềm mại; dễ dàng\n[02= a free style of writing] văn phòng thanh thoát, văn phòng uyển chuyển\n[02= free lines and curves] những đường thẳng và nét cong thanh thoát uyển chuyển\n[02= free gestures] những cử chỉ mềm mại uyển chuyển\n- rộng rãi, hào phóng; phong phú, nhiều\n[02= to spend money with a free hand] tiêu tiền hào phóng\n[02= to be free with one's praise] khen ngợi không tiếc lời\n- thông, thông suốt (không bị ngăn cản)\n[02= a free road] con đường thông suốt\n- tự nguyện, tự ý\n[02= to be free to confess] tự nguyện thú\n- được đặc quyền (ở một thành phố) ; được quyền sử dụng và ra vào (một toà nhà...)\n[04! free motion]\n- xọc xạch; jơ (máy)\n[04! to give somebody a free hand]\n- để cho ai toàn quyền hành động\n[04! to have one's hands free]\n- rảnh tay, không phải lo lắng điều gì\n[04! to make free use of something]\n- tuỳ thích sử dụng cái gì\n[01* phtừ]\n- tự do\n- không phải trả tiền\n- (hàng hải) xiên gió\n[01* ngđtừ]\n- thả, phóng thích, giải phóng, trả tự do\n- gỡ ra khỏi; giải thoát; mở thông (một con đường) 
free agent [01/'fri:'eidʒənt/]	[01* dtừ]\n- người không bị ràng buộc khi hành động
free association [01/'fri:ə,sou∫i'ei∫n/]	[01* dtừ]\n- (tâm lý) sự tự do liên hệ ý tưởng
free charge	- (kỹ) điện tích tự do
free church [01/'fri:'t∫ə:t∫/]	[01* dtừ]\n- nhà thờ độc lập (đối với nhà nước) 
free collective bargaining [01/'fri:kɔ'lektiv'ba:giniη/]	[01* dtừ]\n- cuộc mặc cả tự do giữa các công đoàn và công nhần (không có chính phủ can thiệp) 
free electron	- (kỹ) điện tử tự do
free enterprise [01/'fri:'entəpraiz/]	[01* dtừ]\n- sự tự do kinh doanh
free fall [01/'fri:fɔ:l/]	[01* dtừ]\n- <lý> sự rơi tự do
free form	- (kỹ) hình thức tự do, thể tự do
free house [01/'fri:haus/]	[01* dtừ]\n- tiệm bán nhiều loại bia của nhiều hãng (không thuộc độc quyền của hãng nào) 
free kick [01/'fri:kik/]	[01* dtừ]\n- <thể> cú đá phạt trực tiếp
free labour [01/'fri:'leibə/]	[01* dtừ]\n- lao động tự do (của những người không trong nghiệp đoàn)\n- (sử học) lao động tự do (của những người không phải là nô lệ) 
free lance [01/'fri:'lɑ:ns/]	[01* dtừ]\n- nhà báo tự do (không viết riêng cho tờ báo nào)\n- nhà chính trị độc lập (không thuộc về đảng phái nào)\n- (sử học) lính đánh thuê (thời Trung cổ)\n[01* nđtừ]\n- làm nghề viết báo tự do
free liver [01/'fri:'livə/]	[01* dtừ]\n- người ăn chơi phóng túng, người chè chén lu bù
free living [01/'fri:'liviη/]	[01* dtừ]\n- lối sống ăn chơi phóng túng, sự chè chén lu bù
free love [01/'fri:lʌv/]	[01* dtừ]\n- tình yêu tự do
free lovism [01/'fri,lʌvizm/]	[01* dtừ]\n- chủ nghĩa tự do yêu đương
free market [01/'fri'ma:kit/]	- (ktế) Thị trường tự do.
free on board [01/'fri:ɔn'bɔ:d/]	[01* phtừ]\n- giao hàng tận bến ((vt) f.o.b, F.O.B) 
free pass [01/'fri:'pɑ:s/]	[01* dtừ]\n- giấy vào cửa không mất tiền
free port [01/'fri:'pɔ:t/]	[01* dtừ]\n- cảng tự do (không có thuế quan) 
free quarters [01/'fri:'kwɔ:təz/]	[01* dtừ s/n]\n- sự ăn ở không mất tiền\n- sự chiêu đãi
free range [01/'fri:reindʒ/]	[01* ttừ]\n- (nói về gà) không phải do gà nuôi trong chuồng đẻ ra, mà do gà nuôi trong điều kiện tự nhiên đẻ ra
free rein [01/'fri'rein/]	[01* dtừ]\n- quyền tự do hoàn toàn\n[02= give free rein to one's feelings] để cảm xúc bộc lộ hoàn toàn tự do
free running counter	- (kỹ) máy đếm chạu tự do
free running frequency	- (kỹ) tần số dao động tự do
free running mode	- (kỹ) kiểu dao động tự do
free soil [01/'fri:'sɔil/]	[01* dtừ]\n- miền không có chế độ nô lệ
free space field intensity	- (kỹ) cường độ trường không gian tự do
free thought [01/'fri'θɔ:t/]	[01* dtừ]\n- cách tư duy độc lập (lòng tin vào chúa ở (thế kỷ) 18 chỉ dựa vào lý trí) 
free trade [01/'fri:'treid/]	[01* dtừ]\n- sự buôn bán tự do, mậu dịch tự do\n- (cổ) sự buôn lậu
free trader [01/'fri'treidə/]	[01* dtừ]\n- người chủ trương buôn bán tự do
free verse [01/'fri'və:s/]	[01* dtừ]\n- cầu thơ tự do
free versifier [01/'fri'və:sifaiə/]	[01* dtừ]\n- người làm thơ tự do
