auriularia [01/,ɔ:ri'kjulæriə/]	như [03actinula]
Australian [01/ɔs'treiljən/]	[01* ttừ]\n- (thuộc) nước Uc\n[01* dtừ]\n- người Uc
Australian Rules [01/ɔs'treiljən'ru:lz/]	- trò chơi Australia tương tự như môn bóng Rugby, có hai đội và mỗi đội 18 người
Australoid [01/'ɔstrəlɔid/]	[01* dtừ]\n- người bản địa châu úc
australopithecine [01/,ɔstrəlou'piθəsi:n/]	[01* dtừ]\n- người vượn phương Nam\n[01* ttừ]\n- thuộc người vượn phương Nam
Austrian [01/'ɔstriən/]	[01* ttừ]\n- (thuộc) nước Ao\n[01* dtừ]\n- người Ao
austro	[01* ttừghép]\n- (thuộc) nước áo
Austro-Hungarian Empire [01/'ɔstrəhʌη'geəriən'empaiə/]	[01* dtừ]\n-(lịch sử) Đế quốc áo-Hung
autacoid [01/'ɔ:tə,kɔid/]	[01* dtừ]\n- (sinh học) kích ức tố nội tiết, nội tiết tố
autarchic [01/ɔ:'tɑ:kik/]	[01* ttừ]\n- (thuộc) chủ quyền tuyệt đối\n- (như) [03autarkic] 
autarchical [01/ɔ:'tɑ:kikəl/]	như [03autarchic]
autarchy [01/'ɔ:tɑ:ki/]	[01* dtừ]\n- chủ quyền tuyệt đối\n- (như) [03autarky] 
autarkic [01/ɔ:'tɑ:kik/]	như [03autarkical]
autarkical [01/ɔ:'tɑ:kikəl/]	[01* ttừ]\n- (thuộc) chính sách tự cấp tự túc
autarkist [01/'ɔ:tɑ:kist/]	[01* dtừ]\n- người chủ trương tự cấp tự túc
autarky [01/'ɔ:tɑ:ki/]	[01* dtừ]\n- chính sách tự cấp tự túc; sự tự cấp tự túc
authentic [01/ɔ:'θentik/]	[01* ttừ]\n- thật; xác thực\n[02= authentic signature] chữ ký thật\n[02= authentic news] tin thật\n- đáng tin
authentically [01/ɔ:'θentikəli/]	[01* phtừ]\n- đích thực, xác thực
authenticate [01/ɔ:'θentikeit/]	[01* ngđtừ]\n- xác nhận là đúng, chứng minh là xác thực\n- làm cho có giá trị; nhận thức (chữ ký...) 
authentication [01/ɔ:,θenti'kei∫n/]	[01* dtừ]\n- sự xác nhận là đúng, sự chứng minh là xác thực\n- sự làm cho có giá trị; sự nhận thức
authentication code	- (kỹ) mã nhận đúng, mã chứng nhận chính xác
authenticator	- xem [03authenticate] 
authenticity [01/,ɔ:θen'tisiti/]	[01* dtừ]\n- tính đúng thật, tính xác thật
author [01/'ɔ:θə/]	[01* dtừ]\n- tác giả\n[02= Ho Ngoc Duc is the author of this software] Hồ Ngọc Đức là tác giả của phần mềm này\n- người tạo ra, người gây ra\n[02= author of evil] người gây ra các điều ác\n- (tôn giáo) đảng sáng tạo (Chúa) 
authoress [01/'ɔ:θəris/]	[01* dtừ]\n- nữ tác giả
authorial [01/ɔ:'θɔ:riəl/]	[01* ttừ]\n- (thuộc) tác giả
authoring language	- (kỹ) ngôn ngữ trứ tác
authoring system	- (kỹ) hệ thống trứ tác
authorisation [01/,ɔ:θərai'zei∫n/]	[01* dtừ]\n- sự cho phép, sự cấp phép\n- giấy phép
authorise [01/'ɔ:θəraiz/]	như [03authorize]
authoritarian [01/ɔ:,θɔri'teəriən/]	[01* ttừ]\n- người độc đoán
authoritarianism [01/ɔ:,θɔri'teəriənizm/]	[01* dtừ]\n- chủ nghĩa độc đoán
authoritative [01/ɔ:'θɔritətiv/]	[01* ttừ]\n- có căn cứ đích xác, có am hiểu tường tận, có thể tin được; có thẩm quyền\n[02= an authoritative report] một bản báo cáo có căn cứ\n- hống hách, hách dịch; mệnh lệnh, quyết đoán\n[02= to speak in authoritative tone] nói với giọng hách dịch\n- có uy quyền, có quyền lực
authoritatively [01/ɔ:'θɔritətivli/]	[01* phtừ]\n- hống hách, hách dịch
authoritativeness	- xem [03authoritative] 
authority [01/ɔ:'θɔriti/]	[01* dtừ]\n- uy quyền, quyền lực, quyền thế\n[02= to exercise authority over somebody] có quyền lực đối với ai\n- uỷ quyền\n- ((thường) số nhiều) nhà cầm quyền, nhà chức trách, nhà đương cục\n- người có uy tín, người có thẩm quyền, chuyên gia, người lão luyện (về một môn nào)\n[02= an authority on phonetics] chuyên gia về ngữ âm\n- tài liệu có thể làm căn cứ đáng tin, căn cứ\n[02= what is his authority?] anh ta căn cứ vào đâu?\n[04! to do something on one own's authority]\n- tự ý làm gì, tự cho phép làm gì\n[04! on (from) good authority]\n- theo một nguồn đáng tin cậy, theo căn cứ đích xác
authorization [01/,ɔ:θərai'zei∫n/]	[01* dtừ]\n- sự cho quyền, sự cho phép\n- uỷ quyền, quyền được cho phép
authorize [01/'ɔ:θəraiz/]	[01* ngđtừ]\n- cho quyền, uỷ quyền, cho phép\n[02= to authorize someone ro do something] cho quyền ai được làm việc gì\n- là căn cứ, là cái cớ chính đáng\n[02= his conduct did authorize your suspicion] tư cách của hắn thật là đúng là cái cớ để cho anh nghi ngờ
authorized frequency	- (kỹ) tần số được quyền/cho phép
authorized program	- (kỹ) chương trình được quyền/cho phép
authorized user	- (kỹ) người dùng được quyền, người dùng được phép
authorizer	- xem [03authorize] 
authorship [01/'ɔ:θə∫ip/]	[01* dtừ]\n- nghề viết văn\n- nguồn tác giả (một cuốn sách)\n[02= a book of doubrful authorship] một cuốn sách chưa rõ nguồn tác giả (chưa rõ tác giả là ai) 
autism [01/'ɔ:tizm/]	[01* dtừ]\n- tính tự kỷ
autist	như [03autistically]
autistic [01/ɔ:'tistik/]	[01* ttừ]\n- (thuộc) chứng tự kỷ\n[01* dtừ]\n- ngưới mắc chứng tự kỷ
autistically	- xem [03autism] 
auto [01/'ɔ:tou/]	[01* dtừ]\n- (tục) xe ô tô\n- (kỹ) tự động
auto decompressor	- (kỹ) máy giảm áp tự động
auto jumb	- (kỹ) nhảy tự động
auto mode	- (kỹ) kiểu tự động
auto program	- (kỹ) chương trình tự động
auto relay	- (kỹ) bộ kế điện tự động
auto tracking	- (kỹ) truy tích tự động
autoantagonism [01/'ɔ:touən'tægənizm/]	[01* dtừ]\n- hiện tượng tự đối kháng
autoantagonistic [01/,ɔ:touæntibai'ousis/]	[01* ttừ]\n- tự đối kháng
autoantibiosis [01/,ɔ:touæntibai'ousis/]	[01* dtừ]\n- đời sống tự kìm hãm
autoantibody [01/,ɔ:tou'æntibɔdi/]	[01* dtừ]\n- (sinh học) thể tự kháng
autobahn [01/'ɔ:toubɑ:n/]	như [03autobahnen]
autobahnen [01/'ɔ:toubɑ:n/]	[01* dtừ] s/n [03autobahnen]\n- đường rộng dành riêng cho ô tô, xa lộ (ở Đức) 
autobiographer [01/,ɔ:toubai'ɔgrəfə/]	[01* dtừ]\n- người viết tự truyện
autobiographic [01/'ɔ:tou,baiou'græfik/]	như [03autobiographical]
autobiographical [01/'ɔ:tou,baiou'græfikəl/]	[01* ttừ]\n- (thuộc) tự truyện, có tính chất tự truyện
autobiographically	- xem [03autobiography] 
autobiography [01/,ɔ:toubai'ɔgrəfi/]	[01* dtừ]\n- sự viết tự truyện\n- tự truyện
autoblast [01/,ɔ:tou'blæst/]	[01* dtừ]\n- tế bào riêng biệt; vi sinh vật riêng biệt
autobreeding [01/ɔtou'bri:diη/]	[01* dtừ]\n- sự tự nhân giống
autobus [01/'ɔ:təbʌs/]	[01* dtừ]\n- xe buýt
autocad	- Tên một chương trình trợ giúp thiết kế bằng máy tính của hãng AutoDesk
autocar [01/'ɔ:toukɑ:/]	như [03motor car]
autocatalysis [01/,ɔ:toukə'tælisis/]	[01* dtừ]\n- sự tự xúc tác
autocatalytic	như [03autocatalytically]
autocatalytically	- xem [03autocatalysis] 
autocephalous [01/,ɔ:tou'sefələs/]	[01* ttừ]\n- (tôn giáo) độc lập (giám mục, nhà thờ không thuộc phạm vi một tổng giám mục) 
autochrome [01/'ɔ:toukroum/]	[01* dtừ]\n- kính ảnh màu
autochthon [01/ɔ:'tɔkθən/]	[01* dtừ] s/n [02autochthon, autochthones]\n- người bản địa\n- (sinh vật) loài bản địa
autochthonal [01/ɔ:'tɔkθənəl/]	như [03autochthonous]
autochthones [01/ɔ:'tɔkθən/]	như [03autochthon]
autochthonic [01/,ɔ:tɔk'θɔnik/]	như [03autochthonous]
autochthonism	như [03autochthonously]
autochthonous [01/ɔ:'tɔkθənəs/]	[01* ttừ]\n- bản địa
autochthonously	- xem [03autochthonous] 
autochthony	như [03autochthonously]
autocinesis [01/ɔ:tou'sinesis/]	[01* dtừ]\n- sự tự vận động
autoclave [01/'ɔ:toukleiv/]	[01* dtừ]\n- nồi hấp
autoclaving [01/,ɔ:tou'kleiviη/]	[01* dtừ]\n- sự hấp; sự khử trùng (bằng nồi hấp) 
autocode	- (kỹ) biên mã tự động
autocoder	- (kỹ) bộ biên mã tự động
autocoid [01/'ɔ:toukɔid/]	[01* dtừ]\n- nội tiết tố, kích ức tố
Autocorrelation	- (kỹ) tự tương quang
autocorrelation analyser	- (kỹ) bộ phân tích tự tương quan
autocorrelation function	- (kỹ) hàm số tự tương quan
autocorrelation vocoder	- (kỹ) bộ mã tiếng nói tự tương quan
autocorrelogram	- biểu đồ sự tương quan
autocorrlator	- máy phân tích sự tương quan
autocovariance	- tự hiệp, phương sai
autocracy [01/ɔ:'tɔkrəsi/]	[01* dtừ]\n- chế độ chuyên quyền\n- nước dưới chế độ chuyên quyền
autocrat [01/'ɔ:təkræt/]	[01* dtừ]\n- người chuyên quyền
autocratic [01/,ɔ:tə'krætik/]	[01* ttừ]\n- chuyên quyền
autocratical [01/,ɔ:tə'krætikəl/]	như [03autocratic]
autocratically [01/,ɔ:tə'krætikəli/]	[01* phtừ]\n- chuyên quyền, độc đoán
auto-cross [01/'ɔ:toukrɔs/]	[01* dtừ]\n- cuộc đua xe hơi xuyên đất nước
autocue [01/'ɔ:təkju:/]	[01* dtừ]\n- thiết bị đặt cạnh máy quay để một người khi nói trên TV có thể nhìn đọc được bản viết mà khỏi cần học thuộc
auto-cycle [01/'ɔtou,saikl/]	[01* dtừ]\n- xe đạp tự động
autodafe	[01* dtừ]\n- (sử) hình phạt hoả thiêu\n- dàn hoả thiêu
auto-da-fé [01/'ɔ:toudafei/]	[01* dtừ] s/n [03aut-da-fé]\n- sự kết tội hoả thiêu (của pháp đình tôn giáo thời Trung cổ) ; sự hành tội hoả thiêu
autodecremental addressing	- (kỹ) định địa chỉ tự giảm dần
autodidact [01/'ɔ:toudidækt/]	[01* dtừ]\n- người tự học
autodidactic	- xem [03autodidact] 
autoduality	- tính tự đối ngẫu
autodump	- (kỹ) xổ tự động, tự động đổ ra
autodyne [01/'ɔ:toudain/]	[01* ttừ]\n- (lý) tự hêtêrôđyn\n[01* dtừ]\n- (lý) máy tự hêtêrôđyn
autodyne circuit	- (kỹ) mạch tự sai (ĐL) 
autodyne oscillator	- (kỹ) bộ dao động tự sai (TQ) 
autodyne reception	- (kỹ) thu tự sai (ĐL) 
autoecious [01/ɔ:tou'i:∫əs/]	[01* ttừ]\n- (sinh học) một chủ, đơn chủ
autoecism [01/,ɔ:tou'i:∫izm/]	[01* dtừ]\n- hiện tượng một chủ, hiện tượng đơn chủ
autoecology [01/,ɔ:toui'kɔlədʒi/]	[01* dtừ]\n- sinh thái học cá thể
autoelectronic emission	- (kỹ) tự phát xạ điện tử tự động
autoeroticism [01/,ɔ:toui'routisizm/]	như [03autoerotism]
autoerotism [01/,ɔ:tou'eərətizm/]	[01* dtừ]\n- thủ dâm
auto-exchange	như [03auto-switching center]
autoexcitation	- (kỹ) tự kích thích
autofecundation [01/,ɔ:toufikʌn'dei∫n/]	[01* dtừ]\n- sự tự thụ tinh
autofluorescence [01/,ɔ:toufluə'resəns/]	[01* dtừ]\n- sự tự phát hùynh quang
autogamic	- xem [03autogamy] 
autogamous [01/ɔ:'tɔgəməs/]	[01* ttừ]\n- (sinh vật) tự giao
autogamy [01/ɔ:'tɔgəmi/]	[01* dtừ]\n- sự tự giao
autogenous [01/ɔ:'tɔdʒinəs/]	[01* ttừ]\n- (sinh vật) tự sinh\n- (kỹ)(thuộc) hàn xì\n[02= autogenous welding] hàn xì
autogenously	- xem [03autogenous] 
autogeny [01/ɔ:'tɔdʒini/]	[01* dtừ]\n- (sinh vật) sự tự sinh
autogiro [01/,ɔ:tou'dʒaiərou/]	[01* dtừ]\n- máy bay tự lên thẳng
autograph [01/'ɔ:təgrɑ:f/]	[01* ngđtừ]\n- tự viết tay\n[01* dtừ]\n- máy tự ghi\n- chữ viết riêng (của một người) ; chữ ký riêng\n- bản thảo viết tay (của tác giả)\n- bản tự viết tay
autographic [01/,ɔ:tə'græfik/]	như [03autographical]
autographical [01/,ɔ:tə'græfikəl/]	[01* ttừ]\n- tự viết tay
autographically	- xem [03autograph] 
autography [01/ɔ:'tɔgrəfi/]	[01* dtừ]\n- sự tự viết tay\n- chữ viết tay (của tác giả)\n- sự in nguyên cáo
autogyro [01/,ɔ:tou'dʒaiərou/]	như [03autogiro]
autohypnosis [01/,ɔ:touhip'nousis/]	[01* dtừ]\n- sự tự thôi miên, thuật tự thôi miên
autohypnotic	- xem [03autohypnosis] 
autohypnotism [01/,ɔ:tou'hipnətizm/]	như [03autohypnosis]
autoimmune [01/,ɔ:tou'imju:n/]	[01* ttừ]\n- (y) tự miễn dịch
autoimmunity [01/,ɔ:toui'mju:niti/]	[01* dtừ]\n- (y) tính tự miễn dịch
autoimmunization [01/,ɔ:tou,imjuni'zei∫n/]	[01* dtừ]\n- (y) hiện tượng tự miễn dịch
autoincremental addressing	- (kỹ) định địa chỉ tự tăng dần
autoindex	- (kỹ) chỉ số tự động
autoinductive coupling	- (kỹ) ghép biến áp tự động
autoinfection [01/,ɔ:tou,in'fek∫n/]	[01* dtừ]\n- (sinh học) sự tự nhiễm trùng
autoinfusion [01/,ɔ:təin'fju:ʒən/]	[01* dtừ]\n- sự tự hoà lẫn
autoinhibitor [01/ɔ:təin'hibitə/]	[01* dtừ]\n- (sinh học) chất tự ức chế
autoinoculation [01/,ɔ:tou-inəkju'lei∫n/]	[01* dtừ]\n- (y) sự tự tiêm chủng
autointoxication [01/'ɔ:touin,tɔksi'kei∫n/]	[01* dtừ]\n- (y) sự tự nhiễm độc
autokinesia [01/,ɔ:təki'ni:siə/]	- Cách viết khác : [03autokinesis]
autokinetic [01/,ɔ:təki'netik/]	[01* ttừ]\n- (sinh học) tự vận động
autologous [01/ɔ:tə'lɔpiη/]	[01* dtừ]\n- (sinh học) sự tự rụng
autolysate [01/ɔ:'tɔliseit/]	[01* dtừ]\n- (sinh học) sản phẩm của sự tự tiêu
autolysin [01/ɔ:'tɔlisin/]	[01* dtừ]\n- (sinh học) chất tạo nên sự tự tiêu
autolysis [01/ɔ:'toulaisis/]	[01* dtừ]\n- (sinh vật) sự ưu tiên
autolytic	- xem [03autolysis] 
auto-manual	- (kỹ) tự động-thủ công
automanual (telephone) exchange	- (kỹ) tổng đài bán tự động
automat [01/'ɔ:təmæt/]	[01* dtừ]\n- (Mỹ) quán ăn tự động\n- (kỹ) máy tự động; thiết bị tự động
automata [01/ɔ:'tɔmətə/]	như [03automaton]
automata theory	- (kỹ) lý thuyết (máy) tự động
automate [01/'ɔ:təmeit/]	như [03automatize]
automated office (AO)	- (kỹ) văn phòng được tự động hóa
automated teller machine	[01* dtừ]\n-, viết tắt là ATM như automatic teller machine
automatic [01/,ɔ:tə'mætik/]	[01* ttừ]\n- tự động\n[02= automatic pistol] súng lục tự động\n[02= automatic telephone system] hệ thống điện thoại tự động\n[02= automatic pilot] máy lái tự động\n- vô ý thức, máy móc\n[02= automatic movement] cử động vô ý thức\n[01* dtừ]\n- máy tự động; thiết bị tự động\n- súng tự động; súng lục tự động
automatic bias	- (kỹ) thiên áp tự động; lệch số tự động
automatic black level control	- (kỹ) điều chỉnh tự động mức đen
automatic break	- (kỹ) cắt tự động
automatic brightness control	- (kỹ) điều chỉnh độ chói tự động
automatic calling	- (kỹ) gọi tự động
automatic calling unit	- (kỹ) bộ phận gọi tự động
automatic carriage	- (kỹ) bộ lên giấy tự động
automatic check	- (kỹ) kiểm (tra) tự động
automatic checkout system	- (kỹ) hệ thống kiểm (ra) tự động
