affectionally	- xem [03affection] 
affricate [01/'æfrikit/]	[01* dtừ]\n- (ngôn) âm tắc xát
affright [01/ə'frait/]	[01* dtừ]\n- (thơ ca) ; (cổ) sự khiếp sợ, sự hoảng sợ, sự khiếp đảm\n- nỗi kinh hãi\n[01* ngđtừ]\n- (thơ ca) ; (cổ) làm khiếp sợ, làm hoảng sợ, làm khiếp đảm
affrightment	- xem [03affright] 
affront [01/ə'frʌnt/]	[01* dtừ]\n- sự lăng mạ, sự lăng nhục, sự sỉ nhục\n[02= to put an affront upon somebody; to offer an affront to somebody] lăng mạ ai, sỉ nhục ai\n[02= to pocket an affront without a word] thầm lặng mà nuốt nhục\n[01* ngđtừ]\n- lăng mạ, lăng nhục, sỉ nhục\n- làm nhục, làm xấu hổ, làm mất thể diện\n- đương đầu\n[02= to affront the danger] đương đầu với sự hiểm nguy
affrontive [01/ə'frʌntiv/]	[01* ttừ]\n- vô lễ\n- gây xúc phạm
affuse [01/ə'fju:z/]	[01* ngđtừ]\n- rảy nước để rửa tội hay để chữa bệnh
affusion [01/ə'fju:ʒn/]	[01* dtừ]\n- sự rảy nước, sự giội nước (khắp người để làm lễ rửa tội)\n- (y) sự giội nước (cho người sốt) ; phép chữa giội nước
Afghan [01/'æfgæn/]	[01* dtừ]\n- người Ap-ga-ni-xtăng\n- tiếng Ap-ga-ni-xtăng\n- afghan (Mỹ) khăn phủ giường bằng len đan
Afghan hound [01/'æfgæn'haund/]	[01* dtừ]\n- chó săn Afgan
aficionado [01/ə,fisjə'nadou:/]	[01* dtừ]\n- người cuồng nhiệt
afield [01/ə'fi:ld/]	[01* phtừ]\n- ở ngoài đồng, ở ngoài ruộng; ra đồng, ra ruộng\n[02= to lead cattle afield] dắt trâu bò ra đồng\n- xa; ở xa\n- xa nhà ((thường) [02far afield])\n[02= to go far afield] đi xa\n- (qsự) ở ngoài mặt trận\n[02= to be afield] ở ngoài mặt trận
afire [01/ə'faiə/]	[01* ttừ & phtừ]\n- cháy, bừng bừng, rực cháy (đen & bóng)\n[02= to set something afire] đốt cháy vật gì\n[02= to be afire with the desire to do something] nóng lòng muốn làm điều gì
aflagellar [01/ə'fla:ʒələ/]	[01* ttừ]\n- không lông roi
aflame [01/ə'fleim/]	[01* ttừ & phtừ]\n- cháy, rực cháy, rực lửa (đen & bóng), bốc lửa\n[02= to set something aflame] đốt cháy một vật gì\n[02= his heart is aflame with indignation] sự phẫn nộ rực cháy trong tim anh ta
aflat [01/ə'flæt/]	[01* phtừ]\n- ngang bằng
aflatoxin	[01* dtừ]\n- độc tố
afl-cio [01/,ei ef 'el,si: ai 'ou/]	[01* (vt)]\n- Liên hiệp lao động và Đại hôi các tổ chức kỹ nghệ Hoa Kỳ ([03American Federation of Labor and Congress of Industrial Organizations] ) 
afloat [01/ə'flout/]	[01* ttừ & phtừ]\n- nổi lênh đênh (trên mặt nước), lơ lửng (trên) không)\n- trên biển, trên tàu thuỷ\n[02= life afloat] cuộc sống trên biển\n- ngập nước\n[02= the ship sank slowly until the decks were afloat] con tàu chìm dần cho tới khi ngập nước\n- lan truyền đi (tin đồn)\n[02= there is a rumour afloat that] có tin đồn rằng\n- thịnh vượng, hoạt động sôi nổi\n[02= concern is now fairly afloat] công việc kinh doanh hiện nay rất thịnh vượng\n- hết nợ, sạch mợ, không mắc nợ ai\n- đang lưu hành\n- không ổn định, trôi nổi
aflutter	[01* ttừ]\n- đang vẫy, đang vỗ (cánh)\n- run rẩy vì bị kích động\n- rung rinh
afocal resonator	- (kỹ) cái cộng hưởng không đồng tiêu
afoot [01/ə'fut/]	[01* ttừ & phtừ]\n- đi bộ, đi chân\n[02= to go afoot throught the forest] đi bộ xuyên qua rừng\n- đang tiến hành, đang làm\n- trở dậy; hoạt động\n[02= to be early afoot] trở dậy sớm
afore [01/ə'fɔ:/]	[01* gtừ & phtừ]\n- (hàng hải) ở phía trước, ở đằng trước\n[02= afore the mast] ở phía trước cột buồm\n- (cổ) trước đây, trước kia
aforecited [01/ə'fɔ:saitid/]	[01* ttừ]\n- đã dẫn
aforegoing [01/ə'fɔ:gouiη/]	[01* ttừ]\n- xảy ra trước đây
aforehand [01/ə'fɔ:hænd/]	[01* phtừ]\n- từ trước
aforementioned [01/ə'fɔ:,men∫nd/]	[01* ttừ]\n- đã kể ở trên, đã nói trên, đã kể trước đây
aforenamed [01/ə'fɔ:neimd/]	[01* ttừ]\n- đã kể ở trên, đã kể trước đây
aforesaid [01/ə'fɔ:seid/]	[01* ttừ]\n- đã nói ở trên, đã nói đến trước đây
aforethought [01/ə'fɔ:θɔ:t/]	[01* ttừ]\n- cố ý, có định trước, có suy tính trước
aforetime [01/ə'fɔ:taim/]	[01* phtừ]\n- trước đây, trước kia, ngày trước, ngày xưa
afoul [01/ə'faul/]	[01* phtừ]\n- chạm vào, húc vào, đâm vào\n[02= to run afoul of] húc vào, đâm bổ vào
afraid [01/ə'freid/]	[01* ttừ]\n- sợ, hãi, hoảng, hoảng sợ\n[02= we are not afraid of dificulties] chúng ta không sợ khó khăn\n[02= to be afraid of someone] sợ ai; ngại lấy làm tiếc\n[02= I am afraid I cannot lend you the book] tôi lấy làm tiếc không cho anh mượn quyển sách đó được\n[02= I'm afraid (that) it will happen] tôi e rằng việc đó sẽ xảy ra
afreet [01/'æfri:t/]	như [03afrite]
afresh [01/ə'fre∫/]	[01* phtừ]\n- lại lần nữa\n[02= to start afresh] bắt đầu lại từ đầu
African [01/'æfrikən/]	[01* ttừ]\n- thuộc Châu phi\n[01* dtừ]\n- người Châu phi
Africana [01/,æfri'ka:nə/]	[01* dtừ s/n]\n- bộ sưu tập các tài liệu về châu Phi
Africaness [01/'æfrikənis/]	[01* dtừ]\n- đàn bà châu Phi
Afrikaans [01/,æfri'kɑ:ns/]	[01* dtừ]\n- người Nam phi; người Hà lan ở Kếp
Afrikaner [01/,æfri'kɑ:nə/]	[01* dtừ]\n- người Nam phi gốc Âu (đặc biệt là Hà lan) 
Afrikanist [01/'æfrikənist/]	[01* dtừ]\n- nhà nghiên cứu văn hoá Châu phi
afrit [01/'æfri:t/]	như [03afrite]
afrite [01/'æfri:t/]	[01* dtừ]\n- con quỷ (thần thoại người Hồi) 
Afro [01/'æfrou/]	[01* ttừ]\n- (nói về kiểu tóc) quăn và dài như tóc dân da đen
Afro-American [01/'æfrouə'merikən/]	[01* ttừ]\n- thuộc người Mỹ da đen; người Mỹ nguồn gốc Châu phi\n[01* dtừ]\n- người Mỹ da đen; người Mỹ nguồn gốc Châu phi
aft [01/ɑ:ft/]	[01* ttừ & phtừ]\n- ở cuối tàu, ở đuôi tàu\n[02= for and aft] từ đầu đến đuôi tàu, từ đằng mũi đến đằng lái tàu
after [01/'ɑ:ftə/]	[01* phtừ]\n- sau, đằng sau\n[02= three days after] ba ngày sau\n[02= soon after] ngay sau đó\n[02= to follow after] theo sau\n[01* gtừ]\n- sau, sau khi\n[02= after dinner] sau bữa cơm\n- ở đằng sau, phía sau, đứng sau, liền sau\n[02= Summer comes after Srping] mùa hạ đến liền sau mùa xuân\n- theo sau, theo đuổi (diễn tả ý tìm kiếm, sự mong muốn, sự trông nom săn sóc)\n[02= to be after something] đuổi theo cái gì, tìm kiếm cái gì\n[02= to thirst after knowledge] khao khát sự hiểu biết\n[02= to look after somebody] trông nom săn sóc ai\n- phỏng theo, theo\n[02= a pictures after Rubens] một bức tranh theo kiểu Ruben\n[02= after the Russian fashion] theo mốt Nga\n- với, do, vì\n[02= after a cool reception] với một sự tiếp đãi lạnh nhạt\n- mặc dù, bất chấp\n[02= after all the threats] bất chấp tất cả những sự doạ nạt\n[04! after all]\n- cuối cùng, sau hết, rốt cuộc, xét cho cùng\n[04! after one's heart]\n- xem [03heart]\n[04! after a manner (fashion)]\n- tàm tạm, tạm được\n[04! after that]\n- xem [03that]\n[04! after you!]\n- xin mời đi trước!\n[04! after you with]\n- sau anh thì đến lượt tôi đấy nhé\n[04! day after day]\n- xem [03day]\n[04! the day after]\n- ngày hôm sau\n[04! time after time]\n- xem [03time]\n[01* liên từ]\n- sau khi\n[02= I went immediately after I had received the information] sau khi nhận được tin tôi đi ngay\n[01* ttừ]\n- sau này, sau đây, tiếp sau\n[02= in after years] trong những năm sau này; trong tương lai\n- (hàng hải) ở đằng sau, ở phía sau\n[02= the after part of the ship] phía sau tàu
after shave [01/'a:ftə∫eiv/]	[01* dtừ]\n- nước hoa bôi sau khi cạo rầu
afteraction [01/'a:ftəræk∫n/]	[01* dtừ]\n- tác động thứ sinh
afterbirth [01/'ɑ:ftəbə:θ/]	[01* dtừ]\n- nhau (đàn bà đẻ) 
afterbrain [01/'a:ftəbrein/]	[01* dtừ]\n- não sau
afterbreast [01/'a:ftəbrest/]	[01* dtừ]\n- ngực sau
afterburner [01/'ɑ:ftə'bə:nə/]	[01* dtừ]\n- (hàng không) thùng chất đốt phụ (máy bay phản lực) 
aftercare [01/'a:ftəkeə/]	[01* dtừ]\n- sự chăm sóc sau khi điều trị, sự chame sóc sau hạn tù
after-care [01/'ɑ:ftəkeə/]	[01* dtừ]\n- sự trông nom chăm sóc sau thời gian điều trị
afterclap [01/'ɑ:ftəklæp/]	[01* dtừ]\n- việc hậu phát
aftercrop [01/'ɑ:ftəkrɔp/]	[01* dtừ]\n- lúa dẻ\n- cỏ mọc lại
afterdamp [01/'ɑ:ftər'dæmp/]	[01* dtừ]\n- (ngành mỏ) hơi bốc sau (bốc lên ở hầm mỏ sau khi khí độc nổ) 
aftereffect [01/,ɑ:ftəæfekt/]	[01* dtừ]\n- (y) di chứng
after-effect [01/'ɑ:ftəi'fekt/]	[01* dtừ]\n- hậu quả\n- (y) kết quả về sau (của thuốc...) 
after-fermentation [01/'a:ftəfə:men'tei∫n/]	[01* dtừ]\n- sự lên men tiếp; sự lên men thêm
aftergame [01/a:ftəgeim/]	[01* dtừ]\n- dự định về sau
afterglow [01/'ɑ:ftəglou/]	[01* dtừ]\n- ánh hồng ban chiếu (ở chân trời sau khi mặt trời lặn) 
afterglow screen	- (kỹ) màn hình lưu ảnh
afterglow tube	- (kỹ) đèn lưu ảnh
after-grass [01/'ɑ:ftəgrɑ:s/]	[01* dtừ]\n- cỏ mọc lại, cọ tái sinh
after-growing [01/'a:ftəgrouiη/]	[01* dtừ]\n- sự lớn tiếp; sự lớn thêm
aftergrowth [01/'ɑ:ftəgrouθ/]	như [03aftercrop]
after-hours [01/a:ftəauəz/]	[01* ttừ, phtừ]\n- làm sau thời gian kết thúc
afterimage [01/'ɑ:ftə,imidʒ/]	[01* dtừ]\n- dư ảnh
afterlife [01/'ɑ:ftəlaif/]	[01* dtừ]\n- kiếp sau
after-life [01/'ɑ:ftəlaif/]	[01* dtừ]\n- kiếp sau, đời sau\n- lúc cuối đời
afterlight [01/'ɑ:ftəlait/]	[01* dtừ]\n- (sân khấu) ánh sáng phía sau\n- cái mãi về sau mới được sáng tỏ
aftermath [01/'ɑ:ftəmæθ/]	[01* dtừ]\n- (như) [03after-grass]\n- hậu quả, kết quả (thường là tai hại)\n[02= The aftermath of war] hậu quả của chiến tranh
aftermost [01/'ɑ:ftəmoust/]	[01* ttừ]\n- (hàng hải) ở đuôi tàu, gần đuôi tàu nhất\n- sau cùng, sau rốt, cuối cùng
afternoon [01/'ɑ:ftənu:n/]	[01* dtừ]\n- buổi chiều\n[02= in the afternoon of one's life] lúc về già\n[02= afternoon farmer] người lười biếng
afternoons [01/,a:ftə'nu:nz/]	[01* phtừ]\n- vào các buổi chiều (như là một thói quen) 
after-pains [01/'ɑ:ftəpeinz/]	[01* dtừ]\n- (y) chứng đau bóp tử cung sau hậu sản
afterpiece [01/'ɑ:ftəpi:s/]	[01* dtừ]\n- (sân khấu) tiết mục đuôi (tiết mục phụ thường là khôi hài, sau khi diễn xong vở chính) ; tiết mục hạ màn
after-ripeing [01/'a:ftə,raipəniη/]	[01* dtừ]\n- sự chín tiếp; sự chín thêm
afters [01/'ɑ:ftəz/]	[01* dtừ]\n- (tục) món phụ sau (món ăn phụ, sau món ăn chính ở bữa cơm trưa) 
aftersale	[01* ttừ]\n- sau khi bán hàng
after-sales [01/'ɑ:ftəseilz/]	[01* ttừ]\n- sau khi bán hàng\n[02= After-sales service] Dịch vụ sau khi bán hàng; dịch vụ hậu mãi
after-sensation [01/'a:ftəsen'sei∫n/]	[01* dtừ]\n- cảm giác tiếp tục, dự cảm
after-shaft [01/'a:ftə∫a:ft/]	[01* dtừ]\n- túm lông cuối; túm lông phụ
aftershave [01/'ɑ:ftəʃeiv/]	[01* dtừ]\n- nước thơm dùng sau khi cạo râu
aftershock [01/'ɑ:ftə∫ɔk/]	[01* dtừ]\n- (địa) dư chấn
aftertaste [01/'ɑ:ftəteist/]	[01* dtừ]\n- dư vị
aftertax [01/'a:ftətæks/]	[01* dtừ]\n- thuế phụ thu
afterthought [01/'ɑ:ftəθɔ:t/]	[01* dtừ]\n- sự suy nghĩ sau khi hành động; ý nghĩ nảy ra quá muộn (sau khi việc đã làm xong mất rồi)\n- các giải quyết đến sau, lời giải thích đến sau
afterward [01/'ɑ:ftəwəd/]	như [03afterwards]
afterwards [01/'ɑ:ftəwədz/]	[01* phtừ]\n- sau này, về sau, sau đấy, rồi thì
afterword [01/'ɑ:ftəwə:d/]	[01* dtừ]\n- lời bạt (cuối sách) 
afterworld [01/'ɑ:ftəwə:ld/]	[01* dtừ]\n- kiếp sau, thế giới bên kia
again [01/ə'gen/]	[01* phtừ]\n- lại, lần nữa, nữa\n- trở lại\n[02= to be home again] trở lại về nhà\n[02= to be well (onedelf) again] khoẻ lại, bình phục\n[02= to come to again] lại tỉnh lại\n- đáp lại, dội lại\n[02= to answer again] trả lời lại; đáp lại\n[02= rocks echoed again] những vách đá vang dội lại\n- mặt khác, ngoài ra, hơn nữa, vả lại, vả chăng\n[02= again, it is necessary to bear in mind that] hơn nữa cần phải nhớ rằng\n[02= these again are more expensive] vả lại những cái này đắt hơn\n[02= again and again] nhiều lần, không biết bao nhiêu lần\n[04! as much (many) again]\n- nhiều gấp đôi\n[04! as rall again as somebody]\n- cao gấp đôi ai\n[04! ever and again]\n- thỉnh thoảng, đôi khi\n[04! half as much again]\n- xem [03half]\n[04! half as high again as somebody]\n[04! half again somebody's height]\n- cao gấp rưỡi ai\n[04! now and again]\n- xem [03now]\n[04! once and again]\n- xem [03once]\n[04! over again]\n- xem [03over]\n[04! time and again]\n- xem [03time] 
against [01/ə'geinst/]	[01* gtừ]\n- chống lại, ngược lại, phản đối\n[02= to fight against aggression] chiến đấu chống xâm lược\n[02= to be against aggression wars] phản đối chiến tranh xâm lược\n[02= to go against the wind] đi ngược chiều gió\n- tương phản với\n[02= black is against white] màu đen tương phản với màu trắng\n- dựa vào, tỳ vào, áp vào, đập vào\n[02= to stand against the wall] đứng dựa vào tường\n[02= to run against a rock] chạy va phải tảng đá\n[02= rain beats against the window-panes] mưa đập vào kính cửa sổ\n- phòng, đề phòng, phòng xa\n[02= to keep provisions against rainy days] dự trữ thực phẩm đề phòng những ngày mưa\n- ((thường) [02over against]) đối diện với\n[02= his house is over against mine] nhà anh ta đối diện với nhà tôi\n[04! against time]\n- xem [03time] 
agama [01/ə'gæmə/]	[01* dtừ]\n- con nhông
agameon [01/ɔ'gæmiən/]	[01* dtừ]\n- loài vô giao
agamete [01/ə'gæmit/]	[01* dtừ]\n- dạng phi giao tử; dạng amip
agamic [01/ə'gæmik/]	[01* ttừ]\n- (sinh vật) vô tính\n- vô giao
agamically	- xem [03agamic] 
agamodeme [01/ə'gæmɔdi:m/]	[01* dtừ]\n- nhóm vô giao; nhóm vô tính
agamogenesis [01/,ægəmou'dʒenisis/]	[01* ttừ]\n (sinh vật)- sự sinh sản vô tính\n- sự sinh sản đơn tính
agamogony [01/,ægə'mɔgəni/]	[01* dtừ]\n- sự sinh sản phân cắt; sự sinh sản vô tính
agamolium [01/əgæmɔdi:m/]	[01* dtừ]\n- thế hệ vô giao; thế hệ vô tính
agamont [01/ei'gæmɔnt/]	[01* dtừ]\n- thể phân cắt, thể vô tính
agamospecies [01/'ægəmouspe∫i:z/]	[01* dtừ]\n- loài vô tính
agamous [01/'ægəməs/]	như [03agamic]
agamy [01/'ægəmi/]	[01* dtừ]\n- tính vô giao
agape [01/ə'geip/]	[01* ttừ & phtừ]\n- há hốc mồm ra (vì kinh ngạc)\n[02= mouth agape with astonishment] mồm há hốc ra vì kinh ngạc
agar-agar [01/'eigɑ:'eigɑ:/]	[01* dtừ]\n- Aga, aga thạch trắng
agaric [01/'ægərik/]	[01* dtừ]\n- (thực vật) nấm tán
agaricaceous [01/ə,gæri'kei∫əs/]	[01* ttừ]\n- (thực vật) thuộc họ nấm tán
agastric [01/ə'gæstrik/]	[01* ttừ]\n- thiếu dạ dày
agate [01/'ægət/]	[01* dtừ]\n- đá mã não\n- (Mỹ),(ngành in) chữ in cỡ 5...
agateware [01/'ægeitweə/]	[01* dtừ]\n- đồ gốm giống đá mã não
agave [01/ə'geivi/]	[01* dtừ]\n- (thực vật) cây thùa
agaze [01/ə'geiz/]	[01* phtừ]\n- đang nhìn đăm đăm
age [01/eidʤ/]	[01* dtừ]\n- tuổi\n[02= what is your age?] anh bao nhiêu tuổi?\n[02= to be twenty years of age] hai mươi tuổi\n[02= the age of discretion] tuổi khôn, tuổi biết suy xét rồi (14 tuổi)\n[02= over age] quá tuổi quy định\n- tuổi già, tuổi tác\n[02= back bent with age] lưng còng vì tuổi tác\n- thời đại, thời kỳ\n[02= the stone age] thời kỳ đồ đá\n[02= the golden age] thời kỳ hoàng kim\n- tuổi trưởng thành\n[02= to be (come) of age] đến tuổi trưởng thành\n[02= to be under age] chưa đến tuổi trưởng thành\n- (tục),((thường) số nhiều) lâu lắm, hàng thế kỷ\n[02= I haven't seen him for ages] đã lâu lắm tôi không gặp anh ấy\n- thế hệ\n[04! to act (be) one's age]\n- xử sự đúng lúc với bậc tuổi mình\n[04! age consent]\n- xem [03consent]\n[04! to beat one's well]\n- già mà còn khoẻ, nom trẻ hơn tuổi\n[04! a dog's age]\n[04! a coon's age]\n- (Mỹ)(tục) một thời gian dài, hàng thế kỷ\n[04! a green old age]\n- tuổi già, tuổi già sung sướng\n[04! hoary age]\n- tuổi già, tuổi hạc\n[04! the infitmities of age]\n- những bệnh tật lúc tuổi già\n[04! to look one's age]\n- xem [03look] 
age of consent	- tuổi cập kê
age-bracket [01/'eiʤ'brækit/]	[01* dtừ]\n- như [03age-group] 
aged [01/'eidʒd/]	[01* ngđtừ]\n- làm cho già đi\n[01* nđtừ]\n- già đi
agedly	- xem [03aged] 
agedness [01/'eidʒidnis/]	[01* dtừ]\n- tuổi già, sự nhiều tuổi
age-group [01/'eidʒ'gru:p/]	[01* dtừ]\n- nhóm tuổi
ageing [01/'eidʒiη/]	[01* dtừ]\n- sự hoá già
ageism [01/'eidʒizəm/]	[01* dtừ]\n- sự đối xử với người nào không công bằng do tuổi tác của họ
ageist	- xem [03ageism] 
ageless [01/'eidʒlis/]	[01* ttừ]\n- trẻ mãi không già\n- (thơ ca) mãi mãi, đời đời, vĩnh viễn
agelessly	- xem [03ageless] 
agelessness	như [03agelessly]
agelong [01/'eidʒlɔη/]	[01* ttừ]\n- lâu hàng đời, đời đời, mãi mãi, vĩnh viễn
agency [01/'eidʒənsi/]	[01* dtừ]\n- tác dụng, lực\n- sự môi giới, sự trung gian\n[02= through (by) the agency of...] nhờ sự môi giới của...\n- (thương nghiệp) đại lý, phân điểm, chi nhánh\n- cơ quan, sở, hãng, hãng thông tấn\n[02= Vietnam News Agency] Việt Nam thông tấn xã
agenda [01/ə'dʒendə/]	[01* dtừ]\n- (số nhiều) những việc phải làm\n- chương trình nghị sự\n- nhật ký công tác
agenesia [01/eidʒə'ni:ʒiə/]	- Cách viết khác : [03agenesis]
agent [01/'eidʒənt/]	[01* dtừ]\n- người đại lý\n- ((thường) số nhiều) tay sai, chỉ điểm tay chân, bộ hạ\n- tác nhân\n[02= physical agent] tác nhân vật lý\n[02= chemical agent] tác nhân hoá học\n[04! forward agent]\n- người làm công tác phát hành; người gửi đi\n[04! road agent]\n- (Mỹ) kẻ cướp đường\n[04! secret agent]\n- đặc vụ, trinh thám\n[04! ticket agent]\n- (Mỹ) người giữ quỹ phòng bán vé
Agent Orange	[01* dtừ]\n- chất khai hoang do Mỹ sử dụng trong cuộc chiến tranh Việt Nam; chất độc màu da cam
agent provocateur [01/,æʒɒn prə,vɒkə'tə:/]	[01* dtừ]\n- người nhử cho kẻ khác phạm pháp để bắt họ
age-old [01/'eidʒould/]	[01* ttừ]\n- lâu đời\n[02= age-old culture] nền văn hoá lâu đời
ager	- xem [03age] 
aggiornamento [01/ədʒɔ:nə'mentou/]	[01* dtừ] s/n [02aggiornamentos]\n- sự hiện đại hoá, sự hiện đại hoá công giáo
agglomerant [01/ə'glɔmərənt/]	[01* dtừ]\n- (hoá) chất làm kết tụ
agglomerate [01/ə'glɔmərit/]	[01* ttừ]\n- tích tụ, chất đống\n- (hoá) kết tụ\n[01* dtừ]\n- địa khối liên kết\n- (kỹ) sản phẩm thiêu kết\n- (hoá) khối kết tụ\n[01* đtừ]\n- tích tụ lại, chất đống lại
agglomerate cell	- (kỹ) pin tập khối
