king's evil [01/'kiηz'i:vl/]	như [03scrofula]
kleptomania [01/,kleptou'meinjə/]	[01* dtừ]\n- thói ăn cắp vặt, thói tắt mắt
kleptomaniac [01/,kleptou'meiniæk/]	[01* dtừ]\n- người ăn cắp vặt, người tắt mắt
kleptomaniacal	- xem [03kleptomania] 
klieg light [01/'kli:g,lait/]	[01* dtừ]\n- cũng [03kleig light], đèn hồ quang cực mạnh dùng trong xưởng làm phim
klipspringer [01/'klip,spriηə/]	[01* dtừ]\n- (động vật) linh dương Nam phi
kloof [01/klu:f/]	[01* dtừ]\n- hẽm núi; thung lũng (ở Nam phi) 
kludge	- Một lời giải nhanh, thiếu trang nhã về mặt kỹ thuật của một bài toán, thường do một hệ máy tính được lắp bằng những linh kiện không phù hợp sinh ra
kluxer [01/'klʌksə/]	như [03klansman]
klystron [01/'klistrɔn/]	[01* dtừ]\n- (lý) klytron\n[02= reflex klystron] klytron phản xạ
km	- (vt của [03kilometre] ) kilomet
kn	- (vtcủa knot(s)) hải lý/giờ, nót
knack [01/næk/]	[01* dtừ, ít khi dùng số nhiều]\n- sở trường, tài riêng; sự thông thạo; sự khéo tay\n[02= to have the knack of something] làm việc gì khéo léo; có tài riêng làm việc gì\n[02= there is a knack in it] việc này phải làm rồi mới thạo được\n- mẹo, khoé (để làm gì)\n- thói quen, tật (trong khi viết, khi nói...) 
knacker [01/'nækə/]	[01* dtừ]\n- người chuyên mua ngựa già để giết thịt\n- người chuyên buôn tàu (nhà...) cũ để phá lấy vật liệu
knackered	[01* ttừ]\n- mệt lử, kiệt sức
knackery [01/'nækəri/]	[01* dtừ]\n- lò làm thịt ngựa già
knag [01/'næg/]	[01* dtừ]\n- mắt (gỗ) 
knaggy [01/'nægi/]	[01* ttừ]\n- nhiều mắt (gỗ) 
knap [01/næp/]	[01* ngđtừ]\n- đập (đá lát đường...) bằng búa\n- (tiếng địa phương) đập vỡ, đập bể\n[01* dtừ (tiếng địa phương)]\n- đỉnh đồi\n- gò, đồi nhỏ
knapper [01/'næpə/]	[01* dtừ]\n- người đập đá
knapsack [01/'næpsæk/]	[01* dtừ]\n- ba lô
knapweed [01/'næpwi:d/]	[01* dtừ]\n- (thực vật) cây xa cúc
knar [01/nɑ:/]	[01* dtừ]\n- mắt, mấu (ở thân cây, rễ cây) 
knave [01/neiv/]	[01* dtừ]\n- kẻ bất lương, kẻ đểu giả, đồ xỏ lá ba que\n- (đánh bài) quân J\n- (cổ) người hầu
knavery [01/'neivəri/]	[01* dtừ]\n- sự bất lương, tính đểu giả, tính xỏ lá ba que\n- hành động bất lương, hành vi đểu giả\n- trò tinh quái, trò nghịch ác
knavish [01/'neivi∫/]	[01* ttừ]\n- lừa đảo, lừa bịp; đểu giả, xỏ lá ba que\n[02= knavish tricks] thủ đoạn lừa bịp\n- (cổ) tinh quái, nghịch ác
knavishly [01/'neivi∫li/]	[01* phtừ]\n- ranh ma, tinh quái
knavishness	- xem [03knave] 
knead [01/ni:d/]	[01* ngđtừ]\n- nhào lộn (bột để làm bánh, đất sét...)\n- (bóng) trộn lẫn vào, hỗn hợp vào\n- xoa bóp; đấm bóp, tầm quất
kneader	- xem [03knead] 
kneading machine [01/'ni:diηmə,∫i:n/]	như [03dough mixer]
kneading-trough [01/'ni:diηtrɔf/]	[01* dtừ]\n- máng (để) nhào bột
knee [01/ni:/]	[01* dtừ]\n- đầu gối\n[02= up to one's knee] đến tận đầu gối\n- chỗ đầu gối quần\n[02= the trousers bulge at the knees] quần phồng ra ở chỗ đầu gối\n- (kỹ) khuỷu, khớp xoay\n- chân quỳ hình thước thợ ((cũng) [03knee bracket] ) ; thanh (sắt, gỗ) uốn gãy góc\n[04! to bend the knee to somebody]\n- quỳ gối trước ai\n[04! to bow the knee before somebody]\n- chịu phục tùng ai, chịu khuất phục trước người nào\n[04! to bring someone to his knees]\n- bắt ai phải quỳ gối, bắt ai phải đầu hàng\n[04! to get ogg one's knees]\n- đứng dậy (sau khi quỳ)\n[04! to give (offer) a knee to somebody]\n- giúp đỡ ai, phụ tá ai\n- (thể thao) đỡ (một võ sĩ quyền Anh) cho quỳ xuống giữa hai hiệp đấu\n[04! to go on one's knees]\n- quỳ gối\n[04! to go on one's knees to somebody]\n- quỳ gối trước ai, quỵ luỵ ai, van nài ai\n[04! on one's knees]\n- quỳ gối, quỵ luỵ, van nài, hạ mình\n[04! on hands and knees]\n- bỏ\n[04! it is on the knees of the gods]\n- còn chưa rõ, chưa biết, chưa chắc chắn\n[01* ngđtừ]\n- hích bằng đầu gối, đụng bằng đầu gối\n- làm chắc (khung...) bằng sắt thước thợ\n- (tục) làm phồng (quần) ở chỗ đầu gối
knee breeches	[01* dtừ]\n- quần ngắn tới đầu gối
knee-boot [01/'ni:bu:t/]	[01* dtừ]\n- giày ống (đến tận gần đầu gối) 
knee-breeches [01/'ni:,brit∫iz/]	[01* dtừ s/n]\n- quần ngắn đến tận gần đầu gối (khác với quần sóoc) 
kneecap [01/'ni:kæp/]	[01* dtừ]\n- (phẫu) xương bánh chè\n- miếng vải, da hoặc cao su bảo vệ đầu gối
knee-cap [01/'ni:kæp/]	[01* dtừ]\n- (phẫu) xương bánh chè (ở đầu gối)((cũng) [03knee-pan] )\n- miếng đệm đầu gối (vải, cao su hoặc da để bảo vệ đầu gối)((cũng) [03knee-pad] ) 
kneecapping [01/'ni:kæpiη/]	[01* dtừ]\n- sự đập vỡ xương bánh chè
knee-deep [01/'ni:di:p/]	[01* ttừ]\n- sâu đến tận đầu gối
knee-high [01/'ni:hai/]	[01* ttừ]\n- cao đến đầu gối\n[04! knee-high to a mosquito (a grasshopper, a duck)]\n-(đùa) bé tí, lùn tịt
knee-hole [01/'ni:houl/]	[01* dtừ]\n- chỗ đút đầu gối (chỗ trống ở giữa hai ngăn tủ ở bàn viết để cho đầu gối vào\n[02= knee-hole table] bàn tủ (bàn giấy có hai ngăn tủ hai bên, ở giữa có chỗ trống để khi ngồi cho đầu gối vào) 
knee-jerk [01/'ni:dʒə:k/]	[01* dtừ]\n- (y) phản xạ bánh chè
knee-joint [01/'ni:dʒɔint/]	[01* dtừ]\n- (phẫu) khớp đầu gối\n- (kỹ) mối ghép đòn khuỷ
kneel [01/ni:l/]	như [03knelt]
knee-length [01/'ni:leηθ/]	[01* ttừ]\n- dài đến đầu gối
kneeler [01/'ni:lə ; 'niələ/]	[01* dtừ]\n- người quỳ\n- chiếc gối nhỏ hoặc ghế thấp để quỳ (ở nhà thờ) 
kneeling position [01/'ni:liηpə'zi∫n/]	[01* dtừ]\n- (qsự) tư thế quỳ bắn
knee-pad [01/'ni:pæd/]	[01* dtừ]\n- miếng đệm đầu gối (vải, cao su hoặc da để bảo vệ đầu gối)((cũng) [03knee-cap] ) 
knee-pan [01/'ni:pæn/]	[01* dtừ]\n- (phẫu) xương bánh chè (ở đầu gối)((cũng) [03knee-cap] ) 
knees-up [01/'ni:zʌp/]	[01* dtừ]\n- buổi liên hoan có khiêu vũ
knee-up [01/'ni:ʌp/]	[01* dtừ]\n-(Anh) một buổi liên hoan sinh động, thường có kèm theo khiêu vũ
knell [01/nel/]	[01* dtừ]\n- hồi chuông báo tử\n- điềm cáo chung, điềm tận số (của một chế độ, một tập đoàn...)\n[01* đtừ]\n- rung lên ai oán, kêu lên buồn thảm\n- báo điềm cáo chung, báo điềm tận số\n- (cổ) đánh hồi chuông báo tử
knelt [01/ni:l/]	[01* nđtừ]\n- quỳ, quỳ xuống ((cũng) [03to kneel down] )\n[02= to kneel to somebody] quỳ gối trước ai, quỳ lạy ai
knesset [01/'knesit/]	[01* dtừ]\n- hội đồng lập pháp của Ixraen
knew [01/nou/]	[01* đtừ knew; known]\n- biết; hiểu biết\n[02= to know about something] biết về cái gì\n[02= to know at least three languages] biết ít nhất ba thứ tiếng\n[02= to know how to play chess] biết đánh cờ\n- biết, nhận biết; phân biệt được\n[02= to know somebody at once] nhận biết được ai ngay lập tức\n[02= to know one from another] phân biệt được cái này với cái khác\n- biết, quen biết\n[02= to know by sight] biết mặt\n[02= to know by name] biết tên\n[02= to get to know somebody] làm quen được với ai\n- ((thường) +[02of]) biết, biết tin, biết rõ về\n[02= do you know of his return?] anh đã biết tin ông ta trở về chưa?\n[02= I know of an excellent restaurant near here] tôi biết gần đây có một tiệm ăn rất tốt\n- đã biết mùi, đã trải qua\n[02= to know misery] đã trải qua cái cảnh nghèo khổ\n- (kinh thánh) đã ăn nằm với (một người đàn bà)\n[04! all one knows]\n- (tục)(với) tất cả khả năng của mình, (với) tất cả sự hiểu biết của mình; hết sức mình\n[02= to try all one knows] cố gắng hết sức mình, thử làm với tất cả khả năng của mình\n[04! before you know where you are]\n- (tục) ngay, không chậm trễ, trong chốc lát, một cách nhanh chóng\n[04! to know black from white]\n[04! to know chalk from cheese]\n[04! to know a hawk from a handsaw]\n[04! to know one's way about]\n- biết rõ sự tình; biết phân biệt trắng đen; biết cặn kẽ, biết rõ ngọn ngành\n[04! to know better]\n- xem [03better]\n[02= I know better (than that)] tôi biết thừa đi rồi, tôi còn biết rõ hơn thế nữa kia\n[04! to know better than...]\n- không ngốc mà lại...\n[04! to know one's own business]\n- không dính vào việc của người khác\n[04! to know something (somebody) as a person knows his ten fingers; to know something (somebody) as well as a beggar knows his bag; to know something (somebody) like a book; to know something (somebody) like the palm of one's hands]\n- biết cặn kẽ cái gì (ai) ; biết rõ cái gì (ai) như lòng bàn tay mình\n[04! to know one's own mind]\n- biết rõ ý định của mình; kiên quyết, không dao động\n[04! to know what one is about]\n- biết phải làm gì; hành động một cách khôn ngoan\n[04! not to know what from which]\n- không biết cái gì với cái gì\n[04! to know everything is to know nothing]\n- (tục ngữ) cái gì cũng biết là không biết cái gì cả\n[04! not that I know of]\n- theo tôi biết thì không\n[01* dtừ (tục)]\n- to be in the know biết rõ sự việc, biết rõ vấn đề; biết điều mà mọi người chưa biết
knickerbocker [01/'nikə,bɔkə/]	[01* dtừ]\n- người dân Nui-óoc
knickerbocker glory [01/'nikə'glɔri/]	[01* dtừ]\n- món ăn tráng miệng, kèm lẫn với trái cầy v. v. (để trong cốc cao) 
knickerbockers [01/'nikəbɔkəz/]	[01* dtừ s/n]\n- quần chẽn gối
knickers [01/'nikəz/]	[01* dtừ s/n]\n- (tục)(như) [03knickerbockers]\n- quần lót chẽn gối (của phụ nữ) 
knickers inter	- (thán từ)(lóng) xùy! (thán từ tỏ sự thách thức hoặc khinh bỉ) 
knickknack [01/'niknæk/]	[01* dtừ]\n- đồ trang trí ít giá trị (thường là để trang trí nhà cửa) 
knick-knack [01/'niknæk/]	[01* dtừ]\n- đồ trang sức lặt vặt, đồ trang trí lặt vặt; đồ lặt vặt
knick-knackery [01/'niknækəri/]	[01* dtừ]\n- những đồ trang sức lặt vặt, những đồ trang trí lặt vặt; những đồ lặt vặt (nói chung)\n- nghề buôn bán đồ trang sức lặt vặt, nghề buôn bán đồ trang trí lặt vặt; nghề buôn bán đồ lặt vặt
knife [01/naif/]	như [03knives]
Knife edge	[01* dtừ]\n- mép lưỡi dao
knife pleat [01/'naif pli:t/]	[01* dtừ]\n- nếp gấp nhỏ
knife-board [01/'naifbɔ:d/]	[01* dtừ]\n- bàn rửa dao\n- ghế nóc xe (ghế đôi kê theo chiều dọc trên nóc xe buýt) 
knife-boy [01/'naifbɔi/]	[01* dtừ]\n- em bé rửa dao
knife-edge [01/'naifedʒ/]	[01* dtừ]\n- lưỡi dao\n- cạnh dao (khối tựa hình lăng trụ ở cái cân) 
knife-grinder [01/'naif,graində/]	[01* dtừ]\n- người mài dao, người mài dao rong\n- dụng cụ mài dao
knife-machine [01/'naifmə,∫i:n/]	[01* dtừ]\n- máy rửa dao
knife-polish [01/'naif,pɔli∫/]	[01* dtừ]\n- phấn chùi dao
knifer	- xem [03knife] 
knife-rest [01/'naifrest/]	[01* dtừ]\n- giá để dao (ở bàn ăn) 
knife-sharpener [01/'naif,∫ɑ:pnə/]	[01* dtừ]\n- cái liếc dao, cái để mài dao
knife-switch [01/'naifswit∫/]	[01* dtừ]\n- (điện học) cầu dao
knigh-errant [01/'nait'erənt/]	[01* dtừ]\n- chàng hiệp sĩ giang hồ\n- (bóng) người hào hiệp viển vông (như Đông-Ky-sốt) 
knigh-errantry [01/'nait'erəntri/]	[01* dtừ]\n- tính giang hồ hiệp sĩ\n- (bóng) tính hào hiệp viển vông (như Đông-Ky-sốt) 
knight [01/nait/]	[01* dtừ]\n- hiệp sĩ (thời trung cổ ở Châu âu)\n- người được phong tước hầu (ở Anh)\n- (sử học),(Anh) đại biểu (của một) hạt (ở nghị viện)((cũng) [03knight of the shire] )\n- kỵ sĩ (trong quân đội cổ La mã)\n- (đánh cờ) quân cờ "ddầu ngựa"\n[04! knight bachelor]\n- hiệp sĩ thường (chưa được phong tước)\n[04! knight commander]\n- hiệp sĩ đã được phong tước\n[04! knight of the brush]\n-(đùa) hoạ sĩ\n[04! knight of the cleaver]\n-(đùa) người bán thịt\n[04! knight of the fortune]\n- kẻ phiêu lưu, kẻ mạo hiểm\n[04! knight of industry]\n- tay đại bợm\n[04! knight of the knife]\n- (cổ),(đùa) kẻ cắp\n[04! knight of the needle (shears, thimble)]\n- (cổ),(đùa) thợ may\n[04! knight of the pencil (pen, quill)]\n-(đùa) nhà văn; nhà báo\n[04! knight of the pestle]\n- (cổ) nhà bào chế, dược sĩ\n[04! knight of the post]\n- người sống bằng nghề làm nhân chứng láo\n[04! knight of the road]\n- người đi chào hàng\n- kẻ cướp đường\n[04! knight of the whip]\n-(đùa) người đánh xe ngựa\n[01* ngđtừ]\n- phong tước hầu (ở Anh) 
knight templar [01/'nait'templə/]	[01* dtừ] s/n [02knights templars, knights templar]\n- hiệp sĩ thánh chiến
knightage [01/'naitidʒ/]	[01* dtừ]\n- đoàn hiệp sĩ
knight-errant [01/'nait'erənt/]	- hiệp sự giang hồ
knight-errantry [01/'nait'erəntri/]	[01* dtừ]\n- tính giang hồ hiệp sĩ\n- hành vi hiệp sĩ
knighthood [01/'naithud/]	[01* dtừ]\n- tầng lớp hiệp sĩ\n- tinh thần hiệp sĩ\n- tước hầu
knightliness [01/'naitlinis/]	[01* dtừ]\n- tinh thần hiệp sĩ, tinh thần thượng võ; tính nghĩa hiệp, tính hào hiệp
knightly [01/'naitli/]	[01* ttừ]\n- có tinh thần hiệp sĩ, thượng võ; nghĩa hiệp, hào hiệp
knit [01/nit/]	[01* đtừ] [02knitted, knit]\n- đan (len, sợi...)\n- ((thường) together) nối chặt, gắn chặt, thắt chặt, kết chặt\n[02= mortar knits bricks together] vừa kết chặt các hòn gạch lại với nhau\n- ((thường) together) liên kết chặt chẽ, ràng buộc chặt chẽ (trên cơ sở quyền lợi chung, do hôn nhân...)\n- ((thường) động tính từ quá khứ) có cấu trúc vững chắc, có cấu trúc chặt chẽ\n[02= a closely knit argument] lý lẽ chặt chẽ\n- cau, nhíu (lông mày), nhăn (trán)\n[02= to knit one's brows] cau mày\n[04! to knit up]\n- mạng lại chỗ rách, đan lại chỗ rách (ở bít tất...)\n- kết chặt, thắt chặt mối ràng buộc\n- kết thúc (cuộc tranh luận...) 
knitter [01/'nitə/]	[01* dtừ]\n- may đan (len, sợi) ; máy dệt kim\n- người đan (len, sợi) 
knitting [01/'nitiη/]	[01* dtừ]\n- việc đan len\n- hàng len, đồ đan; hàng dệt kim
knitting needle	- que đan
knitting-machine [01/'nitiηmə,∫i:n/]	[01* dtừ]\n- máy đan (len, sợi), máy dệt kim
knitting-needle [01/'nitiη,ni:dl/]	[01* dtừ]\n- kim đan, que đan
