rayonnant [01/'reijənənt/]	[01* ttừ]\n- toả tia (trang trí) 
razzle [01/'ræzl/]	- (to be / go (out) on the razzle) đi ăn uống và vui chơi; mừng cái gì; chè chén linh đinh
razzle-dazzle [01/'ræzl,dæzl/]	[01* dtừ]\n- (lóng) sự nhộn nhịp; sự hối hả chạy ngược chạy xuôi\n- sự vui nhộn, sự chè chén linh đinh\n[02= to go on the razzle-dazzle] chè chén linh đinh\n- vòng đua ngựa g
razzmatazz [01/,ræzmə'tæz/]	[01* dtừ]\n- (tục) sự quyến rũ và kích thích; sự phô trương ngông cuồng\n[02= all the razzmatazz of showbiz] tất cả những kiểu quảng cáo ngông cuồng của ngành kinh doanh biểu diễn
rc [01/,ɑ:'si/]	[01* (vt)]\n- chữ thập đỏ ([03Red cross] )\n- giáo hội La Mã ([03Roman Catholic] ) 
rdbms	- hệ quản lý cơ sở dữ liệu quan hệ
re-	- tiền tố\n- lại lần nữa\n- reprint\n- in lại\n- một cách có sửa đổi, cải tiến\n- rewrite\n- viết lại có chỉnh lý\n- remake\n- làm lại\n- lùi lại\n- recall\n- nhắc lại\n- retract\n- co vào\n- chống lại\n- resist\n- kháng cự
re [01/ri:/]	[01* dtừ]\n- (âm nhạc) Rê\n[01* gtừ]\n- (thương nghiệp) về việc; về, trả lời\n[02= your cooperative selling to the State of 5,000 extra tons of rice] về việc hợp tác xã của các đồng chí bán thêm cho nhà nước 5 000 tấn gạo\n[02= re your letter of June 10th] về (trả lời) bức thư ngày 10 tháng sáu của ông\n- (pháp lý) về vụ\n[02= (in) re Smith versus Jones] về vụ ông Xmít kiện ông Giôn
reabsorb [01/'ri:əb'sɔ:b/]	[01* ngđtừ]\n- hút lại
reabsorption [01/'ri:əb'sɔ:p∫n/]	[01* dtừ]\n- sự hút lại
reaccept [01/ri:ək'sept/]	[01* ngđtừ]\n- chấp nhận lại
reacception [01/ri:ək'sep∫n/]	[01* dtừ]\n- sự chấp nhận lại
reaccustom [01/'ri:ə'kʌstəm/]	[01* ngđtừ]\n- (+[04 oneself, to...]) tập lại cho quen với\n[02= to reaccustom oneself to long marches] tập lại cho quen với những cuộc hành quân dài
reach [01/ri:tʃ/]	[01* dtừ]\n- sự chìa ra, sự trải ra\n- sự với (tay) ; tầm với\n[02= out of (beyond) reach] ngoài tầm với, quá xa không với tới được\n[02= within reach of] trong tầm tay, ở gần với tới được\n[02= within easy reach of the station] ở gần nhà ga\n- (thể thao) tầm duỗi tay (để đấm đối phương...)\n- (bóng) tầm hiểu biết, trình độ, khả năng; phạm vi hoạt động\n[02= within someone's reach] vừa trình độ ai\n[02= beyond someone's reach] quá sức ai\n- khoảng rộng, dài rộng (đất...)\n[02= a reach of land] một dải đất rộng\n- khúc sông (trông thấy được giữa hai chỗ ngoặt)\n- (hàng hải) đường chạy vát (của thuyền)\n[01* ngđtừ]\n- (+[04 out]) chìa ra, đưa (tay) ra\n[02= to reach out one's hand] chìa tay ra\n[02= trees reach out their branches] cây chìa cành ra\n- với tay, với lấy\n[02= to reach the ceiling] với tới trần nhà\n[02= to reach down one's hat] với lấy cái mũ xuống\n[02= reach me the dictionary, will you?] anh làm ơn với giùm tôi cuốn từ điển\n- đến, tới, đi đến\n[02= your letter reached me yesterday] thư anh đến tôi hôm qua\n[02= to reach an agreement] đi đến một sự thoả thuận\n[02= to reach the age of sixty] đến tuổi sáu mươi\n- có thể thấu tới, có thể ảnh hưởng đến\n[02= to reach someone's conscience] thấu đến lương tâm ai\n[01* nđtừ]\n- trải ra tới, chạy dài tới\n[02= the garden reaches the rives] khu vườn chạy dài đến tận con sông\n- với tay, với lấy\n[02= to reach out for something] với lấy cái gì\n- đến, tới\n[02= as far as the eyes can reach] xa tít, xa tới nơi tầm mắt có thể nhìn tới được\n[02= to reach to the bottom] xuống tận đáy\n[02= the memory reaches back over many years] ký ức nhớ lại được những năm xa xưa
reachable [01/'ri:t∫əbl/]	[01* ttừ]\n- có thể với tới được
reachless [01/'ri:t∫lis/]	[01* ttừ]\n- không thể đạt tới được
reach-me-down [01/'ri:tʃmi'daun/]	[01* ttừ]\n- (lóng) may sẵn (quần áo)\n[01* dtừ]\n- (lóng) quần áo may sẵn
react [01/ri:'ækt/]	[01* nđtừ]\n- tác động trở lại, ảnh hưởng trở lại, phản ứng lại\n[02= tyranny reacts upon the tyrant himself] sự bạo ngược tác hại trở lại ngay đối với kẻ bạo ngược\n- (lý) ; (hoá) phản ứng\n- (+[04 against]) chống lại, đối phó lại\n- (qsự) phản công, đánh trả lại lại\n- (tài chính) sụt, hạ (giá cả) 
reactance [01/ri:'æktəns/]	[01* dtừ]\n- (điện học) điện kháng
reactant [01/ri:'æktənt/]	[01* dtừ]\n- (hoá) chất phản ứng
reaction [01/ri:'æk∫n/]	[01* dtừ]\n- sự phản tác dụng, sự phản ứng lại\n[02= action and reaction] tác dụng và phản tác dụng\n- (lý) ; (hoá) phản ứng\n[02= catalytic reaction] phản ứng xúc tác\n- (chính trị) sự phản động\n- (qsự) sự phản công, sự đánh trả lại
reactionary [01/ri:'æk∫nəri/]	như [03reactionist]
reaction-coupled [01/ri:'æk∫n,kʌpld/]	[01* ttừ]\n- có phản ứng liên kết
reactionist [01/ri:'ækʃnist/]	[01* ttừ]\n- (chính trị) phản động\n[01* dtừ]\n- kẻ phản động
reactionless [01/ri:'æk∫nlis/]	[01* ttừ]\n- trơ; không phản ứng
reactivate [01/'ri:'æktiveit/]	[01* ngđtừ]\n- phục hồi sự hoạt động (của ai, vật gì)\n- (lý) ; (hoá) hoạt bát lại, phục hoạt
reactivation [01/ri,ækti'vei∫n/]	[01* dtừ]\n- sự tái kích hoạt
reactivator [01/ri:,ækti'veitə/]	[01* dtừ]\n- thiết bị tái kích hoạt
reactive [01/ri:'æktiv/]	[01* ttừ]\n- tác động trở lại, ảnh hưởng trở lại, phản ứng lại\n- (lý),(hoá) phản ứng\n- (chính trị) phản động
reactivity [01/ri:æk'tiviti/]	[01* dtừ]\n- khả năng phản ứng, tính phản ứng, độ phản ứng
reactor [01/ri:'æktə/]	[01* dtừ]\n- lò phản ứng\n[02= a muclear reactor] lò phản ứng hạt nhân
read [01/ri:d/]	[01* đtừ read]\n- đọc\n[02= to read aloud] đọc to\n[02= to read oneself hoarse] đọc khản cả tiếng\n[02= to read to oneself] đọc thầm\n[02= to read a piece of music] xướng âm một bản nhạc\n[02= this play reads better than it acts] vở kịch này đọc nghe hay hơn là đem diễn\n- học, nghiên cứu\n[02= to read law] học luật\n[02= to read for the examination] học để chuẩn bị thi\n- xem đoán\n[02= to read someone's hand] xem tướng tay cho ai\n[02= to read a dream] đoán mộng\n[02= to read someone's thoughts] đoán được ý nghĩ của ai\n[02= to read someone's futurity] đoán tương lai cho ai\n- ghi (số điện, nước tiêu thụ...)\n- chỉ\n[02= the speedometer reads seventy kilometres] đồng hồ tốc độ chỉ bảy mươi kilômét\n- hiểu, cho là\n[02= silence is not always to be read as consent] không nên cho rằng sự im lặng lúc nào cũng có nghĩa là đồng ý\n[02= it is intended to be read...] điều đó phải được hiểu là...\n[02= it may be read several ways] cái đó có thể hiểu nhiều cách\n- biết được (nhờ đọc sách báo...)\n[02= you must have read it in the newspapers] hẳn là anh phải biết điều đó qua báo chí rồi\n- viết, ghi\n[02= the passage quoted reads as follows] đoạn trích dẫn đó ghi như sau\n- đọc nghe như\n[02= the book reads like a novel] quyển sách đó đọc nghe như một cuốn tiểu thuyết\n[04! to read off]\n- biểu lộ, để lộ ra, biểu thị; thể hiện\n[02= his face doesn't read off] nét mặt anh ta không biểu lộ một cái gì\n- đọc thẳng một mạch, đọc trơn tru\n[04! to read on]\n- đọc tiếp\n[04! to read out]\n- đọc to\n- đọc từ đầu đến cuối\n[02= read over] đọc qua, xem qua\n- đọc hết, đọc từ đâu đến cuối\n- đọc lại\n[04! to read through]\n- đọc hết, đọc từ đầu cuối (cuốn sách...)\n[04! to read up]\n- nghiên cứu kỹ, học tập kỹ lưỡng\n[02= to read up for the examination] học tập kỹ lưỡng chuẩn bị cho kỳ thi\n[02= to read up on history] nghiên cứu lịch sử\n[04! to read between the lines]\n- tìm hiểu ẩn ý\n- đoán được ẩn ý, đoán được ý ngoài lời\n[04! to read oneself to sleep]\n- đọc sách để ngủ\n[04! to read someone at a glance]\n- nhìn thoáng cũng biết là người thế nào\n[04! to read someone like a book]\n- biết rõ ai, đi guốc vào bụng ai; biết rõ tìm đến của ai\n[04! to read someone a lesson]\n- xem [03lesson]\n[01* dtừ]\n- sự đọc (sách báo)\n- thời gian dành để đọc (sách báo)\n[02= to have a quiet read] có thời gian yên tĩnh để đọc\n[01* thời quá khứ & động tính từ quá khứ của] [03read]\n[01* ttừ]\n- có học thức thông thạo, thông thái, có đọc nhiều về, hiểu sâu về\n[02= deeply read in literature] hiểu sâu về văn học
readable [01/'ri:dəbl/]	[01* ttừ]\n- hay, đọc được (sách)\n- (hiếm) dễ đọc, viết rõ\n[02= readable handwriting] chữ viết dễ đọc
readdress [01/'ri:ə'dres/]	[01* ngđtừ]\n- thay địa chỉ, đề địa chỉ mới để chuyển tiếp (một bức thư vì người nhận thư đã đổi chỗ ở...) 
reader [01/'ri:də/]	[01* dtừ]\n- người đọc, độc giả\n- người mê đọc sách\n[02= to be a great reader] rất mê đọc sách; đọc sách rất nhiều\n- phó giáo sư (trường đại học)\n- (ngành in) người đọc và sửa bản in thử ((cũng) [03proot reader] )\n- (tôn giáo) người đọc kinh (trong nhà thờ)((cũng) [03lay reader] )\n- người đọc bản thảo (ở nhà xuất bản)((cũng) [03publisher's reader] )\n- tập văn tuyển\n- (lóng) sổ tay
readership [01/'ri:də∫ip/]	[01* dtừ]\n- địa vị phó giáo sư; chức phó giáo sư\n- số người đọc một tờ báo, tạp chí..., tập thể độc giả của một tờ báo, tạp chí...
readily [01/'redili/]	[01* phtừ]\n- sẵn sàng\n- vui lòng, sẵn lòng\n- dễ dàng, không khó khăn gì\n[02= these facts may be readily ascertained] những sự kiện này có thể được xác nhận một cách dễ dàng
readiness [01/'redinis/]	[01* dtừ]\n- sự sẵn sàng (làm việc gì)\n[02= have everything in readiness for departure] hây chuẩn bị sẵn sàng mọi thứ để đi\n[02= to be in readiness] sẵn sàng\n- sự sẵn lòng, thiện ý\n- sự lưu loát, sự nhanh nhẹn, sự lanh lợi\n[02= readiness of speech] sự ăn nói lưu loát\n[02= readiness of wit] sự nhanh trí
reading [01/'ri:diη/]	[01* dtừ]\n- sự đọc, sự xem (sách, báo...)\n[02= to be fond of reading] thích đọc sách\n[02= there's much reading in it] trong đó có nhiều cái đáng đọc\n- sự hiểu biết nhiều, sự uyên bác\n[02= a man of vast reading] một người hiểu biết rộng, một người đọc rộng\n- phiên họp để thông qua (một dự án tại hai viện ở Anh trước khi được nhà vua phê chuẩn)\n[02= first reading] phiên họp giới thiệu (dự án)\n[02= second reading] phiên họp thông qua đại cương (của dự án)\n[02= third reading] phiên họp thông qua chi tiết (của dự án đã được một tiểu ban bổ sung)\n- buổi đọc truyện; những đoạn truyện đọc trong buổi đọc truyện\n[02= reading form Dickens] những buổi đọc các tác phẩm của Đích-ken\n- sách đọc (tiểu thuyết, truyện, truyện ngắn, tập thơ...)\n[02= to get through a good deal of reading] đọc được nhiều sách\n- sự đoán; cách giải thích; ý kiến\n[02= the reading of a dream] sự đoán mộng\n[02= what is your reading of the facts?] ý kiến anh về các việc ấy như thế nào?\n- (sân khấu) cách diễn xuất, cách đóng (vai...) ; cách lột tả (lời văn của một nhân vật)\n- số ghi (trên đồng hồ điện...)\n[02= 15o difference between day and night readings] sự chênh lệch nhau 15 độ giữa số ghi trên cái đo nhiệt ban ngày và ban đêm
reading-book [01/'ri:diηbuk/]	[01* dtừ]\n- sách tập đọc
reading-desk [01/'ri:diηdesk/]	[01* dtừ]\n- bàn học\n- giá để kinh
reading-glass [01/'ri:diηglɑ:s/]	[01* dtừ]\n- kính lúp để đọc sách
reading-lamp [01/'ri:diηlæmp/]	[01* dtừ]\n- đèn có chao đèn ở bàn để đọc sách
reading-play [01/'ri:diηplei/]	[01* dtừ]\n- việc đọc vở kịch bởi một nhóm
reading-room [01/'ri:diηrum/]	[01* dtừ]\n- phòng đọc (trong thư viện câu lạc bộ...) 
readjourn [01/ri:ə'dʒə:n/]	[01* ngđtừ]\n- kéo dài (cuộc học) 
readjust [01/'ri:ə'dʒʌst/]	[01* ngđtừ]\n- điều chỉnh lại; sửa lại cho đúng\n- thích nghi lại (với môi trường cũ...) 
readjustment [01/'ri:ə'dʒʌstmənt/]	[01* dtừ]\n- sự điều chỉnh lại; sự sửa lại cho đúng\n- sự thích nghi lại
readme	- tệp cần đọc trong một bộ phần mềm mới
readmission [01/'ri:əd'mi∫n/]	[01* dtừ]\n- sự để cho (ai) vào lại (nơi nào)\n- sự nhận lại, sự kết nạp lại
readmit [01/'ri:əd'mit/]	[01* ngđtừ]\n- để cho (ai) vào lại (nơi nào)\n- nhận lại, kết nạp lại
readmittance [01/,ri:əd'mitəns/]	[01* dtừ]\n- sự được nhập lại, sự được vào lại
readopt [01/,ri:ə'dɔpt/]	[01* ngđtừ]\n- lại chấp nhận\n- lại nhận làm con nuôi, lại nhận làm người thừa tự
readorn [01/,ri:ə'dɔ:n/]	[01* ngđtừ]\n- trang sức lại, tô điểm lại
read-out	[01* dtừ]\n- kết quản đọc được; số liệu đưa ra\n- sự chỉ thị (khí cụ đo)\n- sự chọn tin
ready [01/'redi/]	[01* ttừ]\n- sẵn sàng\n[02= dinner is ready] cơm nước đã sẵn sàng\n[02= to be ready to go anywhere] sẵn sàng đi bất cứ đâu\n[02= ready! go!] (thể thao) sẵn sàng! chạy!\n[02= ready, present, fire!] chuẩn bị, ngắm, bắn!\n- sẵn lòng\n[02= he is ready to help you] anh ta sẵn lòng giúp anh\n- để sẵn\n[02= to keep a revolver ready] để sẵn một khẩu súng lục\n- cố ý, cú; có khuynh hướng\n[02= don't be so ready to find fault] đừng cố ý bắt bẻ như thế\n- sắp, sắp sửa\n[02= now ready] sắp sửa xuất bản (sách)\n[02= a bud just ready to brust] nụ hoa sắp nở\n- có sẵn, mặt (tiền)\n[02= ready money] tiền có sẵn (trong tay) ; tiền mặt\n[02= to pay ready money] trả tiền mặt\n- nhanh, mau, ngay tức khắc; lưu loát\n[02= a ready retort] câu đối đáp nhanh\n[02= to have a ready wit] nhanh trí\n[02= to have a ready pen] viết lưu loát\n- dễ dàng\n[02= goods that meet with a ready sale] những hàng bán rất dễ dàng nhất\n- ở gần, đúng tầm tay\n[02= the readiest weapont] cái vũ khí ở gần tay nhất\n[02= ready at hand; ready to hand] ở ngay gần, vừa đúng tầm tay\n[04! to be always ready with an excuse]\n- luôn luôn có lý do để bào chữa\n[01* phtừ]\n- sẵn, sẵn sàng\n[02= pack everything ready] hây sắp xếp mọi thứ vào va li\n[02= ready dressed] đã mặc quần áo sẵn sàng\n- nhanh (chỉ dùng cấp so sánh)\n[02= the child that answers readiest] đứa bé trả lời nhanh nhất\n[01* dtừ]\n- (qsự) tư thế sẵn sàng bắn (của súng)\n[02= to come to the ready] giương súng ở tư thế sẵn sàng bắn\n[02= guns at the ready] những khẩu pháo ngóc lên sẵn sàng nhả đạn\n- (lóng) tiền mặt\n[01* ngđtừ]\n- chuẩn bị sẵn sàng, sửa soạn\n- (lóng) trả bằng tiền mặt
ready reckoner [01/'redi'reknə/]	như [03ready-reckone]
ready-for-service [01/'redifə'sə:vis/]	[01* ttừ]\n- làm sẵn; may sẵn (quần áo)\n[02= ready-made clothes] quần áo may sẵn\n[02= ready-made shop] hiệu quần áo may sẵn
ready-made [01/'redi'meid/]	như [03realize]
ready-money [01/'redi,mʌni/]	[01* dtừ]\n- tiền có ngay
ready-reckone [01/'redi reknə/]	[01* dtừ]\n- (toán) bảng tính sẵn
ready-to-cook [01/'reditə'kuk/]	[01* ttừ]\n- làm sẵn chỉ có việc đem ra xào nấu (đồ ăn) 
ready-to-serve [01/'reditə'sə:v/]	[01* ttừ]\n- đã nấu sẵn (thức ăn) 
ready-to-wear [01/'reditə'weə/]	[01* ttừ]\n- làm sẵn; may sẵn (quần áo) 
ready-witted [01/'redi'witid/]	[01* ttừ]\n- nhanh trí
reaffirm [01/'ri:ə'fə:m/]	[01* ngđtừ]\n- xác nhận một lần nữa
reaffirmation [01/'ri:,æfə:'mei∫n/]	[01* dtừ]\n- sự xác nhận một lần nữa\n- lời xác nhận một lần nữa
reafforest [01/'ri:ə'fɔrist/]	[01* ngđtừ]\n- trồng cây gây rừng
reafforestation [01/'ri:ə,fɔris'tei∫n/]	[01* dtừ]\n- sự trồng cây gây rừng lại
reagency [01/,ri'eidʒənsi/]	[01* dtừ]\n- lực phản ứng, tác dụng phản ứng
reagent [01/ri:'eidʒənt/]	[01* dtừ]\n- (hóa) thuốc thử\n- chất phản ứng
real [01/riəl/]	[01* ttừ]\n- thực, thực tế, có thực\n- thật (không phải giả, không phải nhân tạo)\n- chân chính, đúng, xứng đáng với tên gọi\n- <pháp> bất động\n[01* dtừ]\n- thực tế
real ale [01/,riəl'eil/]	[01* dtừ]\n- bia được sản xuất theo lối cổ truyền
real estate	[01* dtừ]\n- tài sản cố định gồm có nhà và đất; bất động sản (cũng) [03realty; real property] ; sự kinh doanh bất động sản
real number [01/'riəl,nʌmbə/]	[01* dtừ]\n-(toán) số thực
real presence [01/'riəl,prezəns/]	[01* dtừ]\n- lý thuyết cho rằng máu và thịt Chúa Jesu có thực trong bánh và rượu thánh
real property [01/,riəl'prɔpəti/]	[01* dtừ]\n- tài sản thực tế (ruộng đất, nhà ở) 
real tennis [01/,riəl'tennis/]	[01* dtừ]\n- quần vợt xưa (chơi ở sần trong nhà) 
real time [01/,riəl'taim/]	[01* dtừ]\n-(thời gian hữu dụng) thời hạn; tốc độ xử lý của máy tính (thời gian thực tế để xử lý thông tin) 
real wages [01/'riəl weidʒiz/]	- (ktế) Tiền lương thực tế.
realgar [01/ri'ælgə/]	[01* dtừ]\n- (khoáng vật học) rêanga; hùng hoàng
realia [01/ri'a:liə/]	[01* dtừ] s/n\n- những vật, hoạt động để nối liền nhà trường với thực tế
realign [01/ri:ə'lain/]	[01* ngđtừ]\n- tổ chức lại/ tập hợp lại
realignment [01/ri:ə'lainmənt/]	[01* dtừ]\n- sự tổ chức lại, sự tập hợp lại
realisation [01/,riəlai'zeiʃn/]	[01* dtừ]\n- như [03realization] 
realise [01/'riəlaiz/]	[01* ngđtừ]\n- thực hiện, thực hành (kế hoạch hy vọng...)\n- thấy rõ, hiểu rõ, nhận thức rõ (việc gì...)\n- bán được, thu được
realism [01/'riəlizm/]	[01* dtừ]\n- chủ nghĩa hiện thực\n- (triết học) thuyết duy thực
realist [01/'riəlist/]	[01* dtừ]\n- người theo thuyết duy thực\n- người có óc thực tế\n[01* ttừ]\n- (như) [03realistic] 
realistic [01/riə'listik/]	[01* ttừ]\n- (văn học) hiện thực\n- (triết học) theo thuyết duy thực\n- có óc thực tế
reality [01/ri:'æliti/]	[01* dtừ]\n- sự thực, thực tế, thực tại; sự vật có thực\n[02= hope becomes a reality by] hy vọng trở thành sự thực\n[02= in reality] thật ra, kỳ thực, trên thực tế\n- tính chất chính xác, tính chất xác thực, tính chất đúng (như nguyên bản)\n[02= reproduced with startling reality] được sao chép lại với một sự chính xác kỳ lạ
realizability	- tính thực hiện được\n- recursive r. tính thực hiện được đệ quy
realizable [01/'riəlaizəbl/]	[01* ttừ]\n- có thể thực hiện được\n- có thể hiểu được, có thể nhận thức được
realization [01/,riəlai'zei∫n/]	[01* dtừ]\n- sự thực hiện, sự thực hành\n[02= the realization of one's hopes] sự thực hiện những hy vọng của mình\n- sự thấy rõ, sự hiểu rõ, sự nhận thức rõ\n- sự bán (tài sản, cổ phần...) 
realize [01/'riəlaiz/]	[01* ngđtừ]\n- thực hiện, thực hành (kế hoạch hy vọng...)\n- thấy rõ, hiểu rõ, nhận thức rõ (việc gì...)\n- tả đúng như thật; hình dung (việc gì...) đúng như thật\n[02= these details help to realize the scene] những chi tiết ấy giúp cho việc mô tả cảnh đó đúng như thật\n- bán được, thu được\n[02= to realize high prices] bán được giá cao\n[02= to realize a profit] thu được lãi
really [01/'riəli/]	[01* phtừ]\n- thực, thật, thực ra\n[02= what do you really think about it?] thực ra thì anh nghĩ như thế nào về việc ấy\n[02= it is really my fault] thực ra đó là lỗi của tôi\n[02= is it really true?] có đúng thật không?\n[02= really?] thật không?\n[02= not really!] không thật à!
realm [01/relm/]	[01* dtừ]\n- vương quốc\n- (bóng) lĩnh vực, địa hạt\n[02= the realm of imagination] lĩnh vực tưởng tượng
realness [01/'ri:ənis/]	[01* dtừ]\n- tính thực tế; thực tại
realpolitik [01/,reiæl'poulitik/]	[01* dtừ]\n- chính sách thực dụng (để cho một quốc gia thành công nhanh chóng) 
realtor [01/'riəltə/]	[01* dtừ]\n-(Mỹ) như [03estate-agent]
realty [01/'riəlti/]	[01* dtừ]\n- bất động sản
ream [01/ri:m/]	[01* dtừ]\n- ram giấy\n- (tục),((thường) số nhiều) rất nhiều giấy, hàng tập\n[02= to write reams to someone] viết cho ai rất nhiều thư\n[02= reams and reams of verse] hàng tập thơ\n[01* ngđtừ]\n- (kỹ) khoan rộng thêm, khoét rộng thêm\n- đập bẹt cạnh, bẻ cạnh xuống (vỏ đạn...)\n- đục rộng (đường nối...) để xảm (thuyền, tàu) 
reamer [01/'ri:mə/]	[01* dtừ]\n- (kỹ) dao khoét, mũi dao\n- (hàng hải) cái đục để xảm thuyền tàu
reamimate [01/ri'ænimeit/]	[01* ngđtừ]\n- làm nhộn nhịp lại, làm náo nhiệt lại\n- làm vui tươi lại, làm phấn khởi lại
reamimation [01/ri:æni'mei∫n/]	[01* dtừ]\n- (sinh vật) sự tái hoạt động, sự hoạt động trở lại
reamrkable	- đáng chú ý
reanimate [01/ri'ænimeit/]	- (ngđtừ) làm nhộn nhịp lại, làm náo nhiệt lại; làm vui tươi lại, làm phấn khởi lại
reannex [01/,ri:ə'neks/]	[01* ngđtừ]\n- sáp nhập trở lại
reap [01/ri:p/]	[01* đtừ]\n- gặt (lúa...)\n- thu về, thu hoạch, hưởng\n[02= to reap laurels] công thành danh toại, thắng trận\n[02= to reap profit] thu lợi; hưởng lợi\n[04! sow the wind and reap the whirlwind]\n- xem [03sow]\n[04! to reap where one has not sown]\n- không làm mà hưởng; ngồi mát ăn bát vàng\n[04! we reap as we sow]\n- gieo gì gặt nấy; ở hiền gặp lành, ở ác gặp ác
reaper [01/'ri:pə/]	[01* dtừ]\n- người gặt\n- máy gặt\n- (văn học)(the Reaper) thần chết
reaper and binder [01/'ri:pə ən 'naində/]	như [03self-binder]
reaping [01/'ri:piη/]	[01* dtừ]\n- sự gặt hái\n- mùa gặt, mùa thu hoạch
reaping-hook [01/'ri:piη,huk/]	[01* dtừ]\n- cái liềm, cái hái
reaping-machine [01/'ri:piηmə,∫i:n/]	[01* dtừ]\n- máy gặt
reapparel [01/'ri:ə'pærəl/]	như [03re-apparel]
re-apparel [01/'ri:ə'pærəl/]	[01* ngđtừ]\n- mặc quần áo lại cho (ai)\n- trang điểm lại cho (ai) 
reappear [01/'ri:ə'piə/]	[01* nđtừ]\n- lại xuất hiện, lại hiện ra
reappearance [01/'ri:ə'piərəns/]	[01* dtừ]\n- sự lại xuất hiện, sự lại hiện ra\n- (sân khấu) sự lại trở ra (của một diễn viên) 
reapplication [01/,riæpli'kei∫n/]	[01* dtừ]\n- sự áp dụng lại, sự ứng dụng lại
reappoint [01/'ri:ə'pɔint/]	[01* ngđtừ]\n- phục hồi chức vị
reappointment [01/'ri:ə'pɔintmənt/]	[01* dtừ]\n- sự phục hồi chức vị
reappraisal [01/'ri:ə'preizəl/]	[01* dtừ]\n- sự nhận định mới, sự nhận định lần thứ hai, sự đánh giá lại
rear [01/riə/]	[01* dtừ]\n- bộ phận đằng sau, phía sau\n[02= the garden is at the rear of the house] khu vườn ở đằng sau nhà\n- (qsự) hậu phương (đối với tiền tuyến)\n- (qsự) hậu quân\n[02= to bring (close up the rear] đi ở đoạn cuối, đi cuối cùng\n[02= to take (attack) the enemy in the rear] tấn công phía sau lưng địch\n[02= to hang on the rear of the enemy] bám sát địch\n[02= to hang on the rear of enemy] bám sát địch\n- đoạn đuôi, đoạn cuối (đám rước...)\n- (tục) nhà xí, cầu tiêu\n[01* ttừ]\n- ở đằng sau, ở phía sau, ở cuối\n[02= rear wheel] bánh sau\n[02= rear waggons] những toa cuối\n[01* ngđtừ]\n- ngẩng lên, đưa lên; lên (giọng)\n[02= to rear one's head] ngẩng đầu lên\n[02= to rear a hand] giơ tay, đưa tay lên\n[02= to rear one's voice] lên giọng\n- dựng, xây dựng\n[02= to rear a statue] dựng một bức tượng\n- nuôi, nuôi nấng, nuôi dạy\n[02= to rear children] nuôi dạy con\n- nuôi, chăn nuôi; trồng\n[02= to rear cattle] nuôi trâu bò\n[02= to rear plants] trồng cây\n[01* nđtừ]\n- lồng lên, chồm lên, dựng lên (ngựa...)\n- ((thường) +[02up]) giận dữ đứng dậy\n- nhô cao lên (đỉnh núi) 
rear-admiral [01/'riə'ædmərəl/]	[01* dtừ]\n- (qsự) thiếu tướng hải quân
rear-engined [01/'riə,endʒind/]	[01* ttừ]\n- có động cơ đặt ở cuối
rearer [01/'riərə/]	[01* dtừ]\n- người chăn nuôi, người trồng trọt\n- máy ấp trứng\n- con ngựa có thói hay chồm dựng lên
rearguard [01/'riəgɑ:d/]	[01* dtừ]\n- (qsự) đạo quân hậu tập\n[02= rearguard action] cuộc giao tranh giữa đạo quân hậu tập với quân địch
re-argue [01/ri'a:gju:/]	[01* ngđtừ]\n- lại biện luận lần nữa
