head-work [01/'hedwə:k/]	như [03headwork]
heart [01/hɑ:t/]	[01* dtừ]\n- (phẫu) tim\n- lồng ngực\n[02= to draw somebody to one's heart] kéo ai vào lòng\n- trái tim, lòng, tấm lòng, tâm can, tâm hồn\n[02= a kind heart] lòng tốt\n[02= a hard heart] lòng nhẫn tâm sắt đá\n[02= a heavy heart] lòng nặng trĩu đau buồn\n[02= a false heart] lòng giả dối, lòng phản trắc\n[02= a heart of gold] tấm lòng vàng\n[02= to touch (move) someone's heart] làm mủi lòng ai\n[02= after one's heart] hợp với lòng (ý) mình\n[02= at heart] tận đáy lòng\n[02= from the bottom of one's heart] tự đáy lòng\n[02= in one's heart of hearts] trong thâm tâm\n[02= with all one's heart] hết lòng, với tất cả tâm hồn\n- tình, cảm tình, tình yêu thương\n[02= to have no heart] không có tình, sắt đá, nhẫn tâm\n[02= to win (gain) someone's heart] tranh thủ được cảm tình của ai, chiếm được tình yêu của ai\n[02= to give (lose) one's heart to somebody] yêu ai, phải lòng ai\n- lòng can đảm, dũng khí; sự nhiệt tâm, sự hăng hái phấn khởi\n[02= to take heart] can đảm, hăng hái lên\n[02= to lose heart] mất hết can đảm, mất hết hăng hái\n[02= to be out of heart] chán nản, thất vọng\n[02= to be in (good) heart] hăng hái, phấn khởi\n- người yêu quí, người thân yêu (tiếng xưng hô âu yếm)\n[02= dear heart] em (anh) yêu quý\n[02= my hearts] (hàng hải) những anh bạn dũng cảm của tôi\n- giữa, trung tâm\n[02= in the heart of summer] vào giữa mùa hè\n[02= in the heart of Africa] ở giữa Châu phi\n- ruột, lõi, tâm\n[02= heart of a head of cabbage] ruột bắp cải\n- điểm chính, điểm chủ yếu, điểm mấu chốt; phần tinh tuý; thực chất\n[02= the heart of the matter] điểm mấu chốt của vấn đề; thực chất của vấn đề\n- sự màu mỡ (đất)\n[02= to keep land in good heart] giữ cho đất màu mỡ\n[02= out of heart] hết màu mỡ\n- (đánh bài),(số nhiều) "cơ", (số ít) lá bài "cơ"\n[02= queen of hearts] Q "cơ"\n- vật hình tim\n[04! to be sick at heart]\n- đau buồn, buồn phiền; não lòng, ngao ngán\n- (nói trại) buồn nôn\n[04! to be the heart and soul of]\n- (bóng) là linh hồn của (một tổ chức...)\n[04! to break someone's heart]\n- xem [03break]\n[04! by heart]\n- thuộc lòng, nhập tâm\n[02= to learn by heart] học thuộc lòng\n[02= to have something by heart] nhớ nhập tâm cái gì\n[04! to cheer (delight, gladden, rejoice, warm) the cockles of someone's heart]\n- làm cho ai vui sướng, làm cho ai phấn khởi\n[04! to come (go) home to somebody's heart]\n[04! to go to somebody's heart]\n- làm ai mũi lòng, làm ai thấm thía đến tận tâm can\n[04! to cry (sob, weep) one's heart out]\n- khóc lóc thảm thiết\n[04! to cut (touch) somebody to the heart]\n- làm ai đau lòng, chạm đến tâm can ai\n[04! to do someone's heart good]\n- làm ai vui sướng\n[04! to devour one's heart]\n[04! to eat one's heart out]\n- đau đớn âm thầm, héo hon mòn mỏi đi vì sầu khổ\n[04! to find (it) in one's heart to do something]\n- cảm thấy, thích làm gì; tự bắt mình phải làm gì, quyết tâm làm gì ((thường) phủ định)\n[04! to have a soft (warm) spot in one's heart for somebody]\n- có cảm tình với ai\n[04! to have one's heart in (sank into) one's boot (shoes)]\n[04! to have one's heart in (leaped into) one's mouth (throat)]\n- sợ hết hồn, sợ chết khiếp\n[04! to have one's heart in one's work]\n- làm việc hăng hái hết lòng\n[04! to have something at heart]\n- thiết tha với cái gì, hết sức quan tâm tới cái gì\n[04! to have the heart to do something]\n- có đủ can đảm làm gì\n- có đủ nhẫn tâm làm gì\n[04! not to have a heart to do something]\n- không nỡ lòng nào làm cái gì\n- không đủ can đảm (không dám) làm cái gì\n[04! have a heart!]\n- (lóng) hãy rủ lòng thương!\n[04! to have one's heart in the right place]\n[04! one's heart is (lies) in the right place]\n- tốt bụng, có ý tốt, có thiện ý\n[04! (with) heart and hand]\n- hết sức nhiệt tình, với tất cả nhiệt tâm\n[04! heart and soul]\n[04! with all one's heart and soul]\n- với tất cả tâm hồn, hết lòng, hết sức thiết tha\n[04! in the inmost (secret) recesses of the heart]\n[04! to keep up heart]\n- giữ vững tinh thần, không chán nản, không thất vọng\n[04! to lay one's heart bare to somebody]\n- thổ lộ nỗi lòng của ai\n[04! to lay something to heart]\n- để tâm suy nghĩ kỹ cái gì\n[04! to lie (heavy) at someone's heart]\n[04! to weigh upon somebody's heart]\n- đè nặng lên lòng ai\n[04! to open (uncover, pour out) one's heart to somebody]\n- thổ lộ tâm tình với ai\n[04! searching of heart]\n- xem [03searching]\n[04! to take something to heart]\n- để tâm làm cái gì; quá lo lắng buồn phiền về việc gì\n[04! to take heart of grace]\n- lấy can đảm, can đảm lên, hăng lên\n[04! to take the heart out of somebody]\n[04! to put somebody out of heart]\n- làm cho ai chán nản thất vọng\n[04! to wear one's heart upon one's sleeve]\n- ruột để ngoài da
heart attack [01/'hɑ:tə'tæk/]	[01* dtừ]\n- cơn đau tim
heart disease [01/'hɑ:tdi'zi:z/]	[01* dtừ]\n- bệnh tim
heart failure [01/'hɑ:t'feiljə/]	[01* dtừ]\n- (y) chứng liệt tim
heart urchin [01/'ha:t,ə:t∫in/]	[01* dtừ]\n- loại nhím biển
heartache [01/'hɑ:teik/]	[01* dtừ]\n- nỗi đau buồn, mối đau khổ
heartbeat [01/'hɑ:tbi:t/]	[01* dtừ]\n- nhịp đập của tim\n- (bóng) sự xúc động, sự bồi hồi cảm động
heart-blood [01/'hɑ:tblʌd/]	[01* dtừ]\n- máu, huyết\n- sự sống, sức sống
heart-break [01/'hɑ:tbreik/]	[01* dtừ]\n- nỗi đau buồn xé ruột
heart-breaking [01/'hɑ:t,breikiη/]	[01* ttừ]\n- làm đau buồn, làm đau lòng, xé ruột\n[02= a heart-breaking news] một tin rất đau buồn
heart-broken [01/'hɑ:t,broukən/]	[01* ttừ]\n- rất đau buồn, đau khổ
heartburn [01/'hɑ:tbə:n/]	[01* dtừ]\n- (y) chứng ợ nóng
heart-burning [01/'hɑ:t,bəniη/]	[01* dtừ]\n- sự ghen tuông, sự ghen tức\n- sự hằn học, sự hiềm oán; sự thù oán
heart-disease [01/'hɑ:tdi'zi:z/]	như [03heart disease]
hearten [01/'hɑ:tn/]	[01* ngđtừ]\n- ((thường) +[02up]) cổ vũ, động viên, làm cho phấn khởi\n[02= a heartening news] một tin tức rất phấn khởi\n[01* nđtừ]\n- to hearten up phấn khởi lên
heartening [01/'hɑ:təniη/]	[01* ttừ]\n- cổ vũ, khích lệ, phấn khích
hearteningly [01/'hɑ:təniηli/]	[01* phtừ]\n- cổ vũ, khích lệ, phấn khích
heartfelt [01/'hɑ:tfelt/]	[01* ttừ]\n- chân thành, thành tâm\n[02= heartfelt condolences] lời chia buồn chân thành\n[02= heartfelt sympathy] sự thông cảm chân thành\n[02= heartfelt gratitude] lòng biết ơn chân thành
heart-free [01/'hɑ:tfri:/]	[01* ttừ]\n- chưa yêu ai; không yêu ai; lòng không vương vấn tình yêu ((cũng) [03heart-whole] ) 
hearth [01/hɑ:θ/]	[01* dtừ]\n- nền lò sưởi, lòng lò sưởi\n- khoảng lát (đá, xi măng, gạch...) trước lò sưởi\n- (kỹ) đáy lò, lòng lò (lò luyện kim...)\n- gia đình, tổ ấm
hearthrob [01/ha:tθrɔb/]	[01* dtừ]\n- nhịp đập của tim\n- tình cảm ủy mị; sự xúc cảm, sự say mê\n- người dễ xúc động
hearth-rug [01/'hɑ:θrʌg/]	[01* dtừ]\n- thảm trải trước lò sưởi
hearthstone [01/'hɑ:θstoun/]	[01* dtừ]\n- đá lát lò sưởi\n- bột lau lò sưởi
heartily [01/'hɑ:tili/]	[01* phtừ]\n- vui vẻ, thân mật, nồng nhiệt\n[02= to welcome heartily] tiếp đón nồng nhiệt\n- thành thật, chân thành, thật tâm, thật lòng\n- khoẻ; ngon lành (ăn uống)\n- rất, hoàn toàn, hết sức; thật sự\n[02= I am heartily sick of it] tôi thật sự chán ngấy cái đó rồi
heartiness [01/'hɑ:tinis/]	[01* dtừ]\n- sự vui vẻ, sự thân mật, sự nồng nhiệt\n- sự thành thật, sự chân thành, sự thật tâm, sự thật lòng\n- sự mạnh khoẻ, sự cường tráng, sự tráng kiện
heartland [01/'hɑ:tlænd/]	[01* dtừ]\n- khu trung tâm
heartless [01/'hɑ:tlis/]	[01* ttừ]\n- vô tình, không có tình\n- nhẫn tâm; ác
heartlessly [01/'hɑ:tlisli/]	[01* phtừ]\n- vô tâm, nhẫn tâm
heartlessness [01/'hɑ:tlisnis/]	[01* dtừ]\n- sự vô tâm, sự nhẫn tâm
heart-lung machine [01/'hɑ:tlʌηmə'∫i:n/]	[01* dtừ]\n- tim phổi nhân tạo
heart-rending [01/'hɑ:t,rendiη/]	[01* ttừ]\n- đau lòng, nâo lòng, thương tâm, xé ruột\n[02= heart-rending powerty] cảnh nghèo khổ não lòng\n[02= a heart-rending cry] tiếng kêu xé ruột
heart's ease [01/'hɑ:ts'i:z/]	[01* dtừ]\n- (thực vật) cây hoa bướm dại\n- (Mỹ) sự thư thái của tâm hồn, sự thanh thản của tâm hồn
heart-searching [01/'hɑ:t,sə:t∫iη/]	[01* dtừ]\n- sự cân nhắc chín chắn
hearts-ease [01/'hɑ:ts'i:z/]	như [03heart's ease]
heartsick [01/'hɑ:tsik/]	như [03disappointed]
heartsore [01/'hɑ:tsɔ:/]	[01* ttừ]\n- đau lòng, đau buồn
heart-strings [01/'hɑ:tstriηz/]	[01* dtừ]\n- (bóng) những tình cảm sâu sắc nhất; những xúc động sâu xa nhất\n[02= to pull at someone's heart-strings] kích động những tình cảm sâu sắc nhất của ai, làm cho ai hết sức cảm động
heart-throb [01/'hɑ:tθrɔb/]	[01* dtừ]\n- người tình, người yêu
heart-to-heart [01/'hɑ:tə'hɑ:t/]	[01* ttừ]\n- thành thật, chân tình\n[02= heart-to-heart talk] chuyện thành thật, chuyện chân tình
heart-ware [01/'hi:tweiv/]	[01* dtừ]\n- (lý) sóng nhiệt\n- đợt nóng
heart-warming [01/'hɑ:t,wɔ:miη/]	[01* ttừ]\n- ấm lòng, chân tình
heart-whole [01/'hɑ:thoul/]	[01* ttừ]\n- (như) [03heart-free]\n- thành thật, chân thật, thật tâm\n- can đảm, dũng cảm, không sợ hãi, không khiếp sợ
hearty [01/'hɑ:ti/]	[01* ttừ]\n- vui vẻ, thân mật, nồng nhiệt\n[02= a hearty welcome] sự tiếp đón nồng nhiệt\n- thành thật, chân thật, thật tâm; thật lòng\n[02= hearty support] sự ủng hộ thật tâm\n- mạnh khoẻ, cường tráng, tráng kiện\n[02= to be hale and hearty] còn khoẻ mạnh tráng kiện\n- thịnh soạn, hậu hĩ (bữa ăn)\n- ăn uống khoẻ, ăn uống ngon lành (người ăn, người uống)\n[01* dtừ]\n- (Mỹ) người táo bạo dũng cảm\n- (hàng hải) my hearties! các bạn thuỷ thủ\n-(ngôn ngữ nhà trường),(lóng) vận động viên
heat [01/hi:t/]	[01* dtừ]\n- hơi nóng, sức nóng; sự nóng\n- (lý) nhiệt\n[02= internal heat] nội nhiệt\n[02= latent heat] ẩn nhiệt\n[02= specific heat] tỷ nhiệt\n[02= heat of evaporation] nhiệt bay hơi\n[02= heat of fashion] nhiệt nóng chảy\n- sự nóng bức, sự nóng nực\n- trạng thái bừng bừng (của cơ thể) ; trạng thái viêm tấy\n- vị cay (ớt...)\n- sự nóng chảy, sự giận dữ\n[02= to get into a state of fearful heat] nổi giận đùng đùng; nóng nảy đáng sợ\n- sự nổi nóng, sự nồng nhiệt, sự hăng hái\n[02= the heat of youth] sự sôi nổi của tuổi trẻ\n- sự động đực\n[02= on (in, at) heat] động đực\n- sự cố gắng một mạch, sự làm một mạch\n[02= at a heat] làm một mạch\n- (thể thao) cuộc đấu, cuộc đua\n[02= trial heats] cuộc đấu loại\n[02= final heat] cuộc đấu chung kết\n- (kỹ) sự nung\n- (Mỹ),(lóng) sự tăng cường thi hành luật pháp; sự tăng cường điều tra; sự thúc ép, sự cưỡng ép\n[01* ngđtừ]\n- đốt nóng, nung nóng; làm nóng, làm bừng bừng\n[02= to heat up some water] đun nước\n[02= to heat oneself] làm cho người nóng bừng bừng\n- làm nổi giận; làm nổi nóng\n- kích thích, kích động; làm sôi nổi lên\n- (kỹ) nung\n[01* nđtừ] ((thường) +[02up])\n- nóng lên, trở nên nóng\n- nổi nóng, nổi giận\n- sôi nổi lên
heat barrier [01/'hi:t,bæriə/]	[01* dtừ]\n- giới hạn về vận tốc máy bay (do nhiệt sinh ra vì ma sát với không khí) 
heat capacity [01/'hi:tkə'pæsiti/]	[01* dtừ]\n- (lý) nhiệt dung; tỷ nhiệt\n[02= atomic heat_capacity] tỷ nhiệt nguyên tử\n[02= molecular heat_capacity] tỷ nhiệt phân tử
heat exchange [01/'hi:t,eks't∫eindʒ/]	[01* dtừ]\n- sự chuyển nhiệt
heat exchanger [01/'hi:t,eks't∫eindʒə/]	[01* dtừ]\n- bộ phận chuyển nhiệt
heat pump [01/'hi:tpʌmp/]	[01* dtừ]\n- máy bơm nhiệt (để sưởi ấm hoặc làm mát một toà nhà) 
heat rash [01/'hi:t'ræ∫/]	[01* dtừ]\n- <y> rôm sảy
heat shield [01/'hi:t∫i:ld/]	[01* dtừ]\n- thiết bị giúp tàu vũ trụ chịu nhiệt khi vào khí quyển
heat sink [01/'hi:t,siηk/]	[01* dtừ]\n- phương tiện tản nhiệt (của máy điện tử) 
heat-conductivity [01/'hi:t,kɔndʌk'tiviti/]	[01* dtừ]\n- dẫn nhiệt
heated [01/'hi:tid/]	[01* ttừ]\n- được đốt nóng, được đun nóng\n- giận dữ, nóng nảy\n[02= to get heated] nổi nóng\n- sôi nổi\n[02= a heated discussion] cuộc thảo luận sôi nổi
heatedly [01/'hi:tidli/]	[01* phtừ]\n- giận dữ, nóng nảy\n- sôi nổi
heat-engine [01/'hi:t,endʒin/]	[01* dtừ]\n- động cơ nhiệt
heater [01/'hi:tə/]	[01* dtừ]\n- bếp lò, lò (để sưởi, đun nước, hâm thức ăn...)\n- (Mỹ),(lóng) súng lục
heat-exhaustion [01/'hi:tig'zɔ:t∫n/]	như [03heat-prostration]
heath [01/hi:θ/]	[01* dtừ]\n- bãi hoang, bãi thạch nam\n- (thực vật) giống cây thạch nam, giống cây erica
heath robinson [01/'hi:đ 'rɔbinsən/]	[01* ttừ]\n- (kỹ) phức tạp và chưa hẳn hoạt động tốt
heathen [01/'hi:đən/]	[01* dtừ]\n- người ngoại đạo (đối với người theo đạo Do-thái, Cơ-ddốc hay đạo Hồi)\n[02= the heathen] những người ngoại đạo\n- người không văn minh; người dốt nát\n[01* ttừ]\n- ngoại đạo\n- không văn minh; dốt nát
heathendom [01/'hi:đəndəm/]	[01* dtừ] ((cũng) [03heathenry] )\n- tà giáo\n- giới ngoại đạo
heathenise [01/'hi:đənaiz/]	như [03heathenize]
heathenish [01/'hi:đəni∫/]	[01* ttừ]\n- ngoại đạo\n- không văn minh; dốt nát
heathenism [01/'hi:đənizm/]	[01* dtừ]\n- tà giáo\n- sự không văn minh; sự dốt nát ((cũng) [03heathenry] ) 
heathenize [01/'hi:đənaiz/]	[01* ngđtừ]\n- làm thành ngoại đạo\n[01* nđtừ]\n- trở thành ngoại đạo
heathenry [01/'hi:đənri/]	[01* dtừ]\n- (như) [03heathendom]\n- sự không văn minh; sự dốt nát ((cũng) [03heathenism] ) 
heather [01/'heđə/]	[01* dtừ]\n- (thực vật) cây thạch nam\n[04! to take to the heather]\n- (Ê-cốt) trở thành kẻ sống ngoài vòng pháp luật; trốn vào rừng làm nghề ăn cướp
heathery [01/'heđəri/]	[01* ttừ]\n- phủ đầy cây thạch nam
heathland [01/'hi:θlənd/]	[01* dtừ]\n- vùng có cây thạch nam
heathy [01/'hi:θi/]	[01* ttừ]\n- có nhiều bãi thạch nam\n- phủ đầy cây thạch nam
heating [01/'hi:tiη/]	[01* dtừ]\n- sự đốt nóng, sự đun nóng; sự làm nóng\n- (kỹ),(lý) sự nung; sự nóng lên\n[02= electrice heating] sự nung điện\n[02= collisional heating] sự nóng lên do va chạm
heating value [01/'hi:tiη,vælju:/]	[01* dtừ]\n- khả năng toả nhiệt
heatproof [01/'hi:tpru:f/]	như [03thermostable]
heat-prostration [01/'hi:tprɔs'trei∫n/]	[01* dtừ]\n- sự say sóng; sự lả đi vì nóng
heat-radiating [01/'hi:t'reidieitiη/]	[01* ttừ]\n- phát nhiệt, bức xạ nhiệt
heat-resistant [01/'hi:tri'zistənt/]	như [03thermostable]
heat-resisting [01/'hi:tri'zistiɳ/]	như [03thermostable]
heat-spot [01/'hi:tspɔt/]	[01* dtừ]\n- tàn nhang (trên mặt...)\n- chỗ da sờ thấy nóng
heat-stroke [01/'hi:tstrouk/]	như [03heat-prostration]
heat-treat [01/'hi:ttri:t/]	[01* ngđtừ]\n- (kỹ) nhiệt luyện
heat-treatment [01/'hi:t,tri:tmənt/]	[01* dtừ]\n- (kỹ) sự nhiệt luyện
heatware [01/'hi:tweiv/]	- xem [03heat-ware] 
heat-ware [01/'hi:tweiv/]	[01* dtừ]\n-(lý) sóng nhiệt; đợt nóng
heat-wave [01/'hi:tweiv/]	[01* dtừ]\n- <lý> sóng nhiệt\n- đợt nóng
heave [01/hi:v/]	[01* dtừ]\n- sự cố nhấc lên, sự cố kéo\n- sự rán sức\n- sự nhô lên, sự trào lên, sự căng phồng\n- sự nhấp nhô, sự phập phồng (sóng biển, lồng ngực...)\n- (thể thao) miếng nhấc bổng ném xuống ((cũng) [03Cornwall heave] )\n- (địa lý,địa chất) sự dịch chuyển ngang\n- (số nhiều) bệnh thở gấp (của ngựa)\n[01* ngđtừ] [03heaved], những nghĩa về hàng hải [03hove])\n- nhấc lên, nâng lên (vật nặng)\n- thốt ra\n[02= to heave a sigh] thốt ra một tiếng thở dài, thở dài sườn sượt\n[02= to heave a groan] thốt ra một tiếng rền rĩ\n- làm nhô lên; làm căng phồng\n- làm nhấp nhô, làm phập phồng\n- (hàng hải) kéo, kéo lên\n[02= to heave (up) anchor] kéo neo, nhổ neo\n- (hàng hải),(tục) ném, vứt, liệng\n[02= to heave down] lật nghiêng (tàu)(để rửa, sửa chữa...)\n- (địa lý,địa chất) chuyển dịch ngang\n[01* nđtừ]\n- (+[04 at]) kéo, ra sức kéo\n[02= to heave at a rope] ra sức kéo một dây thừng\n- rán sức (làm gì)\n- nhô lên, trào lên, căng phồng, phồng lên\n- nhấp nhô, phập phồng (sóng, lồng ngực...)\n- thở hổn hển\n- nôn oẹ\n- (hàng hải) chạy, đi (tàu)\n[02= to heave ahead] chạy về phía trước\n[02= to heave alongside] ghé sát mạn (một tàu khác)\n[02= to heave astern] lùi về phía sau\n[02= to heave to] dừng lại\n[02= to heave in sight] hiện ra\n[04! heave ho!]\n- (hàng hải) hò dô ta, hò
heaven [01/'hevn/]	[01* dtừ]\n- thiên đường (đen & bóng)\n[02= to be in heaven] lên thiên đường, chết\n- Ngọc hoàng, Thượng đế, trời\n[02= it was the will of Heaven] đó là ý trời\n[02= by heaven!; good heavens!] trời ơi!\n- ((thường) số nhiều)(văn học) bầu trời, khoảng trời\n[02= the broad expanse of heaven] khoảng trời rộng bao la\n[02= the heavens] khoảng trời\n- niềm hạnh phúc thần tiên\n[04! to move haven and earth]\n- xem [03move]\n[04! in the seventh heaven]\n- vui sướng tuyệt trần\n[04! seventh heaven]\n[04! heaven of heavens]\n- trên cao chín tầng mây (nơi Thượng đế ở, theo đạo Do thái) 
heavenliness [01/'hevnlinis/]	[01* dtừ]\n- xem [03heavenly] 
heavenly [01/'hevnli/]	[01* ttừ]\n- (thuộc) trời; ở trên trời, ở thiên đường\n[02= heavenly bodies] các thiên thể\n- (tục) tuyệt trần, siêu phàm\n[02= heavenly beauty] sắc đẹp tuyệt trần
heavenly-minded [01/'hevnli'maindid/]	như [03havenly-minded]
heaven-sent [01/'hevnsent/]	[01* ttừ]\n- may mắn, thuận lợi
heavenward [01/'hevnwəd/]	[01* phtừ] (cũng heavenwards)(hướng) lên trời
heavenwards [01/'hevnwə:dz/]	[01* phtừ]\n- hướng lên trời
heaver [01/'hi:və/]	[01* dtừ]\n- người bốc dỡ, công nhân khuân vác (ở bến tàu...)\n- (kỹ) tay đòn, đòn bẫy
heavier-than-air [01/'heviəđæ'eə/]	[01* ttừ]\n- (thuộ máy bay) nặng hơn không khí
heavily [01/'hevili/]	[01* phtừ]\n- nặng, nặng nề (đen & bóng)\n[02= a heavily loaded truck] một xe chở nặng, một xe chất nặng hàng hoá\n[02= to be punished heavily] bị phạt nặng
heaviness [01/'hevinis/]	[01* dtừ]\n- sự nặng, sự nặng nề\n- tính chất nặng, tính chất khó tiêu (đồ ăn)\n- tính chất nặng trình trịch, tính chất vụng về khó coi, tính chất thô\n- tình trạng xấu, tình trạng lầy lội khó đi (đường sá)\n- sự đau buồn, sự buồn phiền; sự chán nản
heaviside layer [01/,hevisaid'leiə/]	[01* dtừ]\n- <lý> lớp E của tầng điện ly
