green cloth [01/'gri:nklɔθ/]	[01* dtừ]\n- thảm xanh
greenhouse [01/'gri:nhaus/]	[01* dtừ]\n- nhà kính (trồng rau, hoa) 
greenhouse effect [01/'gri:nhaus i'fekt/]	[01* dtừ]\n- hiệu ứng nhà kính
greening [01/'gri:niη/]	[01* dtừ]\n- (thực vật) táo lục
greenish [01/'gri:ni∫/]	như [03greeny]
greenishness [01/'gri:ni∫nis/]	[01* dtừ]\n- màu hơi lục
greenland [01/'gri:nlənd/]	[01* dtừ]\n- (địa lý,địa chất) đảo băng
greenleaved [01/'gri:n,li:vd/]	[01* ttừ]\n- có lá lục
greenlinnet [01/'gri:n'linit/]	[01* dtừ]\n- (động vật) chim sẻ lục
greenly	- xem [03green] 
greenness [01/'gri:nnis/]	[01* dtừ]\n- màu lục\n- màu xanh tươi) của cây cỏ\n- trạng thái còn xanh\n- sự non nớt, sự thiếu kinh nghiệm, sự khờ dại\n- vẻ tráng kiện quắc thước (của một ông già) 
greenockite [01/'gri:nəkait/]	[01* dtừ]\n- (khoáng) grinockit
green-peak [01/'gri:npi:k/]	như [03woodpecker]
greenroom [01/'gri:nrum/]	[01* dtừ]\n- phòng nghỉ (của diễn viên ở các rạp hát) 
green-room [01/'gri:nrum/]	như [03greenroom]
greensand [01/'gri:n,sænd/]	[01* dtừ]\n- cát xanh
greensick [01/'gri:nsik/]	[01* dtừ]\n- (y) mắc bệnh xanh lướt
greensickness [01/'gri:nsiknis/]	[01* dtừ]\n- (y) bệnh xanh lướt
greenstone [01/'gri:nstoun/]	[01* dtừ (khoáng)]\n- Pocfia lục\n- Nefrit
greenstuff [01/'gri:nstʌf/]	[01* dtừ]\n- rau xanh\n- cây cỏ
greensward [01/'gri:nswɔ:d/]	[01* dtừ]\n- bãi cỏ, thảm cỏ
Greenwich mean time (GMT)	- (kỹ) giờ Grinvic, giờ quốc tế GMT
greenwich mean time [01/,grenidʒ 'mi:n taim/]	[01* dtừ, viết tắt là gmt]\n- giờ chuẩn căn cứ theo kinh tuyến Greenwich, giờ GMT
greenwood [01/'gri:nwud/]	[01* dtừ]\n- rừng xanh\n[04! to go to the greenwood]\n- trốn lên rừng sống ngoài vòng pháp luật; làm nghề lục lâm
greeny [01/'gri:ni/]	[01* ttừ]\n- hơi lục
greenyard [01/'gri:njɑ:d/]	[01* dtừ]\n- bãi rào nhốt súc vật lạc
greet [01/gri:t/]	[01* ngđtừ]\n- chào, chào hỏi, đón chào\n[02= to greet somebody with a smile] mỉm cười chào ai\n- chào mừng, hoan hô\n[02= to greet somebody's victory] chào mừng thắng lợi của ai\n[02= to greet someone's speech with cheers] vỗ tay hoan hô bài nói của ai\n- bày ra (trước mắt) ; đập vào (mắt, tai) ; vang đến, vọng đến (tai)\n[02= a grand sight greeted our eyes] một cảnh hùng vĩ bày ra trước mắt như đón mừng chúng tôi\n[02= to greet the ear] rót vào tai\n[01* nđtừ]\n- (Ê-cốt) khóc lóc, than khóc
greeter	- xem [03greet] 
greeting [01/'gri:tiη/]	[01* dtừ]\n- lời chào hỏi ai\n[02= to send one's greetings to somebody] gửi lời chào ai\n- lời chào mừng, lời chúc mừng\n[02= New Year's greetings] lời chúc tết
greeting-card [01/'gri:tiηkɑ:d/]	[01* dtừ]\n- thiếp chúc mừng (ngày sinh, ngày cưới, ngày lễ...) 
gregarious [01/gri'geəriəs/]	[01* ttừ]\n- sống thành đàn, sống thành bầy (súc vật) ; mọc thành cụm (cây cỏ) ; sống thành tập thể (người)\n- thích đàm đúm, thích giao du
gregariously [01/gri'geəriəsli/]	[01* phtừ]\n- theo bầy, theo cộng đồng
gregariousness [01/gri'geəriəsnis/]	[01* dtừ]\n- sự thích sống theo bầy (động vật)\n- tính thích giao du đàn đúm
grege [01/gredʒ/]	[01* dtừ]\n- tơ sống
gregorian calendar [01/gri'gɔ:riən'kælində/]	[01* dtừ]\n- hệ thống lịch do Giáo hoàng Gregory XIII (1502 - 1585) đưa ra và cũng là hệ thống lịch mà thế giới ngày nay vẫn dùng
gregorian chant [01/gri'gɔ:riən't∫ɑ:nt/]	[01* dtừ]\n- loại nhạc đặt theo tên của giáo hoàng Gregory I (540 - 604) 
gremlin [01/'gremlin/]	[01* dtừ]\n- (hàng không),(lóng) quỷ gây tai nạn máy bay
grenade [01/gri'neid/]	[01* dtừ]\n- (qsự) lựu đạn
grenadier [01/,grenə'diə/]	[01* dtừ]\n- (qsự) lính ném lựu đạn\n[04! the Grenadiers; the Grenadier Guards]\n- trung đoàn vệ binh của vua Anh
grenadine [01/,grenə'di:n/]	[01* dtừ]\n- món thịt bê rán vàng, món thịt gà rán vàng\n- xi rô lựu
grew	như [03grow]
grewsome [01/'gru:sʌm/]	[01* ttừ]\n- xem [03gruesome] 
grey [01/grei/]	[01* ttừ]\n- (màu) xám\n- hoa râm (tóc)\n[02= grey hair] tóc hoa râm; (bóng) tuổi già\n[02= to turn grey] bạc tóc, tóc thành hoa râm\n- xanh xao, nhợt nhạt, xanh mét (nước da)\n- u ám, ảm đạm (bầu trời)\n- buồn bã, rầu rĩ (vẻ mặt)\n- có kinh\n- già giặn, đầy kinh nghiệm\n[04! grey mare]\n- người vợ bắt nạt chồng\n[04! to grow grey in the service]\n- già đời trong nghề\n[01* dtừ]\n- màu xám\n- quần áo màu xám\n[02= dresed in grey] mặc quần áo màu xám\n- ngựa xám\n[01* đtừ]\n- tô màu xám, quét màu xám\n- thành xám\n- thành hoa râm (tóc) 
grey eminence [01/'grei'eminəns/]	[01* dtừ]\n- kẻ tâm phúc; mưu sĩ
grey fish [01/'greifi∫/]	[01* dtừ]\n-(động vật) cá nhám; cá mập
grey friar [01/'grei'fraiə/]	[01* dtừ]\n- thầy dòng áo nầu (dòng Fran-xit) 
grey head [01/'grei'hed/]	[01* dtừ]\n- đầu hoa rầm
grey matter [01/'grei'mætə/]	[01* dtừ]\n- (phẫu) chất xám (của võ não)\n- (tục) trí tuệ, trí thông minh\n[02= a boy without much grey_matter] đứa trẻ kém thông minh
greybeard [01/'greibiəd/]	[01* dtừ]\n- ông già, ông lão\n- lọ sành, hũ sành (đựng rượu) 
grey-blue [01/'greiblu:/]	[01* ttừ]\n- lam xám
greycing [01/'greisiη/]	[01* dtừ]\n- (tục) sự đi săn bằng chó
grey-coat [01/'greikout/]	[01* dtừ]\n- (sử học)(Mỹ) lính áo xám (của các bang miền Nam trong cuộc chiến tranh Nam-Bắc 1861 1865) 
grey-haired	[01* ttừ]\n- như [03grey-headed] 
grey-headed [01/'grei'hedid/]	[01* ttừ]\n- tóc hoa râm, già\n- (+ [04in]) già đời (trong nghề)\n- cũ kỹ, cổ kính
grey-hen [01/'greihen/]	[01* dtừ]\n- gà gô mái
greyhound [01/'greihaund/]	[01* dtừ]\n- chó săn thỏ\n- tàu biển chạy nhanh ((cũng) [03ocean greyhound] )\n- xe buýt chạy đường dài
greyish [01/'greii∫/]	[01* ttừ]\n- hơi xám, xam xám
greylag [01/'greilæg/]	[01* dtừ]\n- (lóng) ngỗng xám (một loại ngỗng trời) 
greyness [01/'greinis/]	[01* dtừ]\n- màu xám\n- vẻ u ám, vẻ buồn rầu ảm đạm
grid [01/grid/]	[01* dtừ]\n- hệ thống đường dây (điện phân bố trong một khu vực)\n- đường kẻ ô (để vẽ bản đồ)\n- vỉ (nướng chả)\n- chấn song sắt\n- (raddiô) lưới điều khiển
grid bias detector	- (kỹ) bộ dò thiên về lưới
grid bias voltage	- (kỹ) điện thế thiên về lưới
grid blocking	- (kỹ) capacitor bộ điện dung chặn lưới
grid capacitance	- (kỹ) điện dung lưới
grid capacitor	- (kỹ) bộ điện dung ở lưới
grid circuit	- (kỹ) mạch lưới
grid conductance	- (kỹ) độ dẫn điện lưới
grid current	- (kỹ) dòng lưới, cường - độ dòng lưới
grid excitation	- (kỹ) sự kích thích lưới
grid leak detector	- (kỹ) bộ dò rỉ lưới
grid modulation	- (kỹ) sự biến điệu lưới
grid neutralization	- (kỹ) sự trung hòa lưới
grid pitch	- (kỹ) bước lưới
grid plate transconductance	- (kỹ) độ xuyên dẫn bản cực lưới
grid point	- (kỹ) điểm lưới
grid potentiometer	- (kỹ) bộ phân áp lưới
grid pulsing	- (kỹ) phát xung ở lưới
grid rectification	- (kỹ) chỉnh lưu ở lưới
grid resistance	- (kỹ) điện trở lưới
grid return	- (kỹ) trở về lưới
grid suppressor	- (kỹ) bộ triệt lưới
grid voltage	- (kỹ) điện thế lưới
grid winding	- (kỹ) cuộn dây lưới
grid-anode characteristic	- (kỹ) đặc tính lưới dương cực
grid-anode conductance	- (kỹ) độ dẫn điện lưới dương cực
grid-cathode capacitance	- (kỹ) điện dung lưới âm cực
grid-controlled [01/'grid kən'trould/]	[01* ttừ]\n- được điều khiển trên mạng; được khống chế trên lưới
gridded	- xem [03grid] 
gridder [01/'gridə/]	[01* dtừ]\n- (Mỹ),(lóng) cầu thủ bóng đá
griddle [01/'gridl/]	[01* dtừ]\n- vỉ (nướng bánh)\n- (ngành mỏ) lưới sàng quặng\n[01* ngđtừ]\n- sằng (quặng) bằng lưới
griddle cake [01/'gridlkeik/]	[01* dtừ]\n- bánh nướng bằng vỉ
gride [01/graid/]	[01* dtừ]\n- tiếng ken két, tiếng kèn kẹt\n[01* đtừ]\n- ((thường) + [04along, through]) cạo ken két, cạo kèn kẹt
grid-filament capacitance	- (kỹ) điện dung lưới-sợi nung
gridiron [01/'gridaiən/]	[01* dtừ]\n- vỉ (nướng chả)\n- (Mỹ),(thể thao),(tục) sân đá bóng (trong phạm vi đường biên)\n- (sân khấu) khung (để) kéo phông (trên tầng thượng sân khấu)\n- (hàng hải) giàn đỡ tàu (trong xưởng)\n[04! to be on the gridiron]\n- bồn chồn như ngồi trên đống lửa
gridlock [01/gridlock/]	[01* dtừ]\n- (Mỹ) xem [03snarl-up] 
grid-plate capacitance	- (kỹ) điện dung lưới-phiến
grief [01/gri:f/]	[01* dtừ]\n- nỗi đau buồn, nỗi sầu khổ, nỗi thương tiếc\n[02= to die of grief] chết vì đau buồn\n[04! to come to grief]\n- gặp tai hoạ; thất bại
griefless [01/'gri:flis/]	[01* ttừ]\n- không đau xót; không phiền muộn
grief-stricken [01/'gri:f'strikən/]	[01* ttừ]\n- mòn mỏi vì buồn phiền, kiệt sức vì đau buồn
grievance [01/'gri:vəns/]	[01* dtừ]\n- lời trách, lời phàn nàn, lời kêu ca; lời than phiền\n- mối bất bình
grieve [01/gri:v/]	[01* ngđtừ]\n- gây đau buồn, làm đau lòng\n[02= to grieve one's parents] làm cho cha mẹ đau lòng\n[01* nđtừ]\n- đau buồn, đau lòng\n[02= to grieve at the death of] đau buồn vì cái chết của (ai)\n[02= to grieve about somebody's misfortunes] đau lòng vì những sự không may của ai\n[02= to grieve at sad news] đau khổ vì nhận được tin buồn
griever	- xem [03grieve] 
grievingly	như [03griever]
grievous [01/'gri:vəs/]	[01* ttừ]\n- đau, đau khổ\n- trầm trọng, nặng (vết thương, lỗi lầm) ; tai hại\n- đau đớn, đau thương (tiếng kêu, tin tức)\n- trắng trợn, ghê tởm (tội ác) 
grievous bodily harm [01/'gri:vəs'bɔdili'hɑ:m/]	[01* dtừ, viết tắt là GBH]\n- <pháp> sự tổn thương trầm trọng do một hành động xâm kích trái pháp luật
grievously [01/'gri:vəsli/]	[01* phtừ]\n- nghiêm trọng, trầm trọng
grievousness	- xem [03grievous] 
griff [01/grif/]	[01* dtừ ((cũng) [03griffin] )(Anh-Ấn)]\n- người Âu mới đến ở Ân-ddộ\n- người non nớt chưa có kinh nghiệm, người mới vào nghề
griffin [01/grifin/]	như [03gryphon]
griffon [01/'grifən/]	[01* dtừ]\n- quái vật sư tử đầu chim ((cũng) [03griffin] )\n- giống chó grifông (lông dài, cứng) 
grig [01/grig/]	[01* dtừ (động vật)]\n- cá chình con; lươn con\n- châu chấu; cào cào\n- con dê
grill [01/gril/]	[01* dtừ]\n- (như) [03grille]\n- vỉ (nướng chả)\n- món thịt nướng, chả\n- hiệu chả cá, quán chả nướng; phòng ăn thịt nướng (ở quán ăn)((cũng) [03grill room] )\n[01* ngđtừ]\n- nướng, thiêu đốt (mặt trời)\n- (bóng) hành hạ, tra tấn (bằng lửa, phơi nắng...)\n- (Mỹ) tra hỏi\n[02= to grill a prisoner] tra hỏi người tù\n[01* nđtừ]\n- bị nướng; bị thiêu đốt\n- (bóng) bị hành hạ (tra tấn)(bằng lửa, phơi nắng...) 
grillage [01/'grilidʒ/]	[01* dtừ]\n- (kiến trúc) đài cọc
grille [01/gril/]	[01* dtừ] ((cũng) [03grill] )\n- lưới sắt, phên sắt\n- khung ấp trứng cá
grilled [01/grild/]	[01* ttừ]\n- có lưới sắt
griller	- xem [03grill] 
grill-room [01/'grilru:m/]	[01* dtừ]\n- hiệu ăn; quán chả nướng
grilse [01/grils/]	[01* dtừ]\n- (động vật) cá hồi nhỏ (lần đầu tiên ở biển về nước ngọt) 
grim [01/grim/]	[01* ttừ]\n- dữ tợn, tàn nhẫn, nhẫn tâm, ác nghiệt\n[02= a grim face] nét mặt dữ tợn đầy sát khí\n[02= a grim smile] nụ cười nham hiểm\n[02= a grim battle] cuộc chiến đấu ác liệt\n- không lay chuyển được\n[02= grim determination] quyết tâm không lay chuyển được
grimace [01/gri'meis/]	[01* dtừ]\n- sự nhăn mặt, sự cau mặt; vẻ nhăn nhó\n- vẻ làm bộ làm điệu, vẻ màu mè ỏng ẹo\n[01* nđtừ]\n- nhăn mặt, nhăn nhó
grimacer [01/gri'meisə/]	[01* dtừ]\n- người hay nhăn nhó\n- người hay làm bộ điệu, người màu mè ỏng ẹo
grimacier [01/gri'meisiə/]	như [03grimacer]
grimalkin [01/gri'mælkin/]	[01* dtừ]\n- mèo cái già\n- mụ già nanh ác
grime [01/graim/]	[01* dtừ]\n- bụi bẩn (đất, than, bồ hóng, nhọ nồi...) ; cáu ghét\n[02= a face covered with grime and sweat] mặt đầy ghét và mồ hôi\n[01* ngđtừ]\n- làm cho bám đầy bụi bẩn; làm cho cáu ghét
grimily	- xem [03grimy] 
griminess [01/'graiminis/]	[01* dtừ]\n- tình trạng cáu bẩn, tình trạng cáu ghét\n- vẻ dữ tợn; tính tàn nhẫn, tính nhẫn tâm, tính ác nghiệt\n- tính ác liệt, tính quyết liệt\n- tính không lay chuyển được
grimly [01/'grimli/]	[01* phtừ]\n- không lay chuyển được, dứt khoát
grimness [01/'grimnis/]	[01* dtừ]\n- sự dứt khoát không gì lay chuyển được
grimy [01/'graimi/]	[01* ttừ]\n- đầy bụi bẩn; cáu ghét\n[02= grimy windows] những cửa sổ đầy bụi bẩn\n[02= grimy facea] những bộ mặt cáu ghét
grin [01/grin/]	[01* dtừ]\n- cái nhăn mặt nhe cả răng ra\n- cái cười xếch đến mang tai; cái cười toe toét\n[02= to break into a broad grin] cười toe toét, toét miệng cười\n[02= to be always on the grin] lúc nào cũng cười toe toét, lúc nào cũng nhăn nhở\n[01* đtừ]\n- nhe răng ra nhăn nhở\n- nhe răng ra cười, cười toe toét\n[02= to grin at somebody] cười nhe răng với ai; toét miệng ra cười với ai\n[02= to grin like a Cheshire cat] lúc nào cũng cười nhăn nhở\n[02= to grin from ear to ear] cười miệng toét đến mang tai\n[02= to grin and bear it] đành cười mà chịu vậy\n- cười ngạo
grind [01/graind/]	[01* dtừ]\n- sự xay, sự tán, sự nghiền\n- sự mài\n- tiếng nghiến ken két\n- (bóng) công việc cực nhọc đều đều\n[02= the daily grind] công việc hằng ngày\n- cuộc đi bộ để tập luyện\n- lớp học rút (để đi thi) ; lớp luyện thi\n- (lóng) cuộc đua ngựa nhảy rào\n- (Mỹ) học sinh học gạo\n[01* đtừ ground]\n- xay, tán, nghiền\n[02= to grind corn into flour] xay lúa mì thành bột\n- mài, giũa\n[02= to grind a knife] mài dao\n[02= to grind diamonds] mài kim cương\n- xát, nghiền\n[02= to grind one's teeth (together)] nghiến răng\n[02= the ship grinding on the rocks] tàu sạt vào những tảng đá\n[02= to grind one's heel into the ground] di di gót chân xuống đất\n- đàn áp, áp bức, đè nén\n[02= to grind the faces of the poor] áp bức người nghèo\n- quay cối xay cà phê\n[02= to grind music out of a hurdy-gurdy] quay đàn vien\n[02= to grind out some verses] nặn ra vài câu thơ\n- bắt (ai) làm việc cật lực\n- nhồi nhét\n[02= to grind for the exam] học nhồi để thi\n[04! to grind away]\n- (+ [04at]) làm cật lực, làm tích cực\n- học tập cần cù; học gạo\n[04! to grind down]\n- xay nhỏ, tán nhỏ, nghiền nhỏ, nghiền nát\n- hành hạ, áp bức\n[04! to grind in]\n- (kỹ) mài, nghiền, rà\n[04! to grind out]\n- đè bẹp, giẫm nát, nghiền nát\n- nghiền, nạo ra\n[02= to grind out an oath] nghiến răng lại mà nguyền rủa\n[04! to grind up]\n- nghiền nhỏ, tán nhỏ\n[04! to grind one's own axe]\n- theo đuổi mục đích cá nhân\n[04! to have an axe to grind]\n- có một mục đích cá nhân phải đạt
grindability [01/graində'biliti/]	[01* dtừ]\n- khả năng mài được; tính dễ mài\n- tính dễ nghiền
grinder [01/'graində/]	[01* dtừ]\n- cối xay (cà phê...) máy nghiền, máy xát, máy xay\n- thợ mài, thợ xay, thợ xát\n[02= an itinerant grinder] thợ mài dao kéo đi rong\n- (lóng) người kèm học thi\n- học sinh học gạo\n- răng hàm; (số nhiều)(đau) răng\n- (số nhiều)(raddiô) tiếng lục cục (khi vặn raddiô) 
grindery [01/'graindəri/]	[01* dtừ]\n- đồ nghề thợ giày
grinding [01/'graindiη/]	[01* ttừ]\n- (nói về âm thanh) ken két, nghiến rít
grinding machine [01/'graidiηmə,∫i:n/]	[01* dtừ]\n- máy mài
grindingly	- xem [03grind] 
grindstone [01/'graindstoun/]	[01* dtừ]\n- đá mài (hình bánh, quay tròn) ; bánh mài\n[04! to hold (keep, put) someone's nose to the grindstone]\n- bắt ai làm việc mửa mật; bắt ai làm việc không ngơi tay lúc nào
gringo [01/'griηgou/]	[01* dtừ]\n- (Mỹ La tinh) người nước ngoài ((thường) là người Anh, người Mỹ) 
grinner	- xem [03grin] 
grinningly	như [03grinner]
grip [01/grip/]	[01* dtừ]\n- rãnh nhỏ, mương nhỏ\n- sự cầm chặt, sự nắm chặt, sự ôm chặt, sự kẹp chặt; sự kìm kẹp\n[02= to keep a tigh grip on one's horse] kẹp chặt lấy mình ngựa\n[02= in the grip of poverty] trong sự o ép của cảnh nghèo\n- sự thu hút (sự chú ý)\n[02= to lose one's grip on one's audience] không thu hút được sự chú ý của người nghe nữa\n- sự hiểu thấu, sự nắm vững, sự am hiểu\n[02= to have a good grip of a problem] nắm vững vấn đề\n[02= to have a good grip of the situation] am hiểu tình hình\n- tay phanh (xe cộ), tay hãm (máy móc...)\n- báng (súng) ; chuôi, cán (đồ dùng)\n- kìm, kẹp\n- (Mỹ)(như) [03gripsack]\n[04! to be at grips]\n- giáp lá cà; ở thế ghì chặt (quyền Anh)\n[04! to come to grips]\n- đánh giáp lá cà; ghì chặt (quyền Anh)\n[01* ngđtừ]\n- nắm chặt, ôm chặt, kẹp chặt\n[02= to grip something in a vice] kẹp chặt vật gì vào êtô\n- thu hút (sự chú ý)\n[02= the speaker grip ed the attention of his audience] diễn giả thu hút được sự chú ý của người nghe\n- nắm vững (kiến thức...)\n[01* nđtừ]\n- kép chặt; ăn (phanh)\n[02= the brakes did not grip] phanh không ăn
grip-brake [01/'gripbreik/]	[01* dtừ]\n- phanh tay
gripe [01/graip/]	[01* dtừ]\n- sự nắm chặt, sự cầm chặt, sự kẹp chặt\n- ách kìm kẹp, nanh vuốt, sự áp bức\n[02= in the gripe of the landlords] trong nanh vuốt của bọn địa chủ\n- (số nhiều) chứng đau bụng quặn\n- báng (súng) ; chuôi, cán (đồ dùng)\n- (số nhiều)(hàng hải) dây cột thuyền\n- (Mỹ),(lóng) lời kêu ca, lời phàn nàn
gripe-penny [01/'graip,peni/]	[01* dtừ]\n- người biển lận; người bo bo giữ của
griper	- xem [03gripe] 
gripe-water [01/'graip,wɔ:tə/]	[01* dtừ]\n- thuốc trị chứng đau bụng quặn
grippe [01/grip/]	[01* đtừ]\n- nắm chặt, cầm chặt, kẹp chặt\n- áp bức, đè nén, kìm kẹp\n- làm cho đau bụng quặn\n- (hàng hải) cột (thuyền) lại\n- (hàng hải) trôi theo gió (thuyền)\n- (Mỹ),(lóng) làm phiền, làm bực mình\n- (Mỹ),(lóng) kêu ca, phàn nàn\n[01* dtừ (tục)]\n- bệnh cúm
gripper	- xem [03grip] 
gripping [01/'gripiη/]	[01* ttừ]\n- hấp dẫn, thú vị
grippingly [01/'gripiηli/]	như [03interestingly]
grippy [01/'gripi/]	[01* ttừ]\n- (tục) bị cúm
gripsack [01/'gripsæk/]	[01* dtừ]\n- túi du lịch
grip-vice [01/'gripvais/]	[01* dtừ]\n- (kỹ) cái êtô
griqua [01/'gri:kwə/]	[01* dtừ]\n- người da trắng lai Nam Phi
grisaille [01/gri'zeil/]	[01* dtừ]\n- cách vẽ trang trí bằng sắc thái xám để tạo nên ấn tượng không gian ba chiều
griseous [01/'griziəs/]	[01* ttừ]\n- xanh nhạt; xám
grisette [01/gri'zet/]	[01* dtừ]\n- cô công nhân Pháp, cô bán hàng người Pháp ((thường) mặc áo màu xám) 
gris-gris [01/'gri:,gri:/]	[01* dtừ]\n- gris-gris\n- cái bùa của người Phi-châu
griskin [01/'griskin/]	[01* dtừ]\n- thịt thăn lợn
grisliness	- xem [03grisly] 
grisly [01/'grizli/]	[01* ttừ]\n- ghê tởm, ghê sợ, rùng rợn
grist [01/grist/]	[01* dtừ]\n- lúa đưa xay\n- mạch nha (để làm rượu bia)\n- (Mỹ),(tục) lô, đàn, bầy\n[02= a grist of bees] một đàn ong\n[04! all is grist that comes to his mills]\n- kiếm chác đủ thứ\n[04! to bring grist to someone's mill]\n- có lợi cho ai\n[01* dtừ]\n- cỡ (của sợi dây) 
gristle [01/'grisl/]	[01* dtừ]\n- xương sụn\n[04! in the gristle]\n- còn măng sữa, chưa cứng cáp (trẻ nhỏ) 
gristliness	- xem [03gristly] 
gristly [01/'gristli/]	[01* ttừ]\n- (thuộc) xương sụn, như xương sụn\n- có sụn
grist-mill [01/'gristmil/]	[01* dtừ]\n- cối xay bột
grit [01/grit/]	[01* dtừ]\n- hạt cát, hạt sỏi, sạn cát, sạn sỏi\n- (kỹ) hạt sạn (làm cho máy trục trặc)\n[02= there must be some grit in the machine] chắc hẳn có hạt sạn trong máy\n- mạt giũa (kim loại)\n- (tục) tính bạo dạn, tính gan góc, tính can đảm; tính chịu đựng bền bỉ\n- Grit đảng viên đảng Cấp tiến; đảng viên đảng Tự do (ở Ca-na-dda)\n[04! to put grit in the machine]\n- thọc gậy bánh xe
grits [01/grits/]	[01* ngđtừ]\n- nghiến (răng)\n[02= to grits one's teeth] nghiến răng\n[01* nđtừ]\n- kêu sào sạo, kêu ken két (như máy có hạt sạn)\n[01* dtừ s/n]\n- yến mạch lứt (chưa giã kỹ)\n- bột yến mạch thô
gritstone [01/'gritstoun/]	[01* dtừ]\n- (địa lý,địa chất) cát kết hạt thô
