anuual	- hằng năm
anything [01/'eniθiη/]	[01* dtừ & đại từ]\n- vật gì, việc gì (trong câu phủ định và câu hỏi)\n[02= have you anything to drink?] anh có gì để uống không?\n[02= is there anything to do?] có việc gì làm không?\n[02= he doesn't do anything] hắn không làm gì hết\n[02= without doing anything whatever] không làm một việc gì hết\n- bất cứ việc gì, bất cứ vật gì (trong câu khẳng định)\n[02= anything you like] bất cứ cái gì mà anh thích\n[02= anything else] bất cứ vật nào khác\n[02= if anything should happen to him] nếu có việc gì xảy ra cho nó\n[02= anything but] là bất cứ cái gì chỉ trừ; không... chút nào\n[02= he is anything but a coward] hắn có thể là bất cứ cái gì chỉ trừ là một thằng hèn\n[02= he is anything but good] hắn không tốt chút nào\n[02= if anything] có thể, có lẽ, có thế chăng\n[02= if anything, he is worse than yesterday] có thể là sức khoẻ của anh ta hôm nay còn kém hôm qua\n[04! like anything]\n- (tục) hết sức, vô cùng, cực kỳ\n[02= to run like anything] chạy hết tốc lực\n[02= to work like anything] làm việc hết sức mình
anytime	- bất cứ lúc nào
anyway [01/'eniwei/]	như [03anyhow]
anywhere [01/'eniweə/]	[01* phtừ]\n- bất kỳ chỗ nào, bất cứ nơi đâu\n[02= place it anywhere you like] anh thích để nó ở đâu thì để\n[02= anywhere else] ở bất cứ nơi nào khác
anywise [01/'eniwaiz/]	[01* phtừ]\n- tuỳ tiện thế nào cũng được, cách nào cũng được\n- tuyệt đối, tuyệt nhiên (trong câu phủ định) 
anzac [01/'ænzæk/]	[01* dtừ]\n- (số nhiều) binh đoàn An-giắc (binh đoàn Uc và Tân tây lan trong đại chiến I)\n- lính An-giắc\n[01* ttừ]\n- (thuộc) các binh đoàn An-giắc (ngày 25 tháng 4, kỷ niệm ngày đạo binh An-giắc đặt chân lên bán đảo Ga-li-po-li 25 4 1915) 
A-OK [01/,ei ou'kei/]	[01* ttừ]\n- (Mỹ,tục) giống như OK nhấn mạnh
aorist [01/'eərist/]	[01* ttừ]\n- (ngôn) bất định\n[02= aorist tense] thời bất định (ngữ pháp Hy lạp)\n[01* dtừ]\n- (ngôn) thời bất định
aoristic [01/eə'ristik/]	[01* ttừ]\n- (ngôn)(thuộc) thời bất định
aoristically	- xem [03aorist] 
aorta [01/ei'ɔ:tə/]	[01* dtừ]\n- (phẫu) động mạch chủ
aortal	- xem [03aorta] 
aortic [01/ei'ɔ:tik/]	[01* ttừ]\n- (thuộc) động mạch chủ
apa graphic	- đồ hình ánh xạ bit
apace [01/ə'peis/]	[01* phtừ]\n- nhanh, nhanh chóng, mau lẹ\n[02= ill news runs (flies) apace] tin dữ lan nhanh
apache [01/ə'pɑ:∫/]	[01* dtừ]\n- tên côn đồ\n- người A-pa-sơ (một bộ lạc ở Bắc Mỹ) 
a-pac-thai [01/a pac thai/]	[01* dtừ]\n- apartheid
apanage [01/'æpənidʒ/]	[01* dtừ]\n- thái ấp (của các bậc thân vương)\n- phần phụ thuộc (đất đai)\n- đặc tính tự nhiên, đặc điểm vốn có
aparejo [01/,æpə'rejou/]	[01* dtừ] s/n [02aparejos]\n- yên thồ bằng da hay bằng vải bạt
apart [01/ə'pɑ:t/]	[01* phtừ]\n- về một bên, qua một bên; riêng ra, xa ra\n[02= to hold oneself apart] đứng ra một bên\n[02= to put something apart] để riêng vật gì ra\n[02= to live apart from the word] sống xa mọi người\n[02= to stand with one's feet apart] đứng giạng háng, đứng giạng chân ra\n[02= to set something apart for someone] để riêng (để dành) vật gì cho ai\n- apart from ngoài... ra\n[02= apart from these reasons] ngoài những lẽ ấy ra\n[02= apart from the fact that...] trừ phi...\n[04! jesting (joking) apart]\n- nói thật không nói đùa\n[04! to take apart]\n- lấy rời ra từng phần; tháo rời ra từng phần
apartheid [01/ə'pɑ:thait/]	[01* dtừ]\n- sự tách biệt chủng tộc Nam phi
apartment [01/ə'pɑ:tmənt/]	[01* dtừ]\n- căn phòng, buồng\n- (số nhiều)(Mỹ số ít) dãy buồng ở một tầng (cho một gia đình)\n[02= walk-up apartment] nhà ở nhiều buồng không có thang máy
apartment block [01/ə'pɒ:tmənt blɔk/]	[01* dtừ]\n- dãy nhà
apartness	- xem [03apart] 
apatetic [01/,æpə'tetik/]	[01* ttừ]\n- (sinh vật) nguỵ trang
apathetic [01/,æpə'θetik/]	[01* ttừ]\n- không tình cảm, lãnh đạm, thờ ơ, hờ hững
apathetically [01/,æpə'θetikəli/]	[01* phtừ]\n- lãnh đạm, hờ hững, thờ ơ
apathy [01/'æpəθi/]	[01* dtừ]\n- tính không tình cảm, tính lãnh đạm, tính thờ ơ, sự hờ hững
apatite [01/'æpətait/]	[01* dtừ]\n- (khoáng) Apatit
ape [01/eip/]	[01* dtừ]\n- khỉ không đuôi, khỉ hình người\n- người hay bắt chước\n[02= to play (act) the ape] bắt chước\n[01* ngđtừ]\n- bắt chước, nhại
apeak [01/ə':pi:k/]	[01* ttừ & phtừ]\n- (hàng hải) thẳng xuống, thẳng đứng\n[02= oars apeak] mái chèo thẳng đứng
apec	[01* (vt)]\n- Tổ chức Hợp tác kinh tế Châu á-Thái Bình Dương ([03Asia-Pacific Economic Co-operation])
apedicellate [01/æ'pedisəleit/]	[01* ttừ]\n- không cuống
apelike [01/'eipəlike/]	[01* ttừ]\n- giống như khỉ
ape-like [01/'eiplaik/]	[01* ttừ]\n- giống khỉ, như khỉ (mặt) 
ape-man [01/'eip'mæn/]	[01* dtừ]\n- khỉ nhân hình
apepsia [01/ə'pepsiə/]	như [03apepsy]
apepsy [01/ə'pepsi/]	[01* dtừ]\n- (y) chứng không tiêu
aper	- xem [03ape] 
apercu [01/,æpə:'sju:/]	[01* dtừ]\n- tổng quan, đại cương
aperient [01/ə'piəriənt/]	như [03laxative]
aperiodic [01/,ei,piəri'dik/]	- (kỹ) không tuần hoàn, phi chu kỳ
aperitif [01/ə'perətif/]	[01* dtừ]\n- rượu khai vị
aperitive [01/ə'peritiv/]	như [03laxative]
apertural	- xem [03aperture] 
aperture [01/'æpət∫ə/]	[01* dtừ]\n- lỗ hổng, kẽ hở\n- lỗ ống kính (máy ảnh) ; độ mở\n[02= relative aperture] độ mở tỷ đối\n- (kỹ) khẩu độ; góc mở; lỗ (cửa) ; cửa (sổ) 
apery [01/'eipəri/]	[01* dtừ]\n- sự bắt chước lố lăng\n- trò khỉ, trò bắt chước\n- chuồng khỉ
apetalous [01/ə'petələs/]	[01* ttừ]\n- (thực vật) không cánh (hoa) 
apetaly	- xem [03apetalous] 
apex [01/'eipeks/]	[01* dtừ], s/n [02apexes, apices]\n- đỉnh ngọc, chỏm\n[02= the apex of a triangle] đỉnh của một tam giác\n- (thiên văn) điểm apec\n- (kỹ) đỉnh, chóp, ngọn
aphaeresis [01/ə'fiərisis/]	[01* dtừ]\n- (ngôn) hiện tượng mất âm đầu
aphaeretic	- xem [03aphaeresis] 
aphanipterous [01/,æfə'nipti:rəs/]	[01* ttừ]\n- không cánh
aphasia [01/ə'feizjə/]	[01* dtừ]\n- (y) chứng mất ngôn ngữ\n[02= motor aphasia] chứng mất ngôn ngữ vận động
aphasiac [01/ə'feiziæk/]	[01* dtừ]\n- (y) người mắc chứng mất ngôn ngữ
aphasic [01/ə'feizik/]	[01* ttừ]\n- (y)(thuộc) chứng mất ngôn ngữ\n[01* dtừ]\n- (y)(như) [03aphasiac] 
aphelia [01/æ'fi:ljən/]	như [03aphelion]
aphelion [01/æ'fi:ljən/]	[01* dtừ] s/n [03aphelia] /æ'fi:ljə/\n- (ngôn) điểm xa mặt trời nhất (của một hành tinh) 
apheliotropic [01/ə,fi:liə'trɔpik/]	[01* ttừ]\n- (thực vật) hướng ngược mặt trời
apheliotropism [01/ə,fi:li'ɔtrəpizm/]	[01* dtừ]\n- (thực vật) tính hướng ngược mặt trời
aphesis [01/'æfisis/]	[01* dtừ]\n- hiện tượng mất nguyên âm đầu (không phải trọng âm, ở một từ) 
aphetic [01/ə'fetik/]	[01* ttừ]\n- (thuộc) hiện tượng mất nguyên âm đầu (không phải trọng âm, ở một từ) 
aphetically	- xem [03aphesis] 
aphetion	- (thiên văn) điểm viễn nhật
aphetize [01/'æfitaiz/]	[01* ngđtừ]\n- làm mất nguyên âm đầu (không phải trọng âm, ở một từ) 
aphides [01/'eifis/]	[01* dtừ] s/n [03aphides]\n- (động vật) giống rệp vừng
aphidian [01/ei'fidjən/]	[01* ttừ]\n- (thuộc) giống rệp vừng
aphidicide [01/æfidi'said/]	[01* dtừ]\n- thuốc trừ rệp rừng
aphis [01/'eifis/]	như [03aphides]
aphonia [01/ə'founjə/]	như [03aphony]
aphonic [01/ə'fɔnik/]	[01* ttừ]\n- mất tiếng
aphonous [01/'æfənəs/]	như [03aphonic]
aphony [01/'æfəni/]	[01* dtừ]\n- (y) chứng mất tiếng
aphorism [01/'æfərizm/]	như [03apophthegm]
aphorismic [01/,æfə'rismik/]	[01* ttừ]\n- (thuộc) cách ngôn; có tính chất cách ngôn
aphorist	như [03aphoristically]
aphoristic [01/,æfə'ristik/]	như [03aphorismic]
aphoristically	- xem [03aphorism] 
aphotic [01/ei'foutik/]	[01* ttừ]\n- thiếu ánh sáng\n[02= the aphotic regions of the ocean] những vùng thiếu ánh sáng của đại dương
aphototropic [01/æfətə'trɔpik/]	[01* ttừ]\n- hướng tối
aphototropism [01/æfətə'trɔpizm/]	[01* dtừ]\n- tính hướng tối
aphrodisiac [01/,æfrou'diziæk/]	[01* ttừ]\n- kích thích tình dục\n[01* dtừ]\n- (y) thuốc kích thích tình dục
aphrodisiacal	- xem [03aphrodisiac] 
aphtha [01/'æfθə/]	như [03aphthae]
aphthae [01/'æfθə/]	[01* dtừ] s/n [03aphthae] /'æfθi:/\n- (y) bệnh aptơ
aphyllous [01/ə'filəs/]	[01* ttừ]\n- (thực vật) không lá
aphylly	- xem [03aphyllous] 
api	- (vt của [03Application Programming Interface] ) giao diện chương trình ứng dụng
apian [01/'eipjən/]	[01* ttừ]\n- thuộc ong, giống như ong
apiarian [01/,eipi'eəriən/]	như [03apicultural]
apiarist [01/'eipjərist/]	như [03bee-keeper]
apiary [01/'eipjəri/]	[01* dtừ]\n- chỗ nuôi ong, nhà nuôi ong; đỗ ong
apical [01/'æpikəl/]	[01* ttừ]\n- (thuộc) đỉnh, (thuộc) ngọn\n- điểm apec\n- đặt ở ngọn, đặt ở đỉnh
apically	- xem [03apical] 
apices [01/'eipeks/]	[01* dtừ] s/n [02apexes, apices]\n- đỉnh ngọc, chỏm\n[02= the apex of a triangle] đỉnh của một tam giác\n- (thiên văn) điểm apec
apiculate [01/ə'pikjuleit/]	[01* ttừ]\n- nhọn đột ngột (lá) 
apiculiform [01/ə'pikjulifɔ:m/]	[01* ttừ]\n- dạng đầu nhọn
apicultural [01/,eipi'kʌlt∫ərəl/]	[01* ttừ]\n- (thuộc) nghề nuôi ong
apiculture [01/'eipikʌlt∫ə/]	[01* dtừ]\n- nghề nuôi ong
apiculturist [01/,eipi'kʌlt∫ərist/]	như [03bee-keeper]
apiculus [01/ə'pikjuləs/]	[01* dtừ]\n- đầu nhỏ; đỉnh nhỏ
apiece [01/ə'pi:s/]	[01* phtừ]\n- mỗi một, mỗi người, mỗi vật, mỗi cái\n[02= to receive a gun apiece] lính mỗi người một súng\n[02= to cost 5đ apiece] giá mỗi cái năm đồng
apilary [01/ə'piləri/]	[01* ttừ]\n- thiếu (teo) cánh môi trên
apileate [01/ei'pilieit/]	[01* ttừ]\n- không mũ; không chóp
apiologist [01/,eipi'ɔlədʒist/]	[01* dtừ]\n- nhà nghiên cứu về ong
apiology [01/,eipi'ɔlədʒi/]	[01* dtừ]\n- khoa nghiên cứu về ong
apish [01/'eipi∫/]	[01* ttừ]\n- (thuộc) khỉ; giống khỉ; như khỉ; ngớ ngẩn như khỉ\n[02= apish trick] trò khỉ\n- hay bắt chước, hay nhại\n- (Mỹ) điệu bộ, màu mè
apishly	- xem [03apish] 
apishness [01/'eipi∫nis/]	[01* dtừ]\n- sự giống khỉ\n- tính hay bắt chước\n- (Mỹ) sự điệu bộ, sự màu mè
apisination [01/eipisi'nei∫n/]	[01* dtừ]\n- sự nhiễm độc nọc ong
apitoxin [01/'eipi,tɔksin/]	[01* dtừ]\n- nọc ong
apivorous [01/'eipivərəs/]	[01* ttừ]\n- ăn ong
apl	- Ngôn ngữ Lập trình A
aplacental [01/,eiplə'sentl/]	[01* ttừ]\n- (sinh học) không nhau, không giá noãn
aplanat [01/'æplənæt/]	[01* dtừ]\n- (lý) kính vật tương phản, aplanat
aplanatic [01/,æplə'nætik/]	[01* ttừ]\n- (lý) tương phản, aplanatic
aplanatic lens	- (kỹ) thấu kính tương phẳng
aplanatism [01/'æplənætizm/]	[01* dtừ]\n- (lý) tính tương phản, tính aplanatic
aplanetic [01/æplə'netik/]	[01* ttừ]\n- không động, bất động
aplanetism [01/æplə'netizm/]	[01* dtừ]\n- hiện tượng không động
aplanogamete [01/æplænə'gæmi:t/]	[01* dtừ]\n- giao tử không động
aplanospore [01/ə'plænə,spɔ/]	[01* dtừ]\n- giao tử bất động
aplasia [01/ə'pleiziə; US,ei'pleiʒə/]	[01* dtừ (y)]\n- sự ngừng phát triển, sự không phát triển, sự không tạo hình
aplenty [01/ə'plenti/]	[01* phtừ]\n- (Mỹ) nhiều, dồi dào, phong phú
a-plenty [01/ə'plenti/]	như [03aplenty]
aplerotic [01/əplæ'rɔtik/]	[01* ttừ]\n- vơi, không đầy
aplomb [01/ə'plɔm/]	[01* dtừ]\n- thế thẳng đứng\n- sự vững lòng, sự tự tin
apnoea [01/æp'ni:ə/]	[01* dtừ]\n- (y) sự ngừng thở
apobiosis [01/əpə'baiousis/]	[01* dtừ]\n- sự sống hấp hối, sự chết sinh lý
apobiotic [01/əpəbai'outik/]	[01* ttừ]\n- sống hấp hối; chết sinh lý
apocalypse [01/ə'pɔkəlips/]	[01* dtừ]\n- (tôn giáo) sự khải huyền\n- sách khải huyền
apocalyptic [01/ə,pɔkə'liptik/]	[01* ttừ]\n- (tôn giáo)(thuộc) sách khải huyền
apocalyptical [01/ə,pɔkə'liptikəl/]	như [03apocalyptic]
apocalyptically [01/ə,pɔkə'liptikəli/]	[01* phtừ]\n- theo sách Khải huyền, theo kinh Khải huyền
apocarpous [01/,æpou'kɑ:pəs/]	[01* ttừ]\n- (thực vật) có lá noãn rời
apocarpy	- xem [03apocarpous] 
apocentric [01/æpə'sentric/]	[01* ttừ]\n- rời tâm; ly tâm
apochromat [01/'æpəkroumæt/]	[01* dtừ]\n- (lý) kính tiêu sắc phức, cái apôcrômat
apochromatic [01/,æpəkrə'mætik/]	[01* ttừ]\n- (lý) tiêu sắc phức, apôcrômatic
apochromatic lens	- (kỹ) thấu kính tiêu sắc phức
apochromatism [01/,æpə'kroumətizm/]	[01* dtừ]\n- (lý) tính tiêu sắc phức, tính apôcrômatic
apocope [01/ə'pɔkəpi/]	[01* dtừ]\n- (ngôn) hiện tượng mất âm chủ
apocrine [01/ə'pəkrin/]	[01* ttừ]\n- tiết rụng đầu
apocrypha [01/ə'pɔkrifə/]	[01* dtừ]\n- (tôn giáo) kinh nguỵ tác
apocryphal [01/ə'pɔkrifəl/]	[01* ttừ]\n- (thuộc) kinh nguỵ tác\n- làm giả, giả mạo, nguỵ tác\n- không đích xác, không chính xác, chưa đáng tin, đáng ngờ
apocryphally	- xem [03apocryphal] 
apocynaceous [01/ə,pɔsi'nei∫əs/]	[01* ttừ]\n- (thực vật)(thuộc) họ trúc đào
apocyte [01/,æpə'sait/]	[01* dtừ]\n- tế bào nhiều nhân, khối chất nguyên sinh nhiều nhân
apod [01/'æpɔd/]	[01* dtừ] s/n [02(apodes, apods, apoda)]\n- loài không chân (bò sát)\n- loài không vây bụng (cá) 
apoda [01/'æpɔd/]	như [03apod]
apodal [01/'æpədəl/]	[01* ttừ]\n- không chân\n- không vây bụng
apodeictic [01/,æpou'diktik/]	như [03apodictical]
apodes	[01* dtừ]\n- loài không chân (bò sát)\n- loài không vây bụng (cá) 
apodictic [01/,æpou'diktik/]	như [03apodictical]
apodictical [01/,æpou'diktikəl/]	[01* ttừ]\n- rõ ràng, xác thực, hiển nhiên
apodictically	- xem [03apodictic] 
apodosis [01/ə'pɔdəsis/]	[01* dtừ] s/n [02apodoses]\n- (ngôn ngữ) vế chính của một câu chỉ điều kiện
apodous [01/'æpədəs/]	như [03apodal]
apoenzyme [01/,æpou'enzaim/]	[01* dtừ]\n- (sinh học) Apoenzim (phần protein đặc hiệu của một enzim) 
apogamety [01/æpə'gæmi:ti/]	[01* dtừ]\n- tính vô giao tử
apogamic [01/,æpə'gæmik/]	[01* ttừ]\n- (thực vật) sinh sản vô giao
apogamy [01/ə'pɔgəmi/]	[01* dtừ]\n- (thực vật) sự sinh sản vô giao
apogean [01/,æpou'dʒi:ən/]	[01* ttừ]\n- ở điển xa quả đất nhất\n- ở điển xa mặt trời nhất (quả đất)\n- xa nhất\n- tuyệt đỉnh, cực thịnh
apogee [01/'æpədʒi:/]	[01* dtừ]\n- (thiên văn) điển xa quả đất nhất\n- khoảng lớn nhất giữa mặt trời và quả đất (khi quả đất ở điểm cách xa mặt trời nhất)\n- chỗ xa nhất\n- tuyệt đỉnh, điểm cao nhất, thời cực thịnh\n- (thiên văn) viễn điểm, viễn địa; tuyệt đích
apogeny [01/æpə'dʒeni/]	[01* dtừ]\n- tính vô sinh, tính không sinh sản
apogeotropic [01/æpədzi:ə'trɔpik/]	[01* ttừ]\n- không hướng đất; hướng ngược đất
apogyny [01/æpə'dʒaini/]	[01* dtừ]\n- (thực vật) tính nhụy thui
apohomotypic [01/æpəhɔmə'taipik/]	[01* ttừ]\n- không cùng kiểu
a-point	- (giải tích) a- điểm
apolar [01/æ'poulə/]	[01* ttừ]\n- không cực\n- liên hợp
apolarity [01/æpə'læriti/]	[01* dtừ]\n- tính không cực
apolaustic [01/,æpou'lɔ:stik/]	[01* ttừ]\n- dễ bị thú vui cám dỗ, dễ bị khoái lạc cám dỗ, dễ tự buông thả
apolegamic [01/æpəle'gæmik/]	[01* ttừ]\n- giao phối chọn lọc
apolegamy [01/æpəle'gæmi/]	[01* dtừ]\n- tính giao phối chọn lọc
apolitical [01/,æpə'litikəl/]	[01* ttừ]\n- không chính trị\n- thờ ơ với chính trị
apolitically	- xem [03apolitical] 
apollinaris [01/ə,pɔli'neəris/]	[01* dtừ]\n- nước suối A-pô-li-na-rít (ở Ao) 
apollo [01/ə'pɔlou/]	[01* dtừ] s/n [03Apollos]\n- thần A-pô-lông, thần mặt trời (thần thoại Hy lạp)\n- (thơ ca) mặt trời, người đẹp trai
apollonian [01/,æpə'lounjən/]	[01* ttừ]\n- hài hoà, nhịp nhàng, cân đối
apollyon [01/ə'pɔljən/]	[01* dtừ]\n- con quỷ
apologetic [01/ə,pɔlə'dʒetik/]	như [03apologetical]
apologetical [01/ə,pɔlə'dʒetikəl/]	[01* ttừ]\n- biện hộ, biện giải\n- chữa lỗi, biết lỗi, xin lỗi
apologetically	- xem [03apologetic] 
