kaliphate [01/'keilifeit/]	[01* dtừ]\n- xem [03caliphate] 
katamorphism [01/,kætə'mɔ:fizm/]	[01* dtừ]\n- (địa lý,địa chất) hiện tượng biến chất đới sâu
katharevusa [01/,ka:θə'revəsa:/]	[01* dtừ]\n- tiếng Hy Lạp hiện đại tuân theo cách dùng của tiếng Hy Lạp cổ
katharsis [01/kə'θa:sis/]	[01* dtừ]\n- sự thành tâm
kathode [01/'kæθoud/]	như [03cathode]
kation [01/'kætaiən/]	như [03cation]
katytid [01/'keititid/]	[01* dtừ]\n- (động vật) châu chấu voi
kauri [01/'kauri/]	[01* dtừ]\n- (thực vật) cây thông caori (ở Tân tây lan)\n- gỗ thông caori
kava [01/'kɑ:və/]	[01* dtừ]\n- (thực vật) cây cava (thuộc họ hồ tiêu) 
kavass [01/kə'væs/]	[01* dtừ]\n- cảnh sát vũ trang\n- người hầu (ở Thổ-nhĩ-kỳ) 
kayak [01/'kaiæk/]	như [03kaiak]
kayaker	- xem [03kayak] 
kayo [01/'kei'ou/]	[01* dtừ]\n- (Mỹ) (thể thao)(như) [03knock-out] 
kazi [01/'ka:zi/]	như [03lav]
kazoo [01/kə'zu:/]	[01* dtừ]\n- <nhạc> ống sáo cadu
kb [01/,kei 'bi:/]	- (tin)(vt của [03kilobyte] ) kilôbyte = 1024 byte\n- (vt của [03King's Bench] ) cuộc bỏ phiếu ở Tối cao pháp viện nước Anh
kbe [01/,kei: bi: 'i:/]	- vt của [03Knight Commander (of the Order) of the British Empire]\n- Hiệp sự huynh trưởng (của một Dòng) thuộc Vương quốc Anh
kc [01/,kei 'si:/]	- vt của [03King's Counsel]\n- Luật sư thượng hạng ở Anh
kea [01/'keiə/]	[01* dtừ]\n- (động vật) vẹt kêa (ở Tân-tây-lan) 
kebab [01/ki'bæb/]	[01* dtừ]\n- thịt nướng
keck [01/kek/]	[01* nđtừ]\n- oẹ\n[02= to keck at] tởm lộn mửa ra (đồ ăn...) 
keckle [01/'kekl/]	[01* ngđtừ]\n- (hàng hải) bọc (dây thừng...) bằng vải cũ
ked [01/ked/]	[01* dtừ]\n- con mòng; con két
keddah [01/'keidə/]	như [03kheda]
kedge [01/kedʒ/]	[01* dtừ]\n- (hàng hải) neo kéo thuyền (neo nhỏ để buộc dây chão kéo thuyền)((cũng) [03kedge anchor] )\n[01* ngđtừ]\n- kéo thuyền bằng dây chão (buộc vào một chiếc neo nhỏ ở quãng xa) 
kedgeree [01/,kedʒə'ri:/]	[01* dtừ]\n- Anh-Ân món ketri (cơm với cá, trứng, hành) 
keek [01/ki:k/]	[01* dtừ]\n- (Ê-cốt) cái nhìn hé, cái nhìn trộm\n[01* nđtừ]\n- (Ê-cốt) hé nhìn, nhìn trộm
keel [01/ki:l/]	[01* dtừ]\n- sà lan (chở) than\n[01* dtừ]\n- sống tàu thuỷ, sống thuyền\n[02= on an even keel] không tròng trành, không nghiêng ngả; (bóng) vững chắc, yên\n[02= to lay down a keel] khởi công đóng một chiếc tàu (thuyền)\n- (thơ ca) tàu thuỷ, thuyền\n[01* đtừ]\n- lật úp (tàu, thuyền)\n[04! to keel over]\n- lật úp (tàu, thuyền)\n- (bóng) lật đổ nhào; bị đổ nhào, ngã đổ nhào; bất thần ngất đi
keelhaul [01/'ki:lhɔ:l/]	[01* ngđtừ]\n- bắt (ai) chịu hình phạt chui dưới sống tàu\n- (lóng) mắng mỏ thậm tệ, xỉ vả thậm tệ
keelson [01/'kelsn, also 'ki:ls/]	[01* dtừ] (cũng) [03kelson]\n- tấm gỗ hay kim loại dài gắn vào đáy thuyền (để làm cho vững chắc) 
keen [01/ki:n/]	[01* dtừ]\n- bài hát tang (kèm theo tiếng than khóc ở Ai-len)\n[01* nđtừ]\n- hát bài hát tang\n- than van ai oán, than khóc thảm thiết\n[01* ngđtừ]\n- hát bài hát tang mà than khóc (ai)\n[01* ttừ]\n- sắc, bén (dao) ; nhọn (kim)\n- rét buốt, buốt thấu xương\n[02= keen wind] gió rét buốt\n- chói (ánh sáng)\n- trong và cao (tiếng...)\n- buốt, nhói, dữ dội, thấm thía\n[02= keen hunger] sự đói dữ dội, sự đói như cào\n[02= keen sorrow] nỗi buồn thấm thía\n- sắc sảo; tinh, thính\n[02= keen intelligence] trí thông minh sắc sảo\n[02= keen eyes] mắt tinh\n[02= keen ears] tai thính\n- chua cay, đay nghiến, gay gắt (lời nói, lời phê bình...)\n- mãnh liệt, thiết tha, kịch liệt; hăng hái, sôi nổi, nhiệt tình\n[02= keen desire] sự ham muốn mãnh liệt\n[02= a keen sportsman] nhà thể thao nhiệt tình\n[02= a keen debate] cuộc tranh luận sôi nổi\n- ham mê, say mê, ham thích\n[02= to be (dead) keen on something] say mê cái gì, ham thích cái gì\n[02= to be (dead) keen on somebody] say mê ai\n[02= to be keen about] hài lòng về, vừa ý về (cái gì)\n- (Mỹ),(lóng) tuyệt diệu, cừ khôi, xuất sắc\n[04! as keen as mustard]\n- hăng say, phớn phở
keener	- xem [03keen] 
keenly [01/'ki:nli/]	[01* phtừ]\n- sắc sảo\n- nhiệt tình, hăng hái
keenness [01/'ki:nnis/]	[01* dtừ]\n- sự sắc bén, sự sắc nhọn\n- sự rét buốt, sự buốt thấu xương (gió lạnh)\n- sự chói (ánh sáng...)\n- tính trong và cao (giọng, tiếng)\n- sự đau buốt, sự đau nhói, sự dữ dội, sự thấm thía (đau buồn...)\n- tính sắc sảo, sự tính, sự thính (trí óc, mắt, tai...)\n- sự chua cay, sự gay gắt (lời nói, phê bình)\n- sự mãnh liệt, sự thiết tha; sự hăng hái, sự sôi nổi, sự nhiệt tình\n- sự ham mê, sự say mê, sự ham thích
keen-set [01/'ki:nset/]	[01* ttừ]\n- thèm khát, khao khát\n[02= to be keen-set for something] thèm khát cái gì, khao khát cái gì
keep [01/ki:p/]	[01* ngđtừ kept]\n- giữ, giữ lại\n[02= to keep something as a souvenir] giữ cái gì coi như một vật kỷ niệm\n[02= to keep hold of something] nắm giữ cái gì\n- giữ, tuân theo, y theo, thi hành, đúng\n[02= to keep one's promise (word)] giữ lời hứa\n[02= to keep an appointment] y hẹn\n[02= to keep the laws] tuân giữ pháp luật\n- giữ, canh phòng, bảo vệ; phù hộ\n[02= to keep the town against the enemy] bảo vệ thành phố chống lại kẻ thù\n[02= God keep you!] Chúa phù hộ cho anh!\n[02= to keep the goal] (thể thao) giữ gôn\n- giữ gìn, giấu\n[02= to keep a secret] giữ một điều bí mật\n[02= to keep something from somebody] giấu ai cái gì\n- giữ gìn (cho ngăn nắp gọn gàng), bảo quản; chăm sóc, trông nom; quản lý\n[02= to keep the house for somebody] trông nom nhà cửa cho ai\n[02= to keep the cash] giữ két\n[02= to keep a shop] quản lý một cửa hiệu\n- giữ riêng, để ra, để riêng ra, để dành\n[02= to keep something to onself] giữ riêng cái gì cho mình\n[02= to keep something for future time] để dành cái gì cho mai sau\n- giữ lại, giam giữ\n[02= to keep somebody in prison] giam ai vào tù\n- ((thường) +[02from]) giữ cho khỏi, giữ đứng, ngăn lại, nhịn tránh\n[02= to keep somebody from falling] giữ cho ai khỏi ngã\n[02= to keep oneself from smoking] nhịn hút thuốc\n- nuôi, nuôi nấng; bao (gái)\n[02= to keep a family] nuôi nấng gia đình\n[02= to keep bees] nuôi ong\n[02= to keep a woman] bao gái\n[02= a kept woman] gái bao\n- (thương nghiệp) có thường xuyên để bán\n[02= do they keep postcards here?] ở đây người ta có bán bưu thiếp không?\n- cứ, cứ để cho, bắt phải\n[02= to keep silence] cứ làm thinh\n[02= to keep someone waiting] bắt ai chờ đợi\n- không rời, ở lỳ, vẫn cứ, ở trong tình trạng\n[02= to keep one's room] không ra khỏi phòng (ốm...)\n- theo\n[02= to keep a straight course] theo một con đường thẳng\n- (+[04 at]) bắt làm kiên trì, bắt làm bền bỉ\n[02= to keep sosmebody at some work] bắt ai làm bền bỉ một công việc gì\n- làm (lễ...), tổ chức (lễ kỷ niện...)\n[02= to keep one's birthday] tổ chức kỷ niệm ngày sinh\n[01* nđtừ]\n- vẫn cứ, cứ, vẫn ở tình trạng tiếp tục\n[02= the weather will keep fine] thời tiết sẽ vẫn cứ đẹp\n[02= to keep laughing] cứ cười\n[02= keep straight on for two miles] anh hây cứ tiếp tục đi thẳng hai dặm đường nữa\n- (tục) ở\n[02= where do you keep?] anh ở đâu?\n- đẻ được, giữ được, để dành được (không hỏng, không thổi...)(đồ ăn...)\n[02= these apples do not keep] táo này không để được\n- (+[04 to]) giữ lấy, bám lấy, cứ theo, không rời xa\n[02= to keep to one's course] cứ đi theo con đường của mình\n[02= to keep to one's promise] giữ lời hứa\n[02= keep to the right] hây cứ theo bên phải mà đi\n- (bóng) có thể để đấy, có thể đợi đấy\n[02= that business can keep] công việc đó có thể hây cứ để đấy đã\n- (+[04 from, off]) rời xa, tránh xa; nhịn\n[02= keep off!] tránh ra!, xê ra!\n[02= keep off the grass] không được giẫm lên bãi cỏ\n- (+[04 at]) làm kiên trì, làm bền bỉ (công việc gì...)\n[02= to keep had at work for a week] làm bền bỉ trong suốt một tuần\n[04! to keep away]\n- để xa ra, bắt ở xa ra; cất đi\n[02= keep knives away from children] cất dao đi đừng cho trẻ con nghịch\n[04! to keep back]\n- giữ lại\n- làm chậm lại; chặn lại, cản lại, cầm lại\n[02= to keep back one's tear] cầm nước mắt\n- giấu không nói ra\n- đứng ở đằng sau, ở lại đằng sau\n- tránh xa ra\n[04! to keep down]\n- cầm lại, nén lại, dằn lại\n- cản không cho lên, giữ không cho lên\n[02= to keep prices down] giữ giá không cho lên\n- không trở dậy (cứ quỳ, cứ ngồi, cứ nằm)\n- (qsự) nằm phục kích\n[04! to keep from]\n- nhịn, kiêng, nén, nín; tự kiềm chế được\n[02= can't keep from laughing] không nén cười được\n[04! to keep in]\n- dằn lại, nén lại, kiềm chế, kìm lại (sự xúc đông, tình cảm...)\n- giữ không cho ra ngoài; phạt bắt (học sinh) ở lại sau giờ học\n- giữ cho (ngọn lửa) cháy đều\n- ở trong nhà, không ra ngoài\n- vẫn thân thiện, vẫn hoà thuận (với ai)\n[02= to keep in with somebody] vẫn thân thiện với ai\n[04! to keep off]\n- để cách xa ra, làm cho xa ra\n- ở cách xa ra, tránh ra\n[04! to keep on]\n- cứ vẫn tiếp tục\n[02= to keep on reading] cứ đọc tiếp\n- cứ để, cứ giữ\n[02= to keep on one's hat] cứ để mũ trên đầu (không bỏ ra)\n[04! to keep out]\n- không cho vào; không để cho, không cho phép\n[02= to keep children out of mischief] không để cho trẻ con nghịch tinh\n- đứng ngoài, không xen vào, không dính vào; tránh\n[02= to keep out of somebody's way] tránh ai\n[02= to keep out of quarrel] không xen vào cuộc cãi lộn\n[04! to keeo together]\n- kết hợp nhau, gắn bó với nhau, không rời nhau\n[04! to keep under]\n- đè nén, thống trị, bắt quy phục; kiềm chế\n[04! to keep up]\n- giữ vững, giữ không cho đổ, giữ không cho hạ, giữ không cho xuống; giữ cho tốt, bảo quản tốt (máy...)\n[02= to keep up one's spirits] giữ vững tinh thần\n[02= to keep up prices] giữ giá không cho xuống\n- duy trì, tiếp tục, không bỏ\n[02= to keep up a correspondence] vẫn cứ tiếp tục thư từ qua lại\n- bắt thức đêm, không cho đi ngủ\n- giữ vững tinh thần; không giảm, không hạ\n- (+[04 with]) theo kịp, ngang hàng với, không thua kém\n[02= to keep up with somebody] theo kịp ai, không thua kém ai\n[04! to keep abreast of (with)]\n- theo kịp, không lạc hậu so với\n[02= to keep abreast with the timmes] theo kịp thời đại\n[04! to keep a check on]\n- xem [03check]\n[04! to keep clear of]\n- tránh, tránh xa\n[04! to keep company]\n- xem [03company]\n[04! to keep somebody company]\n- xem [03company]\n[04! to keep good (bad) company]\n- xem [03company]\n[04! to keep one's countenance]\n- xem [03countenance]\n[04! to keep one's (own) counsel]\n- xem [03counsel]\n[04! to keep dark]\n- lẫn trốn, núp trốn\n[04! to keep one's distance]\n- xem [03distance]\n[04! to keep doing something]\n- tiếp tục làm việc gì\n[04! to keep one's end up]\n- không đầu hàng, không nhượng bộ; giữ vững ý kiến của mình\n[04! to keep an eye on]\n- để mắt vào, theo dõi; trông giữ, canh giữ\n[04! to keep somebody going]\n- giúp đỡ ai về vật chất (để cho có thể sống được, làm ăn được...)\n[04! to keep one's hair on]\n- xem [03hair]\n[04! to keep one's head]\n- xem [03head]\n[04! to keep late hours]\n- xem [03hour]\n[04! to keep mum]\n- lặng thinh, nín lặng; giữ kín, không nói ra\n[04! to keep oneself to oneswelf]\n- không thích giao thiệp; không thích giao du; sống tách rời\n[04! to keep open house]\n- ai đến cũng tiếp đãi, rất hiếu khách\n[04! to keep pace with]\n- xem [03pace]\n[04! to keep peace with]\n- giữ quan hệ tốt với\n[04! to keep one's shirt on]\n- xem [03shirt]\n[04! to keep a stiff upper lip]\n- xem [03lip]\n[04! to keep tab(s) on]\n- xem [03tab]\n[04! to keep one's temper]\n- xem [03temper]\n[04! to keep good time]\n- đúng giờ (đồng hồ)\n[04! to keep track of track]\n- xem [03track]\n[04! to keep up appearances]\n- xem [03appearance]\n[04! to keep watch]\n- cảnh giác đề phòng\n[01* dtừ]\n- sự nuôi thân, sự nuôi nấng (gia đình...) ; cái để nuôi thân, cái để nuôi nấng (gia đình...)\n[02= to earn one's keep] kiếm ăn, kiếm cái nuôi thân\n- (Mỹ) người giữ\n- (Mỹ) nhà tù, nhà giam\n- (sử học) tháp, pháo đài, thành luỹ\n[04! for keeps]\n- (tục) thường xuyên; mãi mãi, vĩnh viễn\n[04! in good keep]\n- trong tình trạng tốt\n[04! in low keep]\n- trong tình trạng xấu
keep fit [01/'ki:p fit/]	[01* dtừ]\n- những bài tập (thể dục) để giữ eo
keeper [01/'ki:pə/]	[01* dtừ]\n- người giữ, người gác\n- người bảo quản, người bảo tồn (viện bảo tàng, thư viện...)\n- người trông nom người điên\n- người quản lý, người chủ (quán...)\n- người coi khu rừng cấm săn bắn\n- nhẫn giữ (đeo để giữ cho chiếc nhẫn khác thường là nhẫn cưới, khỏi tuột)\n- (kỹ) đai ốc hãm
keeping [01/'ki:piη/]	[01* dtừ]\n- sự giữ, sự giữ gìn, sự bảo quản\n- sự coi giữ, sự trông nom, sự bảo vệ\n[02= to be in safe keeping] được trông nom cẩn thận, được bảo vệ chắc chắn\n- (pháp lý) sự giữ, sự tuân theo\n- (tài chính) sự giữ sổ sách\n- (thương nghiệp) sự quản lý (một cửa hiệu)\n- sự tổ chức (lễ kỷ niệm)\n- sự hoà hợp, sự phù hợp, sự thích ứng, sự ăn ý, sự ăn khớp\n[02= to be in keeping with something] hoà hợp với cái gì\n[02= to be out of keeping with something] không hợp với cái gì, không thích ứng với cái gì\n[01* ttừ]\n- giữ được, để được, để dành được\n[02= keeping apples] táo để được
keeping-room [01/'ki:piηrum/]	[01* dtừ]\n- (Mỹ) phòng khách
keepnet [01/'ki:p,net/]	[01* dtừ]\n- lưới lớn (để giữ cá cả ngày) 
keepsake [01/'ki:pseik/]	[01* dtừ]\n- vật lưu niệm\n- (định ngữ) hơi uỷ mị, hơi đa sầu đa cảm
keeshond [01/'keis,hɔnd ; 'ki:,hɔnd/]	[01* dtừ] s/n [02keeshonden, keeshonds]\n- loại chó nhỏ lông dày (mặt và đầu giống (như) chó sói, tai nhỏ nhọn) 
kef [01/kef/]	như [03keif]
kefir [01/'kefə/]	[01* dtừ]\n- rượu kêfia
keg [01/keg/]	[01* dtừ]\n- thùng chứa (khoảng 40 lít) 
keif [01/keif/]	[01* dtừ]\n- trạng thái mơ màng (nửa thức, nửa ngủ)\n- sự thích thú cảnh nhàn du lười biếng\n- thuốc kép (hút để gây trạng thái mơ màng, thường chế bằng la gai dầu Ân độ) 
keloid [01/'ki:lɔid/]	[01* dtừ]\n- sẹo đầy, sẹo trâu
keloidal [01/'ki:lɔidəl/]	[01* ttừ]\n- (thuộc) sẹo đầy, sẹo trâu
kelp [01/kelp/]	[01* dtừ]\n- (thực vật) tảo bẹ\n- tro tảo bẹ
kelpie [01/'kelpi/]	[01* dtừ]\n- (Ê-cốt)(thần thoại) hà bá, thuỷ tinh (thường biến dạng thành ngựa, thích dìm chết những khách qua sông)\n- (Uc) chó kenpi (một giống chó lai chăn cừu) 
kelpy [01/'kelpi/]	như [03kelpie]
kelt [01/kelt/]	[01* dtừ]\n- xem [03Celt]\n- cá hồi sau khi đẻ
kelter [01/'keltə/]	[01* dtừ]\n- xem [03kilter] 
keltic [01/'keltik/]	[01* dtừ]\n- tiếng Xen-tơ
kelvin [01/'kelvin/]	[01* dtừ]\n- Kilôoat giờ\n[04! kelvin scale]\n- thang nhiệt kenvin
kemp [01/kemp/]	[01* dtừ]\n- lông len thô
kempt [01/kem(p) t/]	[01* ttừ]\n- (tóc) được chải gọn ghẽ
kempy [01/'kempi/]	[01* ttừ]\n- có lông len thô
ken [01/ken/]	như [03kent]
kenaf [01/kə'na:f/]	[01* dtừ]\n- cây dâm bụt Đông ấn Độ (trồng lấy sợi bện thừng) 
kendo [01/'kendəʊ/]	[01* dtừ]\n- thuật đánh kiếm của người Nhật với gươm bằng tre, cầm hai tay
kennel [01/'kenl/]	[01* dtừ]\n- cống rãnh\n[01* dtừ]\n- cũi chó\n- nhà ở tồi tàn\n[01* nđtừ]\n- ở trong cũi (chó)\n- chui vào cũi (chó) 
kennel ration [01/'kenl'ræ∫n/]	[01* dtừ]\n- (Mỹ),(lóng) món thịt
kenning [01/'keniη/]	[01* dtừ]\n- từ hoặc nhóm từ ẩn dụ (dùng trong (thơ ca) của tiếng Anh cổ) 
keno [01/'ki:nou/]	[01* dtừ] s/n [03kenos]\n- (Mỹ) trò hơi giống như bingo
kenosis [01/ki'nousis/]	[01* dtừ]\n- tính chất của chúa Giêxu khi dời khỏi đặc tính thượng đế để thành người
kenotron	- (vật lí) kênôtron (đền điện tử) 
kenspeckle [01/'ken,spekl/]	[01* ttừ]\n- rõ ràng; mồn một; rõ mồn một; dễ nhận thấy
kent [01/ken/]	[01* dtừ]\n- phạm vi hiểu biết, tầm mắt\n[02= to be beyond (outside) one's ken] vượt ra ngoài phạm vi hiểu biết\n[02= to be in one's ken] trong phạm vi hiểu biết\n[01* ngđtừ kent (Ớ-cốt)]\n- nhận ra, nhìn ra\n- biết
kentish [01/'kenti∫/]	[01* ttừ]\n- (thuộc) vùng Ken-tơ (Anh)\n[04! kentish fire]\n- tràng vỗ tay hoan nghênh kéo dài\n- tiếng la ó phản đối; sự biểu tình phản đối
kentishman [01/'kenti∫mən/]	[01* dtừ]\n- người dân ở vùng Kent (đặc biệt là người ở miền tây sông Medway) 
kentledge [01/'kentlidʒ/]	[01* dtừ]\n- (hàng hải) đồ dằn đặt thường xuyên (cho thuyền, tàu khỏi tròng trành) 
kentucky coffee tree [01/ken'tʌki 'kɔfitri:/]	[01* dtừ]\n- loại cầy họ đỗ ở Bắc Mỹ trước đầy dùng để thay thế cà phê
kenyan [01/'kenjən/]	[01* ttừ]\n- thuộc nước Kenya ở Đông châu phi\n[01* dtừ]\n- người dân Kenya\n- người có nguồn gốc Kenya
kepi [01/'kepi/]	[01* dtừ]\n- mũ kê-pi
kept	như [03keep]
keramic [01/ki'ra:mik/]	[01* dtừ]\n- adj\n- xem [03ceramic] 
keratin [01/'kerətin/]	[01* dtừ]\n- Keratin
keratinization [01/,kerətinai'zei∫ən/]	[01* dtừ]\n- sự làm thành keratin; sự keratin hoá; sự trở thành keratin; sự hoá sừng
keratinize [01/ki'rætinaiz ; 'kerətinaiz/]	[01* ngđtừ]\n- làm thành keratin; keratin hoá; hoá sừng\n[01* nđtừ]\n- trở thành keratin; hoá sừng
keratinous	- xem [03keratin] 
keratose [01/'kerətous/]	[01* dtừ]\n- Keratoza
keratosis [01/kerə'tousis/]	[01* dtừ] s/n [03keratoses]\n- vùng da cứng thành chai
keratotic [01/kerə'tɔtik/]	[01* ttừ]\n- thuộc vùng da cứng thành chai
kerb [01/kə:b/]	[01* dtừ]\n- lề đường (thường lát đá)\n- (Mỹ),(lóng) thị trường chứng khoán chợ đen
