copernicanism	[01* dtừ]\n- thuyết Copecnic
copper-ware [01/'kɔpəweə/]	[01* dtừ]\n- đồ đồng
copper-works [01/'kɔpə'wə:ks/]	[01* dtừ]\n- xưởng đúc đồng; lò đúc đồ đồng
coppery [01/'kɔpəri/]	[01* ttừ]\n- (thuộc) đồng; có chất đồng
coppice [01/'kɔpis/]	[01* dtừ]\n- bãi cây nhỏ (trồng để chất đống dùng hàng năm) 
coppice-clump [01/'kɔpisklʌmp/]	[01* dtừ]\n- chồi, gốc, tược
copra [01/'kɔprə/]	[01* dtừ]\n- cùi dừa khô
coprime	- nguyên tố cùng nhau
coprocessor	- (kỹ) bộ đồng xử lý; bộ (vi) xử lý phụ; bộ xử lý liên tiếp
coproduce [01/,kouprə'dju:s/]	[01* ngđtừ]\n- cùng sản suất với người khác
coproducer [01/,kouprə'dju:sə/]	[01* dtừ]\n- người cùng sản suất
coprogenous [01/,kouprə'dʒenəs/]	[01* ttừ]\n- do phân
coprolite [01/kɔprəlait/]	[01* dtừ]\n- phân bị hoá đá; sỏi phân
coprology [01/kɔ'prɔlədʒi/]	[01* dtừ]\n- sự viết vẽ về những đề tài tục tĩu
coprophagous [01/kɔ'prɔfəgəs/]	[01* ttừ]\n- ăn phân (bọ hung...) 
coprophagy	- xem [03coprophagous] 
coprophilous [01/kɔ'prɔfiləs/]	[01* ttừ]\n- ưa phân, chịu phân
coprophyte [01/'kɔprəphit/]	[01* ttừ]\n- (thực vật) mọc ở (sống ở) phân
copse [01/kɔps/]	[01* dtừ]\n- (như) [03coppice]\n[01* ngđtừ]\n- gây bãi cây nhỏ
copsy [01/'kɔpsi/]	[01* ttừ]\n- có nhiều bãi cây nhỏ
copt [01/kɒpt/]	[01* dtừ]\n- thành viên trong Giáo hội Thiên Chúa cổ A Rập
copter [01/'kɔptə/]	[01* dtừ]\n- (tục) máy bay lên thẳng
coptic [01/'kɒptik/]	[01* dtừ]\n- ngôn ngữ phổ biến trong Giáo hội Ai Cập
copula [01/'kɔpjulə/]	[01* dtừ]\n- hệ từ\n- (phẫu) bộ phận nổi (như xương, dây chằng, sụn)\n- (âm nhạc) đoạn nối
copular	- xem [03copula] 
copulate [01/'kɔpjuleit/]	[01* nđtừ]\n- giao cấu, giao hợp
copulation [01/,kɔpju'lei∫n/]	[01* dtừ]\n- (ngôn) sự nối\n- sự giao cấu, sự giao hợp
copulative [01/'kɔpjulətiv/]	[01* ttừ]\n- đế nối\n- (phẫu) liên quan đến sự giao cấu, để giao cấu (bộ phận)\n[01* dtừ]\n- (ngôn) liên từ; tiểu từ
copulatively [01/'kɔpjulətivli/]	[01* phtừ]\n- nối tiếp
copulatory [01/'kɔpjulətəri/]	[01* ttừ]\n- (phẫu) để giao cấu
copunctal	- có một điểm chung
copy [01/'kɔpi/]	[01* dtừ]\n- bản sao, bản chép lại\n[02= certified copy] bản sao chính thức\n[02= certified true copy] bản sao đúng nguyên văn\n[02= to make a copy of a deed] sao một chứng từ\n- sự sao lại, sự chép lại, sự bắt chước, sự phỏng theo, sự mô phỏng\n- bản, cuộn (sách) ; số (báo)\n- (ngành in) bản thảo, bản in\n- đề tài để viết (báo)\n[02= this event will make good copy] sự kiện này sẽ là một đề tài hay để viết báo\n- kiểu, mẫu (một bức hoạ) ; kiểu (chữ)\n[04! fair (clean) copy]\n- bản thảo đã sửa và chép lại rõ ràng trước khi đưa in\n[04! rough (foul) copy]\n- bản nháp\n[01* đtừ]\n- sao lại, chép lại; bắt chước, phỏng theo, mô phỏng\n[02= to copy a letter] sao lại một bức thư\n[02= to copy out a passage from a book] chép lại một đoạn trong sách\n[02= to copy someone] bắt chước ai, làm theo ai\n[02= to copy someone's walk] bắt chước dáng đi của người nào\n- quay cóp
copy command	- (kỹ) lệnh sao chép
copy desk [01/'kɔpidesk/]	[01* dtừ]\n- bàn nơi các bản thảo được biên tập và chuẩn bị đem in
copy holder	- (kỹ) cái kẹp giấy (xem khi đánh máy) 
copy protection	- (kỹ) bảo vệ tác quyền, bảo vệ chống sao chép
copyable	- xem [03copy] 
copybook [01/'kɔpibuk/]	[01* dtừ]\n- vở tập viết\n[01* ttừ]\n- đúng bài bản\n- rũrích, sáo
copy-book [01/'kɔpibuk/]	[01* dtừ]\n- vở, tập viết\n[04! to blot one's copy-book]\n- (tục) tự làm ô danh, tự làm mang tiếng\n[04! copy-book morals; copy-book maxims]\n- những câu châm ngôn để cho trẻ em tập viết\n- những câu châm ngôn sáo, cũ rích\n[04! copy-book of verses]\n- tập thơ ngắn dùng làm bài tập ở trường
copycat [01/'kɔpikæt/]	[01* dtừ]\n- người hay bắt chứơc
copy-cat [01/'kɔpikæt/]	[01* dtừ]\n- người bắt chước một cách mù quáng
copydesk [01/'kɔpidesk/]	- xem [03copy-desk] 
copy-desk [01/'kɔpidesk/]	[01* dtừ]\n-(Mỹ) bàn làm việc ở tòa soạn báo, nơi các bản thảo được biên tập và chuẩn bị đưa đi in
copy-hold [01/'kɔpihould/]	[01* dtừ]\n- người làm chủ bất động sản theo sổ sách cũ\n- tài sản được giữ theo sổ sách cũ
copyholder [01/'kɔpi'houldə/]	[01* dtừ]\n- giá để giữ bản đánh máy\n- người đọc bản thảo cho người chữa bản in thử
copying [01/kɔpi-iη/]	- (kỹ) sao lại, in lại
copying-ink [01/'kɔpi-iη,iηk/]	[01* dtừ]\n- mực để sao chép
copying-pencil [01/'kɔpi-iη,pensl/]	[01* dtừ]\n- bút chì để sao chép
copyist [01/'kɔpiist/]	[01* dtừ]\n- người sao, người chép lại (các tài liệu cổ...)\n- người bắt chước
copy-protected	- (kỹ) được ngừa sao chép
copy-protected disk	- (kỹ) đĩa được ngừa sao chép
copy-reader [01/'kɔpi,ri:də/]	[01* dtừ]\n- (Mỹ) người đọc bài gửi đăng, người phụ tá cho chủ bút (báo) 
copyright [01/'kɔpirait/]	[01* dtừ]\n- bản quyền, quyền tác giả\n[04! copyright reserved]\n- tác giả giữ bản quyền\n[01* ttừ]\n- do tác giả giữ bản quyền; được đảm bảo quyền tác giả\n[01* ngđtừ]\n- giữ quyền tác giả\n[02= This dictionary is copyrighted by Ho Ngoc Duc and The Free Vietnamese dictionary project] Hồ Ngọc Đức và Dự án từ điển Việt Nam miễn phí giữ bản quyền từ điển này
copyright fingerprint	- (kỹ) mã số bản quyền
copyrightable	như [03copyrighter]
copyrighter	- xem [03copyright] 
copytaster [01/'kɔpiteistə/]	[01* dtừ]\n- nhà báo chọn bài viết để đăng
copy-typist [01/'kɔpi,taipist/]	[01* dtừ]\n- người đánh máy tài liệu
copy-writer [01/'kɔpi,raitə/]	[01* dtừ]\n- người viết bài quảng cáo
coquelicot [01/'koukəli,kou/]	[01* dtừ]\n- cây mỹ nhân
coquet [01/kou'ket/]	[01* ttừ]\n- đỏm, dáng, làm đỏm, làm dáng\n[01* nđtừ]\n- làm đỏm, làm duyên, làm dáng\n[02= to coquet with someone] làm duyên, làm dáng với ai\n- đùa cợt, coi thường (một vấn đề) 
coquetry [01/'koukitri/]	[01* dtừ]\n- tính hay làm đỏm, tính hay làm dáng
coquette [01/kou'ket/]	[01* dtừ]\n- người đàn bà hay làm đỏm, người đàn bà hay làm dáng\n- (động vật) chim ruồi\n[01* nđtừ]\n- (như) [03coquet] 
coquettish [01/kou'keti∫/]	[01* ttừ]\n- làm dáng, làm đỏm\n- quyến rũ, khêu gợi, làm say đắm người (nụ cười, cái liếc mắt) 
coquettishly [01/kou'keti∫li/]	[01* phtừ]\n- đỏm dáng, điệu hạnh
coquettishness	- xem [03coquette] 
coquilla nut [01/kə'kilə,nʌt/]	[01* dtừ]\n-(thực vật) quả cầy cọ Bra-xin
coquito [01/kou'ki:tou/]	[01* dtừ]\n- (thực vật) cây côkitô, cây cọ mật (một giống cọ ở Chi-lê) 
cor anglais [01/,kɔ:r 'ɒηglei/]	[01* dtừ]\n- kèn giống như kèn ôboa, nhưng chơi được những điệu trầm hơn
coracle [01/'kɔrəkl/]	[01* dtừ]\n- thuyền thúng (bọc vải dầu) 
coracoid [01/'kɔrəkɔid/]	[01* ttừ]\n- dạng xương quạ\n[01* dtừ]\n- xương quạ
coral [01/'kɔrəl/]	[01* dtừ]\n- san hô\n- đồ chơi bằng san hô (của trẻ con)\n- bọc trứng tôm hùm\n[04! true coral needs no painter's brush]\n- (tục ngữ) hữu xạ tự nhiên hương\n[01* ttừ]\n- đỏ như san hô\n[02= coral lips] môi đỏ như san hô\n- (thuộc) san hô\n[02= coral island] đảo san hô
coral fish [01/'kɔrəlfi∫/]	[01* dtừ]\n-(động vật) cá san hô
coral red [01/'kɔrəl red/]	[01* ttừ] đỏ như san hô
coral reef [01/'kɔrəlfi∫/]	- đá ngầm san hô
coralliferous [01/,kɔrə'lifərəs/]	[01* ttừ]\n- có san hô
coralliform [01/'kɔrəlifɔ:m/]	[01* ttừ]\n- hình san hô
corallinaceous [01/kɔrəli'nei∫əs/]	[01* ttừ]\n- giống san hô
coralline [01/'kɔrəlain/]	[01* dtừ]\n- (thực vật) tảo san hô\n[01* ttừ]\n- bằng san hô, do san hô kết thành\n- đỏ như san hô
corallite [01/'kɔrəlait/]	[01* dtừ]\n- đá san hô coralit
coralloid [01/'kɔrəlɔid/]	[01* ttừ]\n- tựa san hô
corallum [01/'kɔrələm/]	[01* dtừ]\n- bộ xương san hô
coranto [01/kɔ'ræntou/]	[01* dtừ] s/n [02corantos, corantoes]\n- điệu vũ côrantô (ă) 
corban [01/'kɔ:bæn/]	[01* dtừ]\n- lễ hiến tế người Do Thái dâng cho chúa trời
corbeil [01/'kɔbel/]	[01* dtừ]\n- cái giỏ đan\n- (kiến trúc) trang trí giỏ hoa quả
corbel [01/'kɔ:bəl/]	[01* dtừ]\n- (kiến trúc) tay đỡ, đòn chìa
corbicula	[01* dtừ] s/n [02corbiculae]\n- giỏ phấn (chân sau của ong) ; diềm lông (đốt ống côn trùng)\n- dtừ, s/n corbiculae\n- giỏ phấn (chân sau của ong) ; diềm lông (đốt ống côn trùng) 
corbie [01/'kɔ:bi/]	[01* dtừ]\n- (Ê-cốt) con quạ
corbie-steps [01/'kɔ:bisteps/]	[01* dtừ]\n- trán tường có nhiều bậc
cord [01/kɔ:d/]	[01* dtừ]\n- dây thừng nhỏ\n- (phẫu) dây\n[02= vocal cords] dây thanh âm\n[02= spinal cord] dây sống\n- đường sọc nối (ở vải)\n- nhung kẻ\n- (số nhiều) quần nhung kẻ\n- (bóng) mối ràng buộc, mối thắt buộc\n[02= the cords of discipline] những cái thắt buộc của kỷ luật\n- coóc (đơn vị đo củi bằng 3, 63 m3)\n[01* ngđtừ]\n- buộc bằng dây thừng nhỏ
cordage [01/'kɔ:didʒ/]	[01* dtừ]\n- (hàng hải) thừng chão
cordate [01/'kɔ:deit/]	[01* ttừ]\n- hình tim
cordately	- xem [03cordate] 
corded [01/'kɔ:did/]	[01* ttừ]\n- buộc bằng dây\n- có sọc nổi (vải, nhung...) 
cordelier [01/,kɔ:di'liə/]	[01* dtừ]\n- tu sĩ dòng thánh Fran-xít (thường buộc dây thừng có nút làm bằng thắt lưng) 
corder	- xem [03cord] 
cordia pulmonalia [01/,kɔ:diəpʌlmɔ'næliə/]	[01* dtừ]\n- bệnh đau tim
cordial [01/'kɔ:djəl/]	[01* ttừ]\n- thân ái, thân mật, chân thành\n[02= cordial smile] nụ cười thân mật\n- kích thích tim\n[02= cordial medicine] thuốc kích thích tim\n[04! cordial dislike]\n- sự ghét cay ghét đắng\n[01* dtừ]\n- (thương nghiệp) rượu bổ
cordiality [01/,kɔ:di'æliti/]	[01* dtừ]\n- sự thân ái, sự thân mật; lòng chân thành
cordially [01/'kɔ:djəli/]	[01* phtừ]\n- thân ái, thân mật; chân thành
cordierite [01/'kɔ:diə,rait/]	[01* dtừ]\n- (khoáng) cocđierit
cordiform [01/'kɔ:difɔ:m/]	[01* dtừ]\n- hình quả tim
cordillera [01/,kɔ:di'ljeərə/]	[01* dtừ]\n- dãy núi
cordite [01/'kɔ:dait/]	[01* dtừ]\n- cođit (thuốc nổ không khói) 
cordless	- (kỹ) không dây, vô tuyến
cordless telephone	- (kỹ) máy điện thoại không dây
cordon [01/'kɔ:dn/]	[01* dtừ]\n- dãy đồn bốt; hàng rào cảnh sát\n- hàng rào vệ sinh (để ngăn khu vực có bệnh dịch)((cũng) [03sanitary cordon] )\n- dây kim tuyến (đeo ở vai...)\n- (kiến trúc) gờ đầu tường\n- cây ăn quả xén trụi cành
cordon bleu [01/'kɔ:dɒn 'blə:/]	[01* dtừ]\n- quan to, người tai mắt\n- <đùa> tay đầu bếp hạng nhất
cordon blue [01/'kɔ:dɔ:ɳ'blə:/]	[01* dtừ]\n- quan to, người tai mắt\n-(đùa) tay đầu bếp hạng nhất
cordon sanitaire [01/'kɔ:dn'sæniteə/]	[01* dtừ]\n- hàng rào vệ sinh (để ngăn bệnh dịch) 
cordovan [01/'kɔ:dəvn/]	[01* dtừ]\n- da thuộc mềm (gốc từ Cordova, Tây-ban-nha) 
corduroy [01/'kɔ:dərɔi/]	[01* dtừ]\n- nhung kẻ\n- (số nhiều) quần nhung kẻ\n- (Mỹ) đường lát bằng thân cây (qua vùng đồng lầy) 
cordwain [01/'kɔ:dwein/]	[01* dtừ]\n- (cổ) da đóng giày (ở Tây-ban-nha) 
cordwainer [01/'kɔ:dweinə/]	[01* dtừ]\n- (cổ) thợ đóng giày
cordwainery [01/'kɔ:dwainəri/]	[01* dtừ]\n- nghề thuộc da\n- nghề đóng giày
cordwood [01/'kɔ:dwud/]	[01* dtừ]\n- gỗ chồng thành khối để đốt
core [01/kɔ:/]	[01* dtừ]\n- lõi, hạch (quả táo, quả lê...)\n- điểm trung tâm, nòng cốt, hạt nhân\n[02= the core of a subject] điểm trung tâm của một vấn đề, điểm chính của một vấn đề\n[02= the core of an organization] nòng cốt của một tổ chức\n- lõi dây thừng\n- (kỹ) nòng, lõi, ruột\n- (bóng) đáy lòng, thâm tâm, nơi thầm kín nhất\n[02= in my heart's core] tận đáy lòng tôi\n[02= rotten to the core] thối nát đến tận xương tuỷ\n[01* ngđtừ]\n- lấy lõi ra, lấy nhân ra
core dump	- (kỹ) xổ bộ nhớ
core maker [01/'kɔ:,meikə/]	[01* dtừ]\n- người làm lõi khuôn đúc
core memory	- (kỹ) bộ nhớ kiểu lõi/nhẫn từ
coreciprocal [01/'kou,risi'proukəl/]	[01* ttừ]\n- tương hỗ
corect	- sửa, sửa chữa, hiệu đính || đúng đắn c. to the nearest tenth đúng đến một phần mười
co-regency [01/kou'ri:dʒənsi/]	[01* dtừ]\n- sự cùng nhiếp chính
co-regent [01/kou'ri:dʒənt/]	[01* dtừ]\n- người cùng nhiếp chính
corelation [01/kɔri'lei∫n/]	[01* dtừ]\n- sự tương quan
coreless	- (kỹ) không lõi
co-religionist [01/kouri'lidʒənist/]	[01* dtừ]\n- đạo hữu, người đồng đạo
coremiform [01/'kɔrəmifɔ:m/]	[01* dtừ]\n- dạng chổi
coremium [01/kou'ri:miəm/]	[01* dtừ] s/n [02coremia]\n- (phẫu) bó cuống bào tử đỉnh; cuống hạt đính; bó sợi nấm
coreopsis [01/,kɔri'ɔpsis/]	[01* dtừ]\n- (thực vật) cây phòng phong
corepressor [01/kouri'presə/]	[01* dtừ]\n- (sinh học) chất đồng kìm hãm; gen đồng kìm hãm; gen đồng ức chế
corer [01/'kɔ:rə/]	[01* dtừ]\n- cái để lấy lõi (quả) 
co-resident	- (kỹ) đồng chương trình điều khiển/cốt lõi
coresidual	- đồng dư
co-respondent [01/,kou ris'pɔndənt/]	[01* dtừ]\n- người cùng bị cáo trong vụ kiện đòi ly dị (người thông dâm với vợ người, bị kiện trong vụ đòi ly dị) 
corf [01/kɔ:f/]	[01* dtừ]\n- thúng đựng than, thúng đựng qặng\n- giỏ đựng cá
corgi [01/'kɔ:gi/]	[01* dtừ]\n- một loại chó ở xứ Wales
coriaceous [01/,kɔri'ei∫əs/]	[01* ttừ]\n- như da, dai như da
coriander [01/,kɒri'ændə(r) /]	[01* dtừ]\n- cây rau mùi
corinthian [01/kə'rinθiən/]	[01* ttừ]\n- thuộc về thành Corin (Hy Lạp)\n[01* dtừ]\n- người gốc Corinh
corium [01/'kɔ:riəm/]	[01* dtừ]\n- (phẫu) mảnh đệm; lớp mô mạch liên kết
corival [01/kou'raivl/]	[01* dtừ]\n- người cùng cạnh tranh
cork [01/kɔ:k/]	[01* dtừ]\n- li e, bần\n- nút bần; phao bần (dây câu)\n[04! to bob up like a cork]\n- xem [03bob]\n[04! to draw a cork]\n- mở nút chai\n- đánh cho hộc máu mũi (quyền Anh)\n[01* ngđtừ]\n- đóng nút bần vào (chai) ; buộc phao bần vào (dây câu)\n- bôi đen (mặt) bàng than bần
corkage [01/'kɔ:kidʒ/]	[01* dtừ]\n- sự đóng nút chai\n- sự mở nút chai\n- tiền mở nút (khách trả nhà hàng khi đem rượu ngoài đến uống) 
cork-board [01/'kɔ:k,bɔ:d/]	[01* dtừ]\n- ván bằng giấy và bần để cách nhiệt và cách âm
cork-cambium [01/'kɔ:k,kæmbiəm/]	[01* dtừ]\n- (thực vật) bần-tượng tằng
cork-cutter [01/'kɔ:k,kʌte/]	[01* dtừ]\n- người làm nút bần\n- người bán nút bần
cork-drawer [01/'kɔ:k,drɔ:ə/]	[01* dtừ]\n- cái mở nút
corked [01/'kɔ:kt/]	[01* ttừ]\n- có mùi nút chai (rượu)\n- đóng bằng nút chai\n- bôi đen bằng than bần
corker [01/'kɔ:kə/]	[01* dtừ]\n- (lóng) cái làm sửng sốt ngạc nhiên, cái kỳ lạ\n- lời nói dối kỳ lạ; câu nói láo kỳ lạ, câu nói đùa kỳ lạ\n- lời nói làm chấm dứt cuộc tranh cãi\n- người cừ khôi, tay cự phách
corkiness [01/'kɔ:kinis/]	[01* dtừ]\n- tính chất như bần\n- (tục) tính vui vẻ, tính hiếu động\n- (tục) tính nhẹ dạ, tính xốc nổi, tính tếu
corking [01/'kɔ:kiη/]	[01* ttừ (tục)]\n- lạ lùng, kỳ lạ, làm sửng sốt, làm ngạc nhiên\n- cừ khôi, phi thường
cork-jacket [01/'kɔ:k'dʒækit/]	[01* dtừ]\n- áo phao, áo bằng li e
cork-leg [01/'kɔ:kleg/]	[01* dtừ]\n- chân giả
cork-oak [01/'kɔ:k,ouk/]	[01* dtừ]\n- cây sồi có vỏ để làm bần
corkscrew [01/'kɔ:kskru:/]	[01* dtừ]\n- cái mở nút chai (hình xoắn ruột gà)\n[01* đtừ]\n- làm xoắn ốc; xoắn lại\n[02= to corkscrew a line] vẽ một đường xoắn ốc
cork-tree [01/'kɔ:ktri:/]	[01* dtừ]\n- cây li e, cây bần
corkwood [01/'kɔ:kwud/]	[01* dtừ]\n- gỗ xốp, gỗ nhẹ
corky [01/'kɔ:ki/]	[01* ttừ]\n- như li e, như bần\n- (tục) vui vẻ, hăng hái, hiếu động\n- (tục) nhẹ dạ, xốc nổi, tếu
corm [01/kɔ:m/]	[01* dtừ]\n- (thực vật) thân hành, hành
cormorant [01/'kɔ:mərənt/]	[01* dtừ]\n- (động vật) chim cốc\n- (bóng) người tham lam
corn [01/kɔ:n/]	[01* dtừ]\n- chai (chân)\n[04! one's pet corn]\n- chỗ đau\n[04! to tread on someone's corns]\n- xem [03tread]\n[01* dtừ]\n- hạt ngũ cốc\n- cây ngũ cốc\n- (Mỹ) ngô, bắp ((cũng) [03Indian corn] )\n- (Mỹ),(tục) rượu ngô\n[04! to acknowledge the corn]\n- công nhận lời của ai là đúng\n- nhận lỗi\n[04! to carry corn]\n- (lóng) lợi dụng sự may mắn một cách khôn ngoan; lợi dụng sự thành công một cách khôn ngoan\n[04! to feel somebody on soft corn]\n- (Mỹ),(lóng) khen ai, tán tụng ai, cho ai đi tàu bay\n[04! to measure another's corn by one's own bushel]\n- xem [03bushel]\n[01* ngđtừ]\n- muối bằng muối hột, muối (thịt...)\n[02= corn ed beef] thịt bò muối\n- (Mỹ) viên thành hạt nhỏ\n- (Mỹ) nuôi bằng ngô
corn flower [01/kɔ:n flauə/]	[01* dtừ]\n-(thực vật) cầy xa cúc lam
corn laws [01/'kɔ:nlɔ:z/]	[01* dtừ]\n- (lịch sử) luật hạn chế nhập khẩu ngô vào Anh quốc
corn pone [01/'kɔ:npoun/]	[01* dtừ]\n- bánh ngô nướng hoặc rán
